ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
4354,itu-271159,"Smith, Patrick, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271159.pdf,7/28/2016,3,"name, address, ssn, tax info",hackers
4355,itu-271160,Specialty Equipment Market Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271160.pdf,7/26/2016,4,"name, address, payment card info",unauthorized access to servers
4356,itu-272257,"Virginia Premier Health Plan, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272257.pdf,7/26/2016,3,"name, ssn, tax info",phishing
4357,itu-272256,Primoris Services Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272256.pdf,7/25/2016,3,"name, ssn",stolen laptop
4358,itu-271161 (1),"Clear One Funding, LP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271161 (1).pdf,7/22/2016,1,"name, contact info, investment account number, ssn",misplaced laptop
4359,itu-271163 (1),Academy of Nutrition and Dietetics,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271163 (1).pdf,7/22/2016,13,"name, address, payment card info",hacking/ ransomware
4360,itu-271162 (1),American Society of Safety Engineers,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271162 (1).pdf,7/22/2016,4,"names, address, payment card info",hacking/ ransomware
4361,itu-271161 (2),"Clear One Funding, LP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271161 (2).pdf,7/22/2016,1,"name, contact info, investment account number, ssn",misplaced laptop
4362,itu-271162 (2),American Society of Safety Engineers,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271162 (2).pdf,7/22/2016,4,"names, address, payment card info",hacking/ ransomware
4363,itu-271163 (2),Academy of Nutrition and Dietetics,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271163 (2).pdf,7/22/2016,13,"name, address, payment card info",hacking/ ransomware
4364,itu-272258,inVentiv Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272258.pdf,7/22/2016,218,"name, ssn, tax info",phishing
4365,itu-271164,inVentriv Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271164.pdf,7/21/2016,218,"name, address, ssn, tax info",phishing
4366,itu-271750,Virtua,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271750.pdf,7/20/2016,2,"name, ssn, medical info",malware
4367,itu-272284,Bank of America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272284.pdf,7/20/2016,,"name, ssn, address",info improperly retained by former employee
4368,itu-271751 (2),New America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271751 (2).pdf,7/19/2016,16,"name, dob, ssn, payment card info",unauthorized access to employee email
4369,itu-271751 (1),New America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271751 (1).pdf,7/19/2016,16,"name, dob, ssn, payment card info",unauthorized access to employee email
4370,itu-271753,Institute Management Accountants,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271753.pdf,7/19/2016,6,"name, payment card info, address",hackers
4371,itu-271754 (2),Internet Chess Club,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271754 (2).pdf,7/19/2016,31,"name, payment card info",hackers
4372,itu-271752,"CiCi Enterprises, LP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271752.pdf,7/19/2016,,"name, payment card info",hacker
4373,itu-271754 (1),Internet Chess Club,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271754 (1).pdf,7/19/2016,31,"name, payment card info",hackers
4374,itu-272254,Equifax,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272254.pdf,7/18/2016,6,"name, personal info",phishing
4375,itu-272253,HSBC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272253.pdf,7/18/2016,3,"name, ssn, address, dob, financial info",info improperly retained by former employee
4376,itu-271755 (2),San Antonio Shoemakers,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271755 (2).pdf,7/15/2016,76,"name, address, payment card info",hackers
4377,itu-271756,"Matador Recordings, LLC DBA Matador Direct",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271756.pdf,7/15/2016,,"name, address, payment card info",malware
4378,itu-271757,Opes Advisors,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271757.pdf,7/15/2016,5,"name, ssn",compromised login credentials
4379,itu-271755 (1),San Antonio Shoemakers,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271755 (1).pdf,7/15/2016,76,"name, address, payment card info",hackers
4380,itu-272252,North Carolina State University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272252.pdf,7/15/2016,278,"name, ssn",phishing
4381,itu-271760,USA Field Hockey,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271760.pdf,7/14/2016,,"name, address, ssn",hackers
4382,itu-272250,"North Palm Motors, LLC DBA Napleton's Car Rental Center",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272250.pdf,7/14/2016,204,"name, license numbers, rental history, customer info",improperly retained by former employee
4383,itu-271762,Project Management Institute,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271762.pdf,7/13/2016,411,"name, address, payment card info",hackers
4384,itu-271761 (2),"IAP World Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271761 (2).pdf,7/13/2016,52,"name, ssn, dob, passport info, bank account info, medical info",hackers
4385,itu-271761 (1),"IAP World Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271761 (1).pdf,7/13/2016,52,"name, ssn, dob, passport info, bank account info, medical info",hackers
4386,itu-271761 (update),"IAP World Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271761 (update).pdf,7/13/2016,52,"name, ssn, dob, passport info, bank account info, medical info",hackers
4387,itu-271761 update (2),"IAP World Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271761 update (2).pdf,7/13/2016,52,"name, ssn, dob, passport info, bank account info, medical info",hackers
4388,itu-272243,intuit Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272243.pdf,7/12/2016,21,"name, ssn, dob, dln, tax info",unauthorized access
4389,itu-272249,"Santander Bank, N. A.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272249.pdf,7/12/2016,1,"name, payment card info, PIN",skimmer
4390,itu-271763 (2),American Association for the Advancement of Science,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271763 (2).pdf,7/8/2016,,"name, payment card info, address",malware
4391,itu-271763,American Association for the Advancement of Science,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271763.pdf,7/8/2016,,"name, payment card info, address",malware
4392,itu-271765 (2),Water Environment Federation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271765 (2).pdf,7/8/2016,11,"name, address, payment card info",unauthorized access
4393,itu-271764,Vacation Express USA Corp.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271764.pdf,7/8/2016,,"name, payment card info, address",info improperly retained by employee
4394,itu-271765 (1),Water Environment Federation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271765 (1).pdf,7/8/2016,11,"name, address, payment card info",unauthorized access
4395,itu-272230,Omi Hotels & Resorts,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272230.pdf,7/8/2016,699,"name, payment card info",malware
4396,itu-271767,"Fidelity National Financial, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271767.pdf,7/7/2016,1,"name, 1099 tax info, ssn",info inadvertently emailed to wrong recipient
4397,itu-271766,"John J. Capelli, CPA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271766.pdf,7/7/2016,2,"name, address, ssn, w2 tax info",unauthorized access to email
4398,itu-271769 (1),"Wyndham Vacation Resorts, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271769 (1).pdf,7/6/2016,1,"name, address, Social Security number, bank account number and possibly redit score information",info lost in transit
4399,itu-271768,"NLU Products, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271768.pdf,7/6/2016,,"name, payment card info",malware
4400,itu-271769 (2),"Wyndham Vacation Resorts, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271769 (2).pdf,7/6/2016,1,"name, address, Social Security number, bank account number and possibly redit score information",info lost in transit
4401,itu-271770,"KRT CPAs, P.C.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271770.pdf,7/1/2016,35,"name, address, ssn, bank account info, dob",hacker
4402,itu-271873 (update),"KontrolFreek, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271873 (update).pdf,6/30/2016,67,"name, address, payment card info",malware
4403,itu-271873,"KontrolFreek, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271873.pdf,6/30/2016,67,"name, address, payment card info",malware
4404,itu-271868,Lumbermens Mutual Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271868.pdf,6/28/2016,1,"name, address, ssn, tax info",phishing
4405,itu-271871,"Rayner, Foos, Kruse and Irwin, CPAs",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271871.pdf,6/28/2016,2,"name, address, ssn, tax info",unauthorized access to servers
4406,itu-271872,Noodles & Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271872.pdf,6/28/2016,,"name, payment card info",malware
4407,itu-271865,Hard Rock Hotel & Casino Las Vegas,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271865.pdf,6/27/2016,,"name, payment card info",malware
4408,itu-271867,"Gamesa Wind US, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271867.pdf,6/27/2016,,"name, address, ssn, tax info",phishing
4409,itu-271935,"Flynn & Company, Inc. Certified Public Accountants",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271935.pdf,6/27/2016,3,"name, address, dln, banking info, ssn",unauthorized access
4410,itu-271937,"Uncommon Care, PA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271937.pdf,6/27/2016,8,medical records,unauthorized access
4411,itu-271857,Stanley Wirheim CPA,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271857.pdf,6/24/2016,2,"name, address, tax info",unauthorized access
4412,itu-271936,Equifax,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271936.pdf,6/24/2016,49,"name, address, ssn, tax info",unauthorized access
4413,itu-271934 (2),Higdon & Hale,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271934 (2).pdf,6/23/2016,1,"name, address, dob, ssn, income and bank info",hacking
4414,itu-272236,Washington County Housing and Redevelopment Authority,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272236.pdf,6/23/2016,4,"name ssn, dln",hackers
4415,itu-271934,Higdon & Hale,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271934.pdf,6/23/2016,1,"name, address, dob, ssn, income and bank info",hacking
4416,itu-271853 (2),Independent Medical Distributors Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271853 (2).pdf,6/22/2016,,"name, payment card info",stolen laptop
4417,itu-271853,Independent Medical Distributors Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271853.pdf,6/22/2016,,"name, payment card info",stolen laptop
4418,itu-271854,"Sageworks, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271854.pdf,6/22/2016,1,"name, address, partial ssn",info improperly retained by former employee
4419,itu-271855,Bucknell University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271855.pdf,6/22/2016,1,"name, ssn",info inadvertently publicly posted
4420,itu-271933,intuit Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271933.pdf,6/22/2016,2,"name, address, ssn, dob, dln, financial info",unauthorized access
4421,itu-271851,National Church Solutions,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271851.pdf,6/21/2016,,"name, address, ssn, tax info",virus
4422,itu-271846,"AOS, Inc. DBA TradingBlock",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271846.pdf,6/20/2016,1,,info inadvertently sent to wrong person
4423,itu-271849 (2),Krispy Kreme Donut Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271849 (2).pdf,6/20/2016,,"name, address, ssn, tax info",phishing
4424,itu-271849,Krispy Kreme Donut Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271849.pdf,6/20/2016,,"name, address, ssn, tax info",phishing
4425,itu-271863,Paul Stuart,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271863.pdf,6/20/2016,1,"name, address, ssn, tax info",phishing
4426,itu-271863 (2),Paul Stuart,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271863 (2).pdf,6/20/2016,1,"name, address, ssn, tax info",phishing
4427,itu-271831,"Tricerat, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271831.pdf,6/17/2016,,"name, address, ssn, tax info",phishing
4428,itu-271833,Grand Valley State University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271833.pdf,6/17/2016,1,"name, address, w-2 tax info",info lost in the mail
4429,itu-271919,"Tiemart, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271919.pdf,6/17/2016,29,"name, address, payment card info",malware
4430,itu-271830,Stanford University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271830.pdf,6/16/2016,6,"name, ssn, address, tax info",unauthorized accses
4431,itu-271830 (3),Stanford University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271830 (3).pdf,6/16/2016,6,"name, ssn, address, tax info",unauthorized accses
4432,itu-271830 (2),Stanford University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271830 (2).pdf,6/16/2016,6,"name, ssn, address, tax info",unauthorized accses
4433,itu-271808,"Huvco, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271808.pdf,6/15/2016,,"name, payment card info",hackers
4434,itu-271809,"Ameriprise Financial, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271809.pdf,6/15/2016,1,"name, address, ssn",improper access during computer repair
4435,itu-271810 (1),Multi-Color,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271810 (1).pdf,6/15/2016,6,,drive stolen during burglary
4436,itu-271810 (4),Multi-Color,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271810 (4).pdf,6/15/2016,6,,drive stolen during burglary
4437,itu-271810 (2),Multi-Color,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271810 (2).pdf,6/15/2016,6,,drive stolen during burglary
4438,itu-271810 (3),Multi-Color,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271810 (3).pdf,6/15/2016,6,,drive stolen during burglary
4439,itu-271812,Tom McLeod Software Corps,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271812.pdf,6/15/2016,1,"name, address, ssn, tax info",phishing
4440,itu-271811,"Massachusetts Eye and Ear Infirmary, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271811.pdf,6/15/2016,1,"name, tax info",unauthorized access
4441,itu-271806,"BioTime, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271806.pdf,6/14/2016,1,"name, ssn, w2 tax info",phishing
4442,itu-271807 (2),EnvisionPharmacies,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271807 (2).pdf,6/14/2016,,"name, address, date of birth, member identification number, and prescription drug and prescriber information",info inadvertently sent to wrong recipient
4443,itu-271807 (1),EnvisionPharmacies,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271807 (1).pdf,6/14/2016,,"name, address, date of birth, member identification number, and prescription drug and prescriber information",info inadvertently sent to wrong recipient
4444,itu-271932,"Sandler & Travis Trade Advisory Services, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271932.pdf,6/13/2016,,"name, address, ssn, tax info",phishing
4445,itu-271931,intuit Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271931.pdf,6/13/2016,,"name, ssn, address, dob, dln, financial info",unauthorized access
4446,itu-272117,Santa Rosa Consulting,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272117.pdf,6/13/2016,,"name, address, ssn, tax info",phishing
4447,itu-272116,MEI-GSR,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-272116.pdf,6/13/2016,124,"name, payment card info",malware
4448,itu-271805 (2),Remedi SeniorCare,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271805 (2).pdf,6/10/2016,322,"name, ssn",phishing
4449,itu-271796,Trump Hotel Collection,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271796.pdf,6/10/2016,3,"name, address, ssn",unauthorized access to database
4450,itu-271805,Remedi SeniorCare,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271805.pdf,6/10/2016,322,"name, ssn",phishing
4451,itu-271797,MedStar Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271797.pdf,6/10/2016,,"name, address, ssn, dob",info inadvertently sent to wrong recipients
4452,itu-271930,Crane Co.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271930.pdf,6/10/2016,2,"name, address, ssn, tax info",phishing
4453,itu-271794,Wepawaug-Flagg Credit Union,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271794.pdf,6/9/2016,1,"name, address, account number, ssn, dob",info inadvertently sent to wrong recipient
4454,itu-271795,State Farm Mutual Automobile Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271795.pdf,6/9/2016,,"name, payment card info",improper access by former employee
4455,itu-271790 (2),"Frank Day, CPA LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271790 (2).pdf,6/8/2016,1,"name, address, ssn, tax info",unauthorized access to email account
4456,itu-271790 (1),"Frank Day, CPA LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271790 (1).pdf,6/8/2016,1,"name, address, ssn, tax info",unauthorized access to email account
4457,itu-270477,"37th Parallel Properties INvestment Group, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270477.pdf,6/7/2016,1,"name, email address, account number,",unauthorized access to email account
4458,itu-271789,Northeast Investors Trust,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271789.pdf,6/7/2016,1,"name, address, account number",shareholder statements inadvertently mailed to incorrect address
4459,itu-271923,"Cohen & Grieb, P.A.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271923.pdf,6/7/2016,1,"name, address, dln, ssn, financial info",unauthorized access
4460,itu-271926,"The Quikrete, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271926.pdf,6/7/2016,3,"name, ssn",info inadvertently emailed to incorrect recipient
4461,itu-270474,"Pasternack Tilker Ziegler Walsh Stanton & Romano, LLP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270474.pdf,6/6/2016,,"name, address, ssn",data improperly removed by former employee
4462,itu-270476,"Empathia, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270476.pdf,6/6/2016,"1,926","name, address, phone number, ssn, dob",malware
4463,itu-270470,"Launch That, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270470.pdf,6/3/2016,1,"name, email address, dob, ssn, dln",info inadvertently emailed
4464,itu-270471 (2),Marymount University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270471 (2).pdf,6/3/2016,,"name, ssn, bank account info",unauthorized access
4465,itu-270471 (1),Marymount University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270471 (1).pdf,6/3/2016,,"name, ssn, bank account info",unauthorized access
4466,itu-270472,Mutual of Omaha Insurance,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270472.pdf,6/3/2016,79,"name, ssn, dob",info inadvertently accessible online
4467,itu-270473,Bucknell University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270473.pdf,6/3/2016,241,personal info,potential unauthorized access
4468,itu-270469,Acer Service Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270469.pdf,6/1/2016,831,"name, address, payment card info",info stored in unsecure manner
4469,itu-271921,National Network of Abortion Funds,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-271921.pdf,6/1/2016,,"name, payment card info",malware
4470,itu-270435,"ARIAD Pharmaceuticals, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270435.pdf,5/31/2016,1,"name, ssn, w-2 tax info",phishing
4471,itu-270436,Maryland Department of Human Resources,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270436.pdf,5/31/2016,117,"Name, EBT card",
4472,itu-270457,Abernathy & Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270457.pdf,5/31/2016,2,"name, ssn, w-2 tax info",unauthorized access
4473,itu-270432,Aristech Surfaces,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270432.pdf,5/27/2016,1,"name, ssn",stolen laptop
4474,itu-270434,"Shoes West Distribution, Inc. dba Taos Footwear",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270434.pdf,5/27/2016,,"name, payment card info",malware
4475,itu-270431,"Ben Bridge Jeweler, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270431.pdf,5/27/2016,1,"name, ssn, w-2 tax info",phishing
4476,itu-270461,"Intuit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270461.pdf,5/27/2016,28,"name, ssn, tax info",unauthorized access
4477,itu-270465,Bank of America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270465.pdf,5/27/2016,,"name, banking account info",fraud by former employee
4478,itu-270463,"Spectrum, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270463.pdf,5/27/2016,,"name, ssn, w-2 tax info",phishing
4479,itu-270462,"Sirius XM Radio, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270462.pdf,5/27/2016,1,"name, customer account number, address",unauthorized online access
4480,itu-270464,"Stamford Podiatry Group, P.C.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270464.pdf,5/27/2016,32,"name, ssn, medical info",hackers
4481,itu-270430,"Match-Up Solutions, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270430.pdf,5/26/2016,74,"name, address, payment card info",malware
4482,itu-270429,"Macfadden, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270429.pdf,5/26/2016,,"name, ssn, dob, dln, direct deposit info",improper download by former employee
4483,itu-270459,The Pennsylvania State University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270459.pdf,5/26/2016,21,"name, ssn",info inadvertently accessible on website
4484,itu-270427(2),Oldcastle Building Envelope,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270427(2).pdf,5/24/2016,,"name, ssn, w-2 tax info",unauthorized access
4485,itu-270428,Mid-Ohio Foodbank,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270428.pdf,5/24/2016,,"name, address, dln, ssn",stolen laptop
4486,itu-270427,Oldcastle Building Envelope,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270427.pdf,5/24/2016,,"name, ssn, w-2 tax info",unauthorized access
4487,itu-270460,The Kroger Co.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270460.pdf,5/24/2016,17,"name, ssn, w-2 tax info",unauthorized access
4488,itu-270426,"Maritz Holdings, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270426.pdf,5/23/2016,20,"name, ssn, w-2 tax info",phishing
4489,itu-270425,"USI, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270425.pdf,5/19/2016,46,"name, ssn, w-2 tax info",info inadvertently emailed to wrong recipient
4490,itu-270424,"Challain, Inc. dba Batdorf & Bronson Coffee Roasters",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270424.pdf,5/17/2016,33,"name, payment card info",unauthorized access
4491,itu-270423,"Kolodzey & Cox CPAs, PC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270423.pdf,5/17/2016,,"name, ssn, w-2 tax info",unauthorized access to servers
4492,itu-270422,"Brinker International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270422.pdf,5/16/2016,1,"name, ssn, address, phone number",inadvertent error
4493,itu-270421,Distinct Software Solutions DBA Golf 18 Network,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270421.pdf,5/16/2016,,"name, address, phone number, payment card info",unauthorized access
4494,itu-270418,"George Gillian, DDS",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270418.pdf,5/13/2016,,"name, payment info, ssn, insurance info",stolen computer
4495,itu-270420,City College of San Francisco,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270420.pdf,5/13/2016,1,"name, ssn, address",phishing
4496,itu-270419,Stream Gas & Electric Ltd.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270419.pdf,5/13/2016,,"name, address, dob, wage, ssn",unauthorized access
4497,itu-270417,"USI, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270417.pdf,5/12/2016,3,"name, ssn, w-2 tax info",info inadvertently emailed
4498,itu-270467,Reiser,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270467.pdf,5/12/2016,1,"name, ssn, tax info",unauthorized access
4499,itu-270414,Kalamazoo College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270414.pdf,5/11/2016,,,
4500,itu-270416,"MYR Group, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270416.pdf,5/11/2016,18,"name, ssn, w-2 tax info",phishing
4501,itu-270415 (2),"Medical Colleagues of Texas, LLP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270415 (2).pdf,5/11/2016,18,"name, address, ssn, health insurance info",unauthorized access
