ID,Entity Involved,Date Involved
2106,New England Calendar and Novelty,12/11/2015
2107,Mayer-johnson.com,12/11/2015
2108,Northern Virginia Technology Council,12/9/2015
2109,Cottage Health,12/9/2015
2110,Intuit (December),12/9/2015
2111,Morinaga Foods,12/9/2015
2112,Keenan & Associates,12/2/2015
2113,Intuit (November 25),12/1/2015
2114,Hilton Worldwide,11/30/2015
2115,Bay Ridge Toyota,11/30/2015
2116,syncreon America,11/30/2015
2117,B. Lane Inc. d/b/a Fashion to Figure,11/25/2015
2118,Principal Financial,11/25/2015
2119,Intuit (November),11/20/2015
2120,Seattle Chocolates,11/17/2015
2121,Tidewater Agronomics,11/17/2015
2122,LPL Financial (November),11/17/2015
2123,Integrated Listening Systems,11/17/2015
2124,Nobel House Hotels (November),11/16/2015
2125,Multi-Service Resources d/b/a Small Business Specialist,11/12/2015
2126,Philadelphia Gas Works,11/10/2015
2127,Boston University,11/9/2015
2128,Citibank (October),11/9/2015
2129,Stiletto Solutions,11/5/2015
2130,Dow Corning,11/3/2015
2131,OsteoMed,11/3/2015
2132,Central States (MedAmerica),11/2/2015
2133,Interstitial Cystitis Network,11/2/2015
2134,Microf LLC,11/2/2015
2135,The Wolff Company (TFA),10/30/2015
2136,Intuit (October),10/30/2015
2137,Humana (October 22),10/30/2015
2138,Humana (October 16),10/27/2015
2139,Nobel House Hotels and Resorts,10/23/2015
2140,Schlage Lock Company,10/23/2015
2141,Service Systems Associates,10/21/2015
2142,"Olson, Peggy",10/19/2015
2143,EyeBuyDirect,10/19/2015
2144,Humana (October),10/16/2015
2145,Glam Glow,10/16/2015
2146,Red Dress Boutique,10/15/2015
2147,Peppermill Casinos,10/14/2015
2148,Streets of New York,10/9/2015
2149,Scottrade (Wall Street Concepts),10/7/2015
2150,SmartLab,10/7/2015
2151,Kohls (September),10/7/2015
2152,Teach for America,10/5/2015
2153,Charles Schwab,10/5/2015
2154,Scottrade,10/5/2015
2155,T-Mobile USA (Experian),10/2/2015
2156,Ameriprise Financial (September),10/1/2015
2157,Costco,9/29/2015
2158,Citibank (September),9/29/2015
2159,M&R Strategic Services,9/29/2015
2160,Rite Aid (PNI Digital Media),9/29/2015
2161,Bed Bath & Beyond,9/24/2015
2162,James R. Glidewell Dental Ceramics,9/22/2015
2163,Max M. Bayard MD PC,9/22/2015
2164,Heartland Health Clinic,9/22/2015
2165,Shaw Law Group,9/17/2015
2166,YapStone,9/17/2015
2167,eMinor d/b/a ReverbNation,9/17/2015
2168,Cooper Spong & Davis PC,9/15/2015
2169,Beneficial Financial I Inc.,9/14/2015
2170,CVS Pharmacy/PNI Digital Media,9/14/2015
2171,ACE Surgical Supply,9/14/2015
2172,Hawaii First Federal Credit Union,9/3/2015
2173,Viewpoint,9/3/2015
2174,Olympia Hotel Management,9/3/2015
2175,Utah Food Bank,9/3/2015
2176,Interline Brands,9/3/2015
2177,S&L Hospitality (Holiday Inn),8/26/2015
2178,Rogers Electric,8/25/2015
2179,Wm T Burnett & Co,8/25/2015
2180,Milestone Hospitality,8/21/2015
2181,Primary Capital Mortgage,8/20/2015
2182,Quad Graphics,8/19/2015
2183,Web.com,8/19/2015
2184,GreenWave Scientific (Mohu),8/17/2015
2185,Newton Running,8/17/2015
2186,Humana (August 4),8/13/2015
2187,LPL Financial LLC (August),8/13/2015
2188,AllianceBernstein (Sterling Backcheck),8/11/2015
2189,SMS Hospitality,8/10/2015
2190,Mama Mio,8/10/2015
2191,Sykes Enterprises (Sterling Backcheck),8/10/2015
2192,SterlingBackcheck,8/5/2015
2193,Humana,8/5/2015
2194,Humana June 26,8/5/2015
2195,Humana July 2,8/5/2015
2196,Humana July 17,8/5/2015
2197,Fidelity (July 30),8/5/2015
2198,Massachusetts Mutual Life Insurance,8/4/2015
2199,Totally Promotional,7/30/2015
2200,The McLean Hospital Corporation,7/30/2015
2201,Blue Spring Partners d/b/a Fin Fun Mermaid,7/28/2015
2202,YMCA of Greater Pittsburgh,7/28/2015
2203,HSBC Bank,7/27/2015
2204,Outpac Designs d/b/a Pacsafe,7/27/2015
2205,Revere Gas,7/27/2015
2206,Peoples Utah Bancorp,7/22/2015
2207,Insurance Services Office,7/21/2015
2208,Ransomed Heart Ministries,7/20/2015
2209,UCLA Health,7/20/2015
2210,Amsterdam Nursing Home,7/17/2015
2211,Alfa Specialty Insurance,7/16/2015
2212,Nexient LLC,7/14/2015
2213,New Horizons Computer Learning Centers,7/14/2015
2214,Mandarin Oriental,7/13/2015
2215,Hershey Entertainment & Resorts,7/13/2015
2216,National American University,7/8/2015
2217,General Dynamics Information,7/7/2015
2218,Automotive Recovery Services,7/7/2015
2219,Calibre CPA Group,7/7/2015
2220,FireKeepers Casino  Hotel,7/6/2015
2221,Aon,7/6/2015
2222,LPL Financial (June),7/6/2015
2223,Genius Central,7/1/2015
2224,Phoenix Group,6/30/2015
2225,Manchester Hotel Hospitality,6/29/2015
2226,LC Industries,6/25/2015
2227,Montefiore Health/University Hospital Albert Einstein,6/25/2015
2228,Smoothie King,6/25/2015
2229,State Farm,6/23/2015
2230,Trustmark Mutual,6/23/2015
2231,Medical Informatics/NoMoreClipboard,6/23/2015
2232,Collected Intelligence,6/22/2015
2233,Dungarees LLC,6/22/2015
2234,Humana (3 members),6/22/2015
2235,Clif Bar Family Winery & Farm (Missing Link),6/22/2015
2236,Huneeus Vintners (Missing Link),6/22/2015
2237,Humana (1 member),6/22/2015
2238,CF Industries Holdings,6/17/2015
2239,Peter Michael Winery (Missing Link),6/17/2015
2240,Deborah Zimmerman PhD PC,6/17/2015
2241,JTH Tax d/b/a Liberty Tax Service,6/17/2015
2242,National Seating and Mobility,6/17/2015
2243,Ellis Hsu-Mastromonaco CPA EA,6/17/2015
2244,Kosta Browne Winery (Missing Link),6/16/2015
2245,Rombauer Vineyards (Missing Link),6/16/2015
2246,T-Mobile,6/16/2015
2247,Covanta Projects,6/16/2015
2248,AeroGrow International,6/10/2015
2249,Paycor,6/10/2015
2250,Heartland Dental (2 letters),6/10/2015
2251,YP Holdings LLC (Anthem),6/10/2015
2252,Akorn Inc.,6/5/2015
2253,Metropolitan Hospitality Group,6/5/2015
2254,Experian,6/5/2015
2255,Intimacy Management,6/4/2015
2256,Green Tree Servicing,6/4/2015
2257,Heartland Payroll Solutions,6/4/2015
2258,Greater Orlando Aviation Authority,6/3/2015
2259,Prudential,6/3/2015
2260,Beacon Health System,6/2/2015
2261,Sally Beauty Holdings,6/1/2015
2262,Unity Recovery Group,6/1/2015
2263,Santander,6/1/2015
2264,CareFirst,6/1/2015
2265,Copart,6/1/2015
2266,SafeandVaultStore.com,6/1/2015
2267,U.S. HealthWorks,6/1/2015
2268,Citibank (May),5/26/2015
2269,LifeView Outdoors,5/26/2015
2270,Mid-America Apartment Communities,5/26/2015
2271,Hotel Beacon,5/26/2015
2272,American Airlines (Equifax),5/22/2015
2273,Penn State,5/22/2015
2274,Fidelity Investments (May 18),5/22/2015
2275,Intuit,5/21/2015
2276,zenpayroll,5/21/2015
2277,Compass USA,5/20/2015
2278,Fidelity Investments (May),5/20/2015
2279,Resource Generation/Third Sector New England,5/19/2015
2280,Esurance Insurance,5/19/2015
2281,Blair & Associates,5/18/2015
2282,Honigs Whistle Shop,5/18/2015
2283,Mercer,5/15/2015
2284,Longwood Management Corp,5/15/2015
2285,Regions,5/12/2015
2286,US Cabinet Depot,5/11/2015
2287,Stanislaus Surgical Hospital,5/11/2015
2288,First Command Financial,5/8/2015
2289,Cities Service,5/5/2015
2290,Hard Rock Hotel & Casino Las Vegas,5/5/2015
2291,John Hancock Life Insurance,5/1/2015
2292,Central States (Anthem),4/30/2015
2293,Ameriprise Financial (April)`,4/29/2015
2294,Cooper University Hospital,4/29/2015
2295,Abercrombie & Fitch,4/27/2015
2296,State of Franklin Healthcare,4/24/2015
2297,Suburban Lung Associates,4/24/2015
2298,Sweaty Bands,4/24/2015
2299,Columbian Financial Group,4/24/2015
2300,Hough Gelfand & Associates,4/21/2015
2301,Fidelity Investments (April),4/17/2015
2302,Dulaney Valley Memorial Gardens,4/16/2015
2303,Jacksonville Electric Authority (Anthem),4/16/2015
2304,Benson Botsford LLC,4/16/2015
2305,Buchanan & Edwards,4/13/2015
2306,HSBC Finance,4/13/2015
2307,Kellogg & Andelson Global,4/13/2015
2308,Oppenheimer Funds (April #2),4/10/2015
2309,Fidelity Investments,4/8/2015
2310,Franklin & Marshall,4/8/2015
2311,SRI,4/8/2015
2312,Coastal International Security,4/8/2015
2313,Turbo Tax (February),4/7/2015
2314,Equifax,4/7/2015
2315,Auburn University,4/6/2015
2316,Essex Property Trust,4/6/2015
2317,Oppenheimer Funds (April),4/6/2015
2318,Law Enforcement Targets,4/6/2015
2319,Lurie Besikof Lapidus & Company,4/6/2015
2320,Retail Capital LLC,4/6/2015
2321,Nite Ize,4/3/2015
2322,G&J Pepsi Bottlers,4/2/2015
2323,Bank of the West (Anthem),3/31/2015
2324,Nuance Communications (Anthem),3/31/2015
2325,Delaware Department of Justice,3/31/2015
2326,Health Care Service Corporation (Premera Blue Cross),3/30/2015
2327,Ringor.com,3/30/2015
2328,Akerman LLP (Anthem),3/30/2015
2329,Mark Riley dba E K and company,3/23/2015
2330,Apple America Group,3/23/2015
2331,BB&T,3/23/2015
2332,United Rentals (Anthem),3/20/2015
2333,OneStopParking,3/20/2015
2334,BAE Systems,3/20/2015
2335,Premera Blue Cross,3/18/2015
2336,Dr. Anthony T.R.Green DDS,3/17/2015
2337,Blue Shield of California,3/17/2015
2338,Health Care Service Corporation (Anthem),3/17/2015
2339,CP Franchising,3/16/2015
2340,Ikea (2 faxes received),3/16/2015
2341,Alta Ski Lifts,3/16/2015
2342,Citibank (March),3/16/2015
2343,Indiana State Medical Association,3/12/2015
2344,Aurora Health Care,3/12/2015
2345,Frontier Communications,3/11/2015
2346,Ameriprise Financial (March),3/11/2015
2347,Kraft Music,3/11/2015
2348,PNC (Anthem),3/11/2015
2349,Gallagher Bassett,3/10/2015
2350,LPL Financial (March),3/6/2015
2351,"Mark Turner, M.D.",3/6/2015
2352,The Wendy's Company (Anthem),3/6/2015
2353,Ascensus,3/6/2015
2354,Percheron LLC,3/4/2015
2355,Uber Technologies,3/3/2015
2356,BulkReefSupply,3/3/2015
2357,University of Chicago Medical Center,3/3/2015
2358,Dr. Cathrine Steinborn DDS,3/3/2015
2359,Lime Crime,3/3/2015
2360,Amedisys,3/3/2015
2361,ValuTeachers,3/3/2015
2362,John Q Hammons Hotels Management/Milliman,3/2/2015
2363,Frederick County Public Schools,2/25/2015
2364,New York Life,2/25/2015
2365,Scripps Networks (Anthem),2/23/2015
2366,T Mobile,2/20/2015
2367,Anthem,2/20/2015
2368,Big Fish Games Inc,2/18/2015
2369,TurboTax,2/18/2015
2370,PSA Airlines,2/18/2015
2371,Ameriprise Financial,2/18/2015
2372,Direct Marketing Association,2/11/2015
2373,Nationstar Mortgage,2/11/2015
2374,Blue Sky Casino,2/10/2015
2375,CICS Employment Services,2/9/2015
2376,Insperity,2/9/2015
2377,Kohls,2/9/2015
2378,www.book2park.com,2/9/2015
2379,LPL Financial Corporation,2/6/2015
2380,Phoenix House Foundation,2/6/2015
2381,OnDeck Capital,2/5/2015
2382,ModSpace,2/4/2015
2383,Citibank,2/4/2015
2384,Insperity,2/4/2015
2385,Prog Leasing LLC (Progressive),1/30/2015
2386,Columbia Management,1/29/2015
2387,Park N Fly,1/26/2015
2388,Barbecue Renew,1/21/2015
2389,Aventura Hospital and Medical Center,1/21/2015
2390,Oppenheimer Funds,1/21/2015
2391,Citizens Financial Group,1/20/2015
2392,Heartland Credit Union,1/20/2015
2393,Piech Sales d/b/a ValuePetSupplies.com,1/20/2015
2394,Soo Co-op Credit Union,1/15/2015
2395,Coulter Ventures d/b/a Rogue Fitness,1/14/2015
2396,Genworth,1/14/2015
2397,Alin Machining Company d/b/a Power Plant Services,1/14/2015
2398,Aspire Indiana,1/13/2015
2399,Art of Tea,1/9/2015
2400,La Jolla Group,1/5/2015
2401,Fast Forward Academy,1/5/2015
2402,Corday Productions (Sony),12/30/2014
2403,BolderImage Company,12/29/2014
2404,VCU Health System,12/29/2014
2405,Dutch Bros Coffee,12/29/2014
2406,Six Red Marbles,12/29/2014
2407,Lokai Holdings,12/29/2014
2408,Quest Diagnostics,12/29/2014
2409,James Madison University,12/23/2014
2410,Valplast,12/23/2014
2411,Presidian Hotels & Resorts,12/23/2014
2412,ID Parts LLC,12/23/2014
2413,Azusa Pacific University,12/23/2014
2414,Staples,12/22/2014
2415,Apple Leisure Group/AMResorts,12/19/2014
2416,Ameriprise Financial Services (2),12/19/2014
2417,Ascena Retail Group/ADP,12/18/2014
2418,Acosta/Mosaic Sales Solutions,12/17/2014
2419,Sands Casino Resort Bethlehem,12/16/2014
2420,Google Inc.,12/11/2014
2421,bebe stores inc,12/8/2014
2422,Api Group,12/8/2014
2423,Nationstar Mortgage,12/2/2014
2424,Highlands-Cashiers Hospital,12/2/2014
2425,Blue Mountain Community Foundation,12/2/2014
2426,Conference USA (Blue Zebra),12/2/2014
2427,The Big 12 Conference (Blue Zebra),12/2/2014
2428,Blue Zebra Sports,12/1/2014
2429,University of Connecticut School of Law,12/1/2014
2430,Godiva Chocolatier,12/1/2014
2431,Novo Nordisk,12/1/2014
2432,EverBank,12/1/2014
2433,Calypso St Barth,12/1/2014
2434,Big East Conference (Blue Zebra),12/1/2014
2435,Visionworks (second),12/1/2014
2436,Fairway Independent Mortgage,11/24/2014
2437,CIT Bank/ADP,11/21/2014
2438,AlliedBarton Security Services,11/21/2014
2439,MemberClicks d/b/a Moolah Payments,11/20/2014
2440,EZ Prints,11/17/2014
2441,Camp Bow Wow,11/17/2014
2442,Ameriprise Financial Services,11/13/2014
2443,Visionworks,11/13/2014
2444,Weill Cornell Medical College,11/12/2014
2445,One Love Organics,11/10/2014
2446,West Publishing,11/7/2014
2447,Nova Southeastern University,11/7/2014
2448,American Athletic Conference,11/5/2014
2449,Modern Gun School,11/4/2014
2450,Experian (November),11/4/2014
2451,Wyndham Vacation Resorts,11/4/2014
2452,Direct Learning Systems,11/4/2014
2453,Benefit Express Services,11/3/2014
2454,Score,10/31/2014
2455,US Investigations Services,10/30/2014
2456,Townsend Enterprises dba The Sinclair Institute,10/29/2014
2457,Control Concepts,10/29/2014
2458,Alliance Workplace Solutions,10/29/2014
2459,Columbia Southern University,10/28/2014
2460,Backcountry Gear,10/28/2014
2461,Sourcebooks,10/27/2014
2462,Fidelity National Financial Inc,10/27/2014
2463,Delaware River & Bay Authority,10/23/2014
2464,Experian (October 22),10/23/2014
2465,Experian (October 20),10/21/2014
2466,Cyberswim,10/20/2014
2467,National Domestic Workers Alliance,10/20/2014
2468,Asset Marketing Services,10/20/2014
2469,Dairy Queen,10/20/2014
2470,Penn Highlands Brookville,10/20/2014
2471,Omega Net,10/20/2014
2472,UIL Holdings Corporation,10/14/2014
2473,Pulte Mortgage LLC,10/14/2014
2474,Evolution Nature Corp,10/14/2014
2475,Aquarion Water Company,10/9/2014
2476,Advanced Data Processing/City of Alexandria,10/9/2014
2477,AT&T,10/8/2014
2478,Flinn Scientific,10/8/2014
2479,MDU Resources Group,10/8/2014
2480,"County of Hertford County, North Carolina",10/6/2014
2481,Pacific Biosciences of California,9/30/2014
2482,MetLife,9/30/2014
2483,USAA (related to UPS data breach),9/30/2014
2484,Experian (September),9/29/2014
2485,Comcast,9/29/2014
2486,State Farm,9/26/2014
2487,Valeritas,9/25/2014
2488,Jimmy Johns,9/25/2014
2489,Booking.com,9/23/2014
2490,CareCentrix Inc,9/23/2014
2491,Viator,9/23/2014
2492,Fidelity Investments (September),9/19/2014
2493,Cox Communications,9/18/2014
2494,Miami Dade College,9/17/2014
2495,Tim McCoy & Associates,9/17/2014
2496,Bartell Hotels,9/16/2014
2497,TREMEC,9/16/2014
2498,TD Bank (September),9/15/2014
2499,LPL Financial,9/11/2014
2500,California State University,9/10/2014
2501,The Home Depot,9/10/2014
2502,ClamCase LLC,9/10/2014
2503,Yandy.com,9/10/2014
2504,Dreslyn,9/8/2014
2505,Aventura Hospital,9/8/2014
2506,NCQA,9/8/2014
2507,Geekface LLC,9/8/2014
2508,Goodwill of Greater Washington,9/8/2014
2509,Symbius Medical,8/29/2014
2510,Imhoff and Associates PC,8/27/2014
2511,United States Fire Insurance Company,8/27/2014
2512,The UPS Store,8/26/2014
2513,George Mason University,8/25/2014
2514,Freedom Management/The Natural,8/21/2014
2515,Supervalu,8/19/2014
2516,USAA (August),8/19/2014
2517,Harry Barker,8/19/2014
2518,Comprehensive Medical Practice PC,8/18/2014
2519,St Francis College,8/15/2014
2520,Allianz,8/14/2014
2521,Tokyo Electric Power Company,8/14/2014
2522,Kleiner Perkins Caufield & Byers,8/12/2014
2523,County of San Mateo,8/12/2014
2524,Polish Falcons of America,8/12/2014
2525,Diatherix Laboratories,8/11/2014
2526,Test Effects,8/11/2014
2527,Signal Outdoor Advertising,8/11/2014
2528,24 On Physicians,8/11/2014
2529,Anderson & Murison Inc.,8/8/2014
2530,P.F. Changs China Bistro,8/7/2014
2531,Riverside Health System,8/7/2014
2532,Lasko Group,8/6/2014
2533,Jersey City Medical Center,8/6/2014
2534,Genworth,8/5/2014
2535,USAA,8/5/2014
2536,Oppenheimer Funds August,8/5/2014
2537,Houstonian Hotel Club and Spa,8/4/2014
2538,Reading Partners,8/4/2014
2539,SourceMedia,8/1/2014
2540,Chicago Yacht Club,8/1/2014
2541,Northern Trust Company,7/31/2014
2542,The Taubman Museum of Arts,7/28/2014
2543,Seattle University,7/28/2014
2544,OppenheimerFunds,7/25/2014
2545,Experian (July),7/23/2014
2546,Freshology,7/22/2014
2547,American Public University System,7/22/2014
2548,Kaplan University,7/18/2014
2549,TotalBank,7/17/2014
2550,Invulu Inc,7/15/2014
2551,Watermark Retirement Communities,7/14/2014
2552,Park Hill School District,7/14/2014
2553,Lincoln Financial Securities Corp,7/11/2014
2554,Thomson Reuters,7/11/2014
2555,Cottage Health System,7/10/2014
2556,Citibank,7/10/2014
2557,Orange County Property Appraiser,7/10/2014
2558,New River Valley Community Services,7/8/2014
2559,Homesite Home Insurance,7/7/2014
2560,Sterne Agee & Leach,7/2/2014
2561,Baltimore School of Massage,7/2/2014
2562,Atlantic Automotive Corp,7/1/2014
2563,Butler University,6/30/2014
2564,Benjamin F Edwards & CO,6/30/2014
2565,Legal Sea Foods,6/30/2014
2566,T Mobile,6/26/2014
2567,The Metropolitan Companies,6/25/2014
2568,Montana Department of Public Health and Human Services,6/24/2014
2569,David Stanley Dodge,6/24/2014
2570,Giant Eagle,6/20/2014
2571,Take Home the Bread,6/17/2014
2572,SafetyFirst,6/17/2014
2573,AT&T,6/17/2014
2574,Union Labor Life Insurance Company,6/17/2014
2575,Utica Mutual/Graphic Arts/Republic Franklin,6/17/2014
2576,Fidelity National Financial,6/16/2014
2577,Papa Johns USA,6/16/2014
2578,LPL Financial,6/16/2014
2579,Herbaria,6/16/2014
2580,Riverside Community College District,6/16/2014
2581,National Credit Adjusters,6/11/2014
2582,CoreLogic SafeRent,6/11/2014
2583,Maschino Hudelson & Associates,6/10/2014
2584,Intuit,6/10/2014
2585,Kimpton,6/3/2014
2586,Sleep Inn & Suites,6/2/2014
2587,The Home Depot (May),6/2/2014
2588,Service Alternatives,6/2/2014
2589,Lowes Companies,6/2/2014
2590,Davita,6/2/2014
2591,Gutchess Lumber Co,6/2/2014
2592,Placemark Investments,6/2/2014
2593,DuPage Credit Union,6/2/2014
2594,AutoNation,6/2/2014
2595,Paytime,6/2/2014
2596,Rowan Companies,6/2/2014
2597,Experian (May),5/27/2014
2598,Hanover Foods Corporation,5/22/2014
2599,Precision Planting LLC,5/21/2014
2600,Fidelity Investments,5/20/2014
2601,Affinity Gaming,5/20/2014
2602,Hubbard Bert Inc,5/14/2014
2603,Entercom Portland LLC,5/14/2014
2604,EDC,5/12/2014
2605,PREIT,5/12/2014
2606,American Tin Ceilings LLC,5/9/2014
2607,Gingerbread Shed Corporation,5/9/2014
2608,Boomerang Tags,5/7/2014
2609,Mercer HR Services LLC,5/7/2014
2610,Umass Memorial Medical Center,5/5/2014
2611,JCM Partners,5/2/2014
2612,USAA (2),4/30/2014
2613,NCO Financial,4/30/2014
2614,Central City Concern,4/28/2014
2615,Mid Atlantic Professionals,4/24/2014
2616,Snelling Staffing,4/23/2014
2617,Larsen Dental Care,4/22/2014
2618,Willis North America Inc Medical Expense Benefit Plan,4/22/2014
2619,Mimeo.com,4/21/2014
2620,VFW,4/21/2014
2621,Parallon Business Solutions,4/16/2014
2622,LaCie USA,4/15/2014
2623,Blue Cross and Blue Shield of Kansas City,4/15/2014
2624,American Health Information Management Association,4/15/2014
2625,Better Housing Coalition,4/15/2014
2626,Deltek,4/11/2014
2627,Fujifilm (April),4/10/2014
2628,Cityspa,4/10/2014
2629,RBS Citizens Financial Group (april),4/8/2014
2630,LOGOS Management Software,4/7/2014
2631,Bimbo Bakeries USA,4/7/2014
2632,"City of Crossville, Tennessee",4/7/2014
2633,RK Internet,4/3/2014
2634,Wiley Wilson,4/2/2014
2635,Jackson National Life Insurance,3/31/2014
2636,Auburn University,3/26/2014
2637,Marvel Manufacturing Company,3/25/2014
2638,C.J. Schlosser & Company,3/24/2014
2639,ING Financial Partners,3/24/2014
2640,Baldwin Law Firm,3/21/2014
2641,USAA (list),3/19/2014
2642,McDermott Investment Services LLC,3/17/2014
2643,Hilton Los Angeles Airport Hotel,3/13/2014
2644,City of Pleasantville,3/13/2014
2645,ING Life Insurance,3/13/2014
2646,Service Coordination Inc,3/13/2014
2647,Oak Associates Funds,3/10/2014
2648,Equifax,3/10/2014
2649,eScreen,3/7/2014
2650,Pershing LLC,3/5/2014
2651,Assisted Living Concepts,3/4/2014
2652,Alaska Communications,3/4/2014
2653,McKenna Long & Aldridge LLP,3/4/2014
2654,Citizens Bank,3/4/2014
2655,Principal Financial Group,3/4/2014
2656,Smuckers,2/28/2014
2657,80sTee.com,2/25/2014
2658,USAA (February),2/25/2014
2659,Traditional Bank,2/25/2014
2660,Lincoln Financial Advisors,2/21/2014
2661,Fujifilm,2/20/2014
2662,Well.ca,2/20/2014
2663,Rubin Lublin LLC,2/19/2014
2664,Sentara Health System 403(b) plan,2/19/2014
2665,TD Bank (February),2/19/2014
2666,Experian (February),2/18/2014
2667,myMatrixx,2/14/2014
2668,Catamaran,2/14/2014
2669,The Home Depot,2/12/2014
2670,San Francisco Embassy Suites,2/11/2014
2671,American National,2/11/2014
2672,Invest Financial (second one),2/11/2014
2673,Farmers and Merchants Trust,2/11/2014
2674,White Lodging Services,2/10/2014
2675,USAA,2/10/2014
2676,Contract Claims Services,2/6/2014
2677,Michaels Stores,2/6/2014
2678,RBS Citizens Financial Group,2/6/2014
2679,Bank of the West,2/6/2014
2680,Nielsen Company,2/5/2014
2681,Greenleaf Book Group,2/5/2014
2682,TD Bank,2/4/2014
2683,CTS Inernational,2/3/2014
2684,Beebe Healthcare,2/3/2014
2685,Tribeca Film Institute,1/29/2014
2686,MilCo Enterprises,1/28/2014
2687,Complete Medical Homecare,1/28/2014
2688,Sidney Regional Medical Center,1/28/2014
2689,Neiman Marcus Group,1/28/2014
2690,Coca-Cola Company,1/28/2014
2691,State Industrial,1/28/2014
2692,Barry University,1/22/2014
2693,Principal Trust Company,1/22/2014
2694,Apex Systems,1/21/2014
2695,Invest Financial,1/21/2014
2696,Easton-Bell Sports,1/21/2014
2697,RGH Enterprises,1/13/2014
2698,UNICEF,1/13/2014
2699,Focus on Surety,1/13/2014
2700,Experian,1/8/2014
2701,South Carolina Health Insurance Pool,1/6/2014
2702,Riverside,1/2/2014
2703,AccountMate Software,1/2/2014
2704,T-Mobile,1/2/2014
2705,BBCN Bank,1/2/2014
2706,Alzheimers Association,1/2/2014
2707,Update Legal,12/30/2013
2708,BPS Diamond Sports,12/30/2013
2709,Actelis Networks,12/27/2013
2710,Target Corporation,12/27/2013
2711,Affinity Gaming,12/27/2013
2712,Massachusetts Mutual Life,12/27/2013
2713,RegistratioNation,12/27/2013
2714,TechMedia Network,12/27/2013
2715,Toys R  Us,12/27/2013
2716,Danner,12/20/2013
2717,CITGO,12/19/2013
2718,Mannix Marketing,12/18/2013
2719,DecisionDesk,12/18/2013
2720,EZYield,12/17/2013
2721,Experian (December),12/12/2013
2722,Next Day Blinds,12/12/2013
2723,Principal Life Insurance Company (December),12/12/2013
2724,Maricopa County Community College District,12/10/2013
2725,Horizon Healthcare Services,12/9/2013
2726,Treloar & Heisel Inc,12/4/2013
2727,Made in Oregon,12/4/2013
2728,Walgreen Co.,12/3/2013
2729,GE Capital Retail Bank (11/5/13),12/3/2013
2730,American United Life Insurance,12/2/2013
2731,Drew University,12/2/2013
2732,Kroll Background Screening,12/2/2013
2733,Travelocity.com,11/27/2013
2734,Genesys Home Health Care,11/25/2013
2735,Cracker Barrel,11/20/2013
2736,Health Fitness,11/20/2013
2737,Cruises Inc.,11/18/2013
2738,USI Affinity,11/15/2013
2739,Lincoln Credit Group,11/15/2013
2740,National Debt Defense (looks like same as Lincoln),11/15/2013
2741,Crown Castle,11/15/2013
2742,Clarity Media Group,11/13/2013
2743,DaVita,11/12/2013
2744,First National Investment Services,11/12/2013
2745,Experian (11/8),11/12/2013
2746,New Generations Federal Credit Uniond,11/12/2013
2747,Experian (11/5),11/6/2013
2748,Western Union,11/5/2013
2749,Leap Motion,11/4/2013
2750,Benecon Group,11/4/2013
2751,Thrivent Financial for Lutherans,11/4/2013
2752,Harbor Freight Tools,11/1/2013
2753,Datapak Services (Scotts Company),10/31/2013
2754,Variable Annuity Life Insurance,10/31/2013
2755,Greene Consulting Associates,10/30/2013
2756,Dun & Bradstreet,10/29/2013
2757,Yusen Logistics,10/29/2013
2758,International SOS Assistance,10/29/2013
2759,Salem - handled through Corrine Vaughan email,10/29/2013
2760,Carol A. Dacey CPA PLLC,10/25/2013
2761,Mighty Leaf Tea (Weblinc),10/22/2013
2762,Ouidad,10/22/2013
2763,TD Bank (10/17/13),10/22/2013
2764,HTC of Manassas,10/18/2013
2765,TD Bank,10/18/2013
2766,Hudson Valley Community College,10/17/2013
2767,Principal Life Insurance,10/16/2013
2768,Safetynet,10/16/2013
2769,Holy Cross Hospital,10/15/2013
2770,Singleton Funeral & Cremation Services (Clark & Anderson),10/15/2013
2771,Washington University,10/15/2013
2772,NBC Sports,10/15/2013
2773,Executive Accounting Services,10/10/2013
2774,Clinical Reference Laboratory,10/9/2013
2775,Datapak Services Corporation,10/8/2013
2776,The Coordinating Center (Clark & Anderson breach),10/7/2013
2777,R T Jones Capital Equities,10/7/2013
2778,CSX,10/7/2013
2779,Glen Burnie Improvement,10/7/2013
2780,Adobe Systems,10/4/2013
2781,Long Term Care Group,10/4/2013
2782,Colonial Properties Trust,10/3/2013
2783,Fidelity Investments,10/1/2013
2784,U Haul,9/30/2013
2785,Clark and Anderson PA,9/27/2013
2786,Total System Services,9/27/2013
2787,ICG America,9/26/2013
2788,Public Storage,9/26/2013
2789,Cleveland Institute of Music,9/25/2013
2790,State Farm (9/19/13),9/25/2013
2791,Prince William County Public Schools (Yorkshire/West Gate),9/24/2013
2792,Allen Allen Allen & Allen,9/23/2013
2793,Windhaven Investment,9/23/2013
2794,Buckeye Check Cashing (related),9/20/2013
2795,First Virginia Financial (related),9/20/2013
2796,Buckeye Title Loans (related,9/20/2013
2797,National Tax Lending (related),9/20/2013
2798,Altius University,9/20/2013
2799,New Teacher Project,9/20/2013
2800,PLS Financial Services,9/19/2013
2801,MFS Service Center,9/18/2013
2802,Virginia Tech,9/18/2013
2803,Experian (September),9/17/2013
2804,Vector Security,9/17/2013
2805,Crystal & Company (3 letters/3 different affiliations,9/17/2013
