Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
Branch Banking & Trust Company,FINANCIAL SERVICES/INSURANCE,6/10/2010,5/27/2010,RELEASE/ DISPLAY OF INFO,,2
"New NGC, Inc. d/b/a National Gypsum Company",GENERAL BUSINESS,6/17/2010,2/24/2010,LOST IN TRANSIT,,39
The National Treasury Employees Union,RELIGIOUS/NONPROFIT,6/10/2010,4/23/2010,RELEASE/ DISPLAY OF INFO,,1
Bertie Memorial Hospital,HEALTHCARE,6/10/2010,4/26/2010,RELEASE/ DISPLAY OF INFO,,3
"Ameriprise Financial, Inc.",FINANCIAL SERVICES/INSURANCE,6/4/2010,6/4/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
"Cross Country Healthcare, Inc.",HEALTHCARE,6/7/2010,6/1/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
Dick's Sporting Goods,GENERAL BUSINESS,6/4/2010,3/30/2010,RELEASE/ DISPLAY OF INFO,,7
Integrity Applications Inc.,GENERAL BUSINESS,6/3/2010,5/13/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
North Carolina Dept. of Health and Human Services,GOVERNMENT,5/21/2010,4/28/2010,LOST IN TRANSIT,,6
Cincinnati Children's Hospital Medical Center,HEALTHCARE,5/27/2010,3/30/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,104
Union County,GOVERNMENT,6/1/2010,5/27/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,60
Chowan Hospital,HEALTHCARE,6/1/2010,2/26/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,3
Intuit Inc.,GENERAL BUSINESS,5/24/2010,4/7/2010,HACKERS/ UNAUTHORIZED,,2
Teachers Insurance and Annuity Association,FINANCIAL SERVICES/INSURANCE,5/27/2010,3/12/2010,RELEASE/ DISPLAY OF INFO,,1
Tufts University,EDUCATIONAL,5/21/2010,2/18/2010,HACKERS/ UNAUTHORIZED,,99
Herzing University Online,EDUCATIONAL,5/21/2010,4/13/2010,RELEASE/ DISPLAY OF INFO,,24
Cabarrus County,GOVERNMENT,5/11/2010,4/1/2010,LOST IN TRANSIT,,9
City of Charlotte,GOVERNMENT,5/25/2010,2/2/2010,LOST IN TRANSIT,,4697
"Carolina Psychiatry, P.C.",HEALTHCARE,4/12/2010,4/9/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1
Fidelity Investments,FINANCIAL SERVICES/INSURANCE,5/20/2010,5/10/2010,RELEASE/ DISPLAY OF INFO,,1
United Health Care,FINANCIAL SERVICES/INSURANCE,5/25/2010,4/1/2010,RELEASE/ DISPLAY OF INFO,,17
Branch Banking & Trust Company,FINANCIAL SERVICES/INSURANCE,5/19/2010,5/7/2010,RELEASE/ DISPLAY OF INFO,,1
Collection Technology Inc,GENERAL BUSINESS,5/20/2010,4/20/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,10
New York Life Insurance Company,FINANCIAL SERVICES/INSURANCE,5/14/2010,4/7/2010,RELEASE/ DISPLAY OF INFO,,2
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,5/12/2010,4/22/2010,"HACKERS/ UNAUTHORIZED, ACCESS",,5
Gerdau Ameristeel,GENERAL BUSINESS,5/12/2010,4/23/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,2
The Lincoln National Life Insurance Company,FINANCIAL SERVICES/INSURANCE,5/17/2010,1/22/2010,RELEASE/ DISPLAY OF INFO,,69
Southeastern Freight Lines,GENERAL BUSINESS,5/5/2010,2/25/2010,LOST IN TRANSIT,,93
Lane College,EDUCATIONAL,5/3/2010,4/15/2010,RELEASE/ DISPLAY OF INFO,,1
Orbitz Worldwide,GENERAL BUSINESS,5/5/2010,4/15/2010,HACKERS/ UNAUTHORIZED,,2
HSBC,FINANCIAL SERVICES/INSURANCE,5/5/2010,4/13/2010,RELEASE/ DISPLAY OF INFO,,33
"Fujitsu America, Inc.",GENERAL BUSINESS,4/30/2010,1/18/2010,HACKERS/ UNAUTHORIZED,,2
USAA,FINANCIAL SERVICES/INSURANCE,5/4/2010,4/9/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,3
J.M. Smucker Company,GENERAL BUSINESS,4/29/2010,4/5/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,19
Travelex Currency Services Inc.,FINANCIAL SERVICES/INSURANCE,4/29/2010,3/4/2010,RELEASE/ DISPLAY OF INFO,,3
Iredell County Health Dept.,HEALTHCARE,4/15/2010,4/12/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,2
Praxair,GENERAL BUSINESS,4/20/2010,2/18/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,752
Lorillard Tobacco Company,GENERAL BUSINESS,4/13/2010,3/2/2010,LOST IN TRANSIT,,2424
The General Council on Finance and Administration of The United Methodist Church,RELIGIOUS/NONPROFIT,4/23/2010,2/26/2010,LOST IN TRANSIT,,35
Constellation Wines US,GENERAL BUSINESS,4/19/2010,4/9/2010,RELEASE/ DISPLAY OF INFO,,14
"University Health Systems of Eastern Carolina, Inc.",HEALTHCARE,4/19/2010,2/15/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
"Insource Contract Services, LLC",GENERAL BUSINESS,4/13/2010,11/1/2008,RELEASE/ DISPLAY OF INFO,,64
Genworth Financial Securities Corp.,FINANCIAL SERVICES/INSURANCE,4/15/2010,4/9/2010,"HACKERS/ UNAUTHORIZED, ACCESS",,1
Tiffany & Co,GENERAL BUSINESS,4/16/2010,4/1/2010,LOST IN TRANSIT,,1
Hampton Inn Tropicana,GENERAL BUSINESS,4/16/2010,2/3/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,128
Tammy King,HEALTHCARE,4/12/2010,4/9/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,3
"AvMed, Inc.",FINANCIAL SERVICES/INSURANCE,4/13/2010,12/10/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1600
The Arc of North Carolina,RELIGIOUS/NONPROFIT,3/27/2010,11/24/2008,RELEASE/ DISPLAY OF INFO,,473
"The Hartford Mutual Funds, Inc.",FINANCIAL SERVICES/INSURANCE,4/9/2010,4/1/2010,LOST IN TRANSIT,,4
Educational Theatre Association,RELIGIOUS/NONPROFIT,4/8/2010,2/15/2010,RELEASE/ DISPLAY OF INFO,,6
"Tatum Division of Professional Services, LLC",GENERAL BUSINESS,4/8/2010,3/24/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,5
Monoprice,GENERAL BUSINESS,4/8/2010,3/29/2010,HACKERS/ UNAUTHORIZED,,702
"FedComp, Inc",FINANCIAL SERVICES/INSURANCE,4/7/2010,4/7/2010,"HACKERS/ UNAUTHORIZED, ACCESS",,686
Educational Credit Management Corp,FINANCIAL SERVICES/INSURANCE,4/7/2010,3/21/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,96908
"HBDirect.com, LLC",GENERAL BUSINESS,4/5/2010,3/1/2010,HACKERS/ UNAUTHORIZED,,59
"Stores Online, Inc.",GENERAL BUSINESS,4/2/2010,3/15/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,39
"University Health Systems of Eastern Carolina, Inc.",HEALTHCARE,4/1/2010,3/19/2010,RELEASE/ DISPLAY OF INFO,,1
JA Jones,GENERAL BUSINESS,4/1/2010,2/25/2010,LOST IN TRANSIT,,3
Carson's Inc.,GENERAL BUSINESS,4/1/2010,3/25/2010,RELEASE/ DISPLAY OF INFO,,476
Proxima Alfa Investments (USA) LLC,FINANCIAL SERVICES/INSURANCE,3/24/2010,11/30/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
EarthLink,GENERAL BUSINESS,3/25/2010,3/25/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1
General Motors Co.,GENERAL BUSINESS,3/24/2010,2/25/2010,RELEASE/ DISPLAY OF INFO,,4
Carolina Baptist Hospital / Wake Forest University Baptist Medical Center,HEALTHCARE,3/26/2010,2/15/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,517
Wake Forest University Health Services,HEALTHCARE,3/26/2010,2/10/2010,LOST IN TRANSIT,,12
Amerita's Investment Corp. / Legacy Financial,FINANCIAL SERVICES/INSURANCE,3/5/2010,1/27/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,10000
Albemarle Pediatrics,HEALTHCARE,3/25/2010,3/4/2010,RELEASE/ DISPLAY OF INFO,,1
World Financial Group,FINANCIAL SERVICES/INSURANCE,3/17/2010,2/1/2010,RELEASE/ DISPLAY OF INFO,,66
Johns Hopkins University,EDUCATIONAL,3/17/2010,3/8/2010,RELEASE/ DISPLAY OF INFO,,38
Easter Seals UCP North Carolina,RELIGIOUS/NONPROFIT,3/17/2010,2/19/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,71
"Ahold USA, Inc.",GENERAL BUSINESS,3/15/2010,2/26/2010,LOST IN TRANSIT,,3
Putnam Investments,FINANCIAL SERVICES/INSURANCE,3/18/2010,2/16/2010,RELEASE/ DISPLAY OF INFO,59,1
Blue Ridge Bone & Joint Clinic,HEALTHCARE,3/18/2010,3/5/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,350
Express Script,GENERAL BUSINESS,3/10/2010,2/15/2010,RELEASE/ DISPLAY OF INFO,,2
Advanced HomeCare,HEALTHCARE,3/16/2010,2/8/2010,RELEASE/ DISPLAY OF INFO,,11
American Institute for Cancer Research,RELIGIOUS/NONPROFIT,3/10/2010,1/31/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,377
Shop NBC,GENERAL BUSINESS,3/11/2010,1/19/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,3
Invest Financial Corp.,FINANCIAL SERVICES/INSURANCE,3/2/2010,2/9/2010,"HACKERS/ UNAUTHORIZED, ACCESS",,1
Putnam Investments,FINANCIAL SERVICES/INSURANCE,3/5/2010,1/22/2010,RELEASE/ DISPLAY OF INFO,,1
Shop NBC,GENERAL BUSINESS,3/3/2010,12/31/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1
Thomson CompuMark,GENERAL BUSINESS,2/23/2010,1/21/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Cogent Healthcare of Wisconsin,HEALTHCARE,3/2/2010,10/12/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,5
Nationwide Mutual Insurance Co.,FINANCIAL SERVICES/INSURANCE,2/23/2010,2/18/2010,RELEASE/ DISPLAY OF INFO,,1
"NBC Universal, Inc.",GENERAL BUSINESS,2/25/2010,2/4/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Providence Health Services,HEALTHCARE,2/26/2010,1/25/2010,LOST IN TRANSIT,,1
"Select Portfolio Servicing, Inc.",FINANCIAL SERVICES/INSURANCE,2/22/2010,1/1/2010,RELEASE/ DISPLAY OF INFO,94,1
World Financial Group,FINANCIAL SERVICES/INSURANCE,3/17/2010,2/1/2010,RELEASE/ DISPLAY OF INFO,335,66
American Home Assurance,FINANCIAL SERVICES/INSURANCE,2/22/2010,12/16/2009,LOST IN TRANSIT,,1
Beecher Carlson,GENERAL BUSINESS,2/26/2010,1/19/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1696
Wyndham Hotels & Resorts,GENERAL BUSINESS,2/19/2010,1/29/2010,HACKERS/ UNAUTHORIZED,,174
Hartford Fire Insurance Co.,FINANCIAL SERVICES/INSURANCE,2/19/2010,1/25/2010,RELEASE/ DISPLAY OF INFO,117,4
MassMutual Life Insurance,FINANCIAL SERVICES/INSURANCE,2/18/2010,12/14/2009,LOST IN TRANSIT,,
Willard Intercontinental Hotel,GENERAL BUSINESS,2/15/2010,9/19/2009,HACKERS/ UNAUTHORIZED,,197
Rutherford Hospital,HEALTHCARE,2/11/2010,2/3/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Gloves Inc. d/b/a Galeton,GENERAL BUSINESS,2/8/2010,1/7/2010,HACKERS/ UNAUTHORIZED,,232
Equifax Inc.,FINANCIAL SERVICES/INSURANCE,2/10/2010,1/19/2010,RELEASE/ DISPLAY OF INFO,,12
"Beer & Wine Hobby Baccus, Inc",GENERAL BUSINESS,2/10/2010,12/25/2009,HACKERS/ UNAUTHORIZED,,390
United States Golf Association,RELIGIOUS/NONPROFIT,2/17/2010,1/22/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,21
Abbott Medical Optics Inc.,HEALTHCARE,2/1/2010,12/29/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,40
H&R Block,FINANCIAL SERVICES/INSURANCE,2/1/2010,12/4/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,22
Metropolitan Life Insurance Co.,FINANCIAL SERVICES/INSURANCE,2/1/2010,1/5/2010,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,11
Sandhills Physicians Inc.,HEALTHCARE,2/3/2010,1/20/2010,RELEASE/ DISPLAY OF INFO,,4
"T Mobile USA, Inc.",GENERAL BUSINESS,1/10/2010,12/31/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1
Columbia University,EDUCATIONAL,2/1/2010,1/18/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,4
Ceridian Corp,FINANCIAL SERVICES/INSURANCE,2/1/2010,12/28/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,481
Primerica Financial Services,FINANCIAL SERVICES/INSURANCE,2/2/2010,12/5/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
"P.F. Chang's China Bistro, Inc.",GENERAL BUSINESS,1/28/2010,12/19/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,4018
SDI Technologies,GENERAL BUSINESS,1/28/2010,1/8/2010,HACKERS/ UNAUTHORIZED,,247
"Curian Capital, LLC",FINANCIAL SERVICES/INSURANCE,1/29/2010,1/20/2010,RELEASE/ DISPLAY OF INFO,,52
Wyndham Vacation Resorts,GENERAL BUSINESS,1/25/2010,1/6/2010,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,25
"Daedalus Books, Inc",GENERAL BUSINESS,1/20/2010,1/20/2010,HACKERS/ UNAUTHORIZED,,
Association of American Medical Colleges,RELIGIOUS/NONPROFIT,1/20/2010,1/13/2010,LOST IN TRANSIT,,40
"Building Media, Inc.",GENERAL BUSINESS,1/15/2010,12/7/2009,HACKERS/ UNAUTHORIZED,,6
"Frontier Insurance Group, LLC",FINANCIAL SERVICES/INSURANCE,1/12/2010,1/4/2010,LOST IN TRANSIT,,50
"University Health Systems of Eastern Carolina, Inc.",HEALTHCARE,1/19/2010,11/25/2009,RELEASE/ DISPLAY OF INFO,,1
John Hancock Financial Services,FINANCIAL SERVICES/INSURANCE,1/7/2010,12/4/2009,LOST IN TRANSIT,,2250
Suffolk County National Bank,FINANCIAL SERVICES/INSURANCE,1/10/2010,12/24/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,9
Metropolitan Life Insurance Co.,FINANCIAL SERVICES/INSURANCE,1/7/2010,11/9/2009,RELEASE/ DISPLAY OF INFO,,8
Empire Equity dba 1st Metropolitan,FINANCIAL SERVICES/INSURANCE,1/7/2010,12/29/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,47
Time Inc.,GENERAL BUSINESS,1/4/2010,11/23/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,5
Health Net. Inc.,HEALTHCARE,1/6/2010,9/9/2009,RELEASE/ DISPLAY OF INFO,,77
Lincoln Financial Securities Corp,FINANCIAL SERVICES/INSURANCE,1/4/2010,8/17/2009,RELEASE/ DISPLAY OF INFO,1200000,52900
Pure Style Girlfriends,GENERAL BUSINESS,12/19/2009,12/17/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,
"The Alliance Development Fund, Inc.",RELIGIOUS/NONPROFIT,12/8/2009,11/16/2009,RELEASE/ DISPLAY OF INFO,,60
Western Michigan University,EDUCATIONAL,12/21/2009,12/14/2009,RELEASE/ DISPLAY OF INFO,,3
"Virginia Air Distributors, Inc.",GENERAL BUSINESS,12/30/2009,12/24/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,17
Blue Cross and Blue Shield of Tennessee,FINANCIAL SERVICES/INSURANCE,12/16/2009,10/2/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1023209,15119
MassMutual Financial Group,FINANCIAL SERVICES/INSURANCE,12/18/2009,11/29/2009,RELEASE/ DISPLAY OF INFO,,2
Telhio Credit Union,FINANCIAL SERVICES/INSURANCE,12/21/2009,9/21/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1
"Lynda Heymen, Psy.D., P.A.",HEALTHCARE,12/12/2009,11/4/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,7
North Carolina Community College System,EDUCATIONAL,12/17/2009,12/17/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,50000
CaroMont Health,HEALTHCARE,12/14/2009,11/9/2009,RELEASE/ DISPLAY OF INFO,,4
Transamerica Financial Advisors,FINANCIAL SERVICES/INSURANCE,12/18/2009,10/25/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Allstate,FINANCIAL SERVICES/INSURANCE,12/18/2009,11/5/2009,RELEASE/ DISPLAY OF INFO,,33
BMW Group,GENERAL BUSINESS,12/16/2009,12/16/2009,LOST IN TRANSIT,,7
Charles Schwab Corp.,FINANCIAL SERVICES/INSURANCE,6/11/2009,5/1/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,230
Superior School of Real Estate,GENERAL BUSINESS,12/8/2009,10/18/2009,HACKERS/ UNAUTHORIZED,,9464
"FCI USA, LLC",GENERAL BUSINESS,11/19/2009,9/24/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2000,24
Wake County Public Schools,EDUCATIONAL,12/4/2009,12/3/2009,RELEASE/ DISPLAY OF INFO,,5267
Nuance Communications Inc.,GENERAL BUSINESS,11/30/2009,11/11/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,27
Textron,GENERAL BUSINESS,12/3/2009,11/3/2009,LOST IN TRANSIT,,319
RBC Bank,FINANCIAL SERVICES/INSURANCE,12/1/2009,11/17/2009,LOST IN TRANSIT,12,9
Smith College,EDUCATIONAL,11/30/2009,10/26/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Equifax Mortgage Services,FINANCIAL SERVICES/INSURANCE,11/24/2009,10/1/2009,PHISHING,,1
The Pantry Inc.,GENERAL BUSINESS,11/20/2009,11/6/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,0
"Residence Inn Atlanta / Ashford TRS Sapphire, LLC",GENERAL BUSINESS,11/23/2009,2/20/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,3
Healthnet,FINANCIAL SERVICES/INSURANCE,11/30/2009,5/14/2009,LOST IN TRANSIT,,1826
Universal American,HEALTHCARE,11/20/2009,11/16/2009,RELEASE/ DISPLAY OF INFO,,11624
Eisai Inc.,GENERAL BUSINESS,11/16/2009,10/23/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Cobra Electronics Corp.,GENERAL BUSINESS,11/9/2009,6/14/2009,HACKERS/ UNAUTHORIZED,,282
"Sea Ray Boats, Inc.",GENERAL BUSINESS,11/5/2009,10/21/2009,RELEASE/ DISPLAY OF INFO,341,10
The Carolina Renaissance Festival & Artisan Marketplace,GENERAL BUSINESS,10/26/2009,10/26/2009,RELEASE/ DISPLAY OF INFO,,8
Thermofisher Scientific,GENERAL BUSINESS,10/30/2009,10/30/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
BlackRock Inc,FINANCIAL SERVICES/INSURANCE,10/29/2009,12/30/2008,RELEASE/ DISPLAY OF INFO,,72
Blue Cross and Blue Shield of North Carolina,FINANCIAL SERVICES/INSURANCE,10/16/2009,8/25/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,21247
BB&T,FINANCIAL SERVICES/INSURANCE,10/14/2009,9/20/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,3
Radisson,GENERAL BUSINESS,10/12/2009,11/8/2008,HACKERS/ UNAUTHORIZED,,
"Moses, Phillips, Young, Brannon & Henninger, LLP",FINANCIAL SERVICES/INSURANCE,10/2/2009,9/28/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,3
Pitt County Memorial Hospital,HEALTHCARE,10/9/2009,8/27/2009,LOST IN TRANSIT,,1600
The Carolina Mammography Registry,HEALTHCARE,9/25/2009,7/25/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,226000
Empi Recovery Sciences,GENERAL BUSINESS,9/28/2009,7/29/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,25
"Flextronics International USA, Inc.",GENERAL BUSINESS,9/22/2009,8/14/2009,RELEASE/ DISPLAY OF INFO,,2308
Kraft Foods,GENERAL BUSINESS,9/18/2009,8/15/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,166
Group M,GENERAL BUSINESS,9/1/2009,7/16/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,13
T Mobile,GENERAL BUSINESS,9/10/2009,9/3/2009,RELEASE/ DISPLAY OF INFO,,13
Assurity Financial Services,FINANCIAL SERVICES/INSURANCE,9/8/2009,3/1/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,159
American Barcode and RFID,GENERAL BUSINESS,8/12/2009,7/27/2009,HACKERS/ UNAUTHORIZED,,88
"Network Solutions, LLC",GENERAL BUSINESS,8/4/2009,6/8/2009,HACKERS/ UNAUTHORIZED,,15017
"Williams Companies, Inc.",GENERAL BUSINESS,8/3/2009,7/28/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,95
City of Durham,GOVERNMENT,7/28/2009,3/1/2006,RELEASE/ DISPLAY OF INFO,2343,2343
Franklin County Health Department,GOVERNMENT,7/31/2009,7/30/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,266
Health Net Inc.,HEALTHCARE,7/27/2009,6/29/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,27
Lamp Source,GENERAL BUSINESS,7/24/2009,7/15/2009,RELEASE/ DISPLAY OF INFO,,1220
"Nashbar Direct, Inc.",GENERAL BUSINESS,6/29/2009,2/13/2009,HACKERS/ UNAUTHORIZED,,3386
"CS Stars, LLC",GENERAL BUSINESS,7/9/2009,5/11/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,518
Health Net Inc.,HEALTHCARE,6/30/2009,5/28/2009,RELEASE/ DISPLAY OF INFO,,133
Tyco Flow Control Americas,GENERAL BUSINESS,6/23/2009,6/7/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,164
"Daughters without Dads, Inc.",RELIGIOUS/NONPROFIT,6/25/2009,6/23/2009,HACKERS/ UNAUTHORIZED,,75
LexisNexis Risk & Information Analytics Group / Seisint Inc.,GENERAL BUSINESS,6/19/2009,3/1/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,3048
Colonial Penn Life Insurance,FINANCIAL SERVICES/INSURANCE,6/8/2009,6/13/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,59
Aetna Life Insurance Co.,FINANCIAL SERVICES/INSURANCE,5/22/2009,5/4/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,15092
Davis Vision Eyecare Advantage,HEALTHCARE,5/21/2009,12/31/2008,RELEASE/ DISPLAY OF INFO,8,7
"Sony Rewards Program, operating through the Sony Card Marketing& Services Co.",GENERAL BUSINESS,6/1/2009,5/13/2009,RELEASE/ DISPLAY OF INFO,,96
Batteries.com,GENERAL BUSINESS,5/18/2009,2/25/2009,HACKERS/ UNAUTHORIZED,,4000
NC Department of Transportation,GOVERNMENT,5/11/2009,8/1/2008,RELEASE/ DISPLAY OF INFO,,
UFCW,RELIGIOUS/NONPROFIT,5/14/2009,3/10/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,81
FairPoint Communications,GENERAL BUSINESS,4/20/2009,4/8/2009,RELEASE/ DISPLAY OF INFO,,72
Fujitsu,GENERAL BUSINESS,4/2/2009,7/28/2008,LOST IN TRANSIT,,76
Moses Cone Health Care,HEALTHCARE,4/13/2009,3/9/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,6000
Peninsula Orthopedic Associates,HEALTHCARE,4/3/2009,3/25/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,100
LifeWatch Corp.,GENERAL BUSINESS,3/19/2009,2/20/2009,RELEASE/ DISPLAY OF INFO,,204
Navy Federal Credit Union,FINANCIAL SERVICES/INSURANCE,3/13/2009,2/25/2009,RELEASE/ DISPLAY OF INFO,,111
Developers Diversified Realty Corp.,GENERAL BUSINESS,2/27/2009,2/2/2009,RELEASE/ DISPLAY OF INFO,,339
Colonial Life & Accident Insurance Co.,FINANCIAL SERVICES/INSURANCE,2/19/2009,2/4/2009,LOST IN TRANSIT,,2271
Employment Security Commission of NC,GOVERNMENT,2/20/2009,2/19/2009,RELEASE/ DISPLAY OF INFO,,1615
Hertford Gates Home Health Agency,HEALTHCARE,2/16/2009,1/12/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2000
BlackRock Inc,FINANCIAL SERVICES/INSURANCE,2/11/2009,1/2/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,23
"The Home Depot, Inc.",GENERAL BUSINESS,2/6/2009,2/6/2009,RELEASE/ DISPLAY OF INFO,,45
"Motorola, inc.",GENERAL BUSINESS,2/10/2009,1/15/2009,RELEASE/ DISPLAY OF INFO,,58
Jet Direct Aviation,GENERAL BUSINESS,2/10/2009,2/2/2009,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,4
"Blue Ridge Community Action, Inc.",RELIGIOUS/NONPROFIT,2/4/2009,1/2/2009,LOST IN TRANSIT,,15033
Best Buy,GENERAL BUSINESS,2/5/2009,1/5/2009,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,11
Fuddruckers,GENERAL BUSINESS,2/5/2009,11/30/2008,HACKERS/ UNAUTHORIZED,,1300
Heartland Payment Systems,FINANCIAL SERVICES/INSURANCE,1/30/2009,1/12/2009,"HACKERS/ UNAUTHORIZED, ACCESS",,
"Student Loan Xpress, Inc ( a CIT Company)",FINANCIAL SERVICES/INSURANCE,1/29/2009,12/11/2008,RELEASE/ DISPLAY OF INFO,,211
Ameriprise Advisor Services Inc.,FINANCIAL SERVICES/INSURANCE,1/13/2009,12/17/2008,"HACKERS/ UNAUTHORIZED, ACCESS",,494
UNC School of Arts,EDUCATIONAL,1/5/2009,12/9/2008,RELEASE/ DISPLAY OF INFO,,1444
Pepsi,GENERAL BUSINESS,12/23/2008,12/8/2008,LOST IN TRANSIT,,1077
Winston-Salem State University,EDUCATIONAL,12/3/2008,10/1/2008,RELEASE/ DISPLAY OF INFO,,500
North Pacific Life Group,FINANCIAL SERVICES/INSURANCE,12/23/2008,12/1/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2249
Federated Mutual Insurance Co.,FINANCIAL SERVICES/INSURANCE,12/23/2008,11/24/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1969
Norfolk Southern Corp..,GENERAL BUSINESS,12/17/2008,10/29/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,415
UNC - Greensboro,EDUCATIONAL,12/16/2008,12/11/2008,HACKERS/ UNAUTHORIZED,,2500
