ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
4015,TheKraftHeinzCompany,11/14/2016,10/21/2016,8,570
4016,TheKrogerCo,5/16/2016,1/22/2016,866,13283
4017,"TheLANGCompanies,Inc.",11/30/2016,9/1/2016,438,14257
4018,TheLincolnNationalLifeInsuranceCompany,3/17/2016,,14,58
4019,TheMadisonSquareGardenCompany,11/22/2016,11/9/2015,,
4020,TheNationalBankofIndianapolis,7/20/2016,4/12/2016,76,111
4021,TheNCHHealthcareSystem,1/18/2016,,10,12911
4022,TheNorthwesternMutualLifeInsuranceCompany,2/9/2016,1/25/2016,7,1877
4023,TheOuterBanksHospital,9/9/2016,6/20/2016,1,942
4024,ThePennsylvaniaStateUniversity,5/24/2016,,1,
4025,ThePenrayCompaniesInc,4/12/2016,3/7/2016,1,77
4026,ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,3/9/2016,1/19/2016,127,178
4027,TheQuikreteInc,6/9/2016,5/17/2016,7,244
4028,TheVanguardGroupInc,2/25/2016,,1,1
4029,TheVanguardGroupInc,4/21/2016,12/3/2015,1,1
4030,TheWhiting-TurnerContractingCompany,4/6/2016,3/8/2016,1,5904
4031,"ThirtyThreeThreads,Inc.",10/31/2016,9/22/2016,6,
4032,ThomasvilleEyeCenter,9/28/2016,4/11/2016,1,10891
4033,ThriventFinancial,4/6/2016,1/14/2016,1,1
4034,ThriventFinancial,7/21/2016,7/7/2016,1,1
4035,TiemartInc,6/13/2016,5/4/2016,20,927
4036,"TimesThreeClothier,LLC",11/16/2016,10/4/2016,2,1286
4037,TNMarketing,2/29/2016,11/24/2015,232,13118
4038,TomMcLeodSoftwareCorporation,6/15/2016,6/7/2016,5,430
4039,ToyotaMotorCreditCorporation,2/1/2016,12/28/2015,4,750
4040,ToyotaMotorCreditCorporation,8/26/2016,6/28/2016,93,8989
4041,TravelCaddyIncdbaTravelon,8/4/2016,11/13/2015,27,1672
4042,TriStateEngineeringInc,4/6/2016,3/28/2016,244,292
4043,TropicanaSt.LouisLLCd/b/aLumierePlaceCasino&Hotels,12/15/2016,10/27/2016,28,
4044,TrumpHotelCollection,6/10/2016,3/21/2016,1,
4045,TTIFloorCareNorthAmerica,4/15/2016,10/26/2015,11,400
4046,TurnerConstructionCompany,3/7/2016,3/2/2016,76,9841
4047,UltragenyxPharmaceuticalInc,4/1/2016,3/31/2016,1,280
4048,UnifiedPhysicianManagement,3/30/2016,3/9/2016,1,4635
4049,UnionHospitalInc,6/2/2016,5/20/2016,1,1
4050,UnionLeagueClubofChicago,4/29/2016,12/10/2015,18,806
4051,UnitedStatesInvestigationServices,,,,
4052,UnitedStatesOlympicCommittee-SecurityBreach,11/21/2016,,3,111
4053,UniversityGastroenterologyLLC,8/16/2016,1/15/2016,1,
4054,UniversityofCentralFlorida,2/4/2016,12/30/2015,105,62998
4055,UniversityofMaryWashington,2/4/2016,1/5/2016,10,4135
4056,UniversityofSouthernCaliforniaonbehalfofKUSC,7/12/2016,4/24/2016,1,750
4057,UniversityofVirginia,1/22/2016,,4,
4058,UnknownRespondent,,,,
4059,UnknownRespondent,,,,
4060,UnknownRespondent,3/1/2016,3/1/2016,,
4061,UnknownRespondent,,,,
4062,UrsusHoldingsLLC,9/8/2016,3/21/2016,396,
4063,USAFieldHockey,7/15/2016,3/28/2016,1,767
4064,USBank,5/11/2016,2/1/2016,3,
4065,"USI, Inc.",5/19/2016,4/28/2016,10,1851
4066,USIInsuranceServicesLLC-SecurityBreach,5/11/2016,4/19/2016,2,1399
4067,ValleyHopeAssociation,2/25/2016,12/30/2015,42,52076
4068,ValMarkSecuritiesInc,4/21/2016,,359,2
4069,VaupellHoldingsInc,9/30/2016,9/12/2016,25,2897
4070,VentureLogistics,12/7/2016,11/14/2016,554,1100
4071,VerityHealthSystems,5/31/2016,4/27/2016,1,7604
4072,VFOutletInc,9/27/2016,4/17/2016,179,
4073,VibraHospitalofNorthwesternIndiana,7/19/2016,6/29/2016,1,1
4074,VideoGeneralInc,,,,
4075,VideoGeneralInc,3/22/2016,10/1/2015,52,1094
4076,VirginiaPremierHealthPlanInc,7/21/2016,6/30/2016,1,
4077,VoyaInsuranceandAnnuityCompany,1/4/2016,12/22/2015,4,76
4078,WabashGeneralHospitalDistrict,1/21/2016,12/30/2015,10,58
4079,WashingtonCountyHousingandRedevelopmentAuthority,6/23/2016,3/14/2016,3,
4080,WaterEnvironmentFederation,7/8/2016,4/24/2016,6,474
4081,WatsonCPALLC,5/19/2016,4/10/2016,1148,
4082,"WesternUnionFinancialServices,Inc.",12/21/2016,7/1/2016,707,172068
4083,WinstonHospitality,5/3/2016,1/17/2016,2,30
4084,WoodHerronEvansLLP,5/13/2016,4/10/2016,2,
4085,WorkCareInc,2/26/2016,2/18/2016,1,
4086,WRJHoldingsLLCdbaClassicFirearms,10/11/2016,9/26/2016,1,55
4087,WynegarJane,5/28/2016,3/12/2016,60,60
4088,"YoungAdultInstitute,Inc.",11/28/2016,,1,913
4089,YoungWadlingtonPLLC,7/21/2016,12/16/2015,7,274
4090,YourCommunityBank,4/27/2016,3/13/2016,267,455
4091,YourEncoreInc,3/21/2016,3/7/2016,103,864
4092,ZeroGravitySolutionsInc,8/1/2016,7/1/2016,1,143
4093,ZieglerTavesMartinLLP,7/28/2016,6/17/2016,2,354
4094,ZocdocInc,5/16/2016,1/1/2011,1,17000
4095,(DOR) Indiana Department of Revenue,7/6/2015,6/11/2015,40,85
4096,2020Communications,8/3/2015,7/27/2015,2,2
4097,AbercrombieFitch,4/17/2015,3/25/2015,3,
4098,AcclaimTechnicalServicesInc,12/23/2015,8/26/2015,5,2000
4099,ACESurgicalSupplyCoInc,9/15/2015,4/11/2015,15,1158
4100,ActavisInc,10/1/2015,8/25/2015,104,9401
4101,AcuityAMututalInsuranceCompany,4/23/2015,4/14/2015,1,1
4102,Adreima,11/5/2015,10/12/2015,3,497
4103,AdvantageDental,3/18/2015,2/23/2015,7,
4104,AeroGrowInternationalInc,6/3/2015,10/15/2014,688,41325
4105,AetnaLifeInsuranceCompany-Breach Notification,1/8/2015,,4,133
4106,AFLAC,11/20/2015,10/7/2015,1,1
4107,Aflac,11/10/2015,10/26/2015,4,
4108,AFLAC,10/19/2015,7/1/2015,1,297
4109,AFLAC,7/15/2015,6/17/2015,6,146
4110,AkronInc,6/4/2015,3/1/2015,5,2210
4111,AKSteelCorporation,5/8/2015,4/30/2015,3,477
4112,AlfaVisionInsuranceCoandAlfaSpecialtyInsuranceCorp,7/10/2015,4/18/2015,2231,85730
4113,AlinMachiningCompanyInc-Breach Notification,1/12/2015,11/7/2014,21,750
4114,AllegisGroupInc,6/8/2015,1/1/2015,2,69
4115,AllenTateMortgageServicesInc,11/20/2015,11/2/2015,1,85
4116,AltaSkiLiftsCo,3/9/2015,2/16/2015,1,
4117,AltaSkiLiftsCo,3/9/2015,2/16/2015,1,
4118,AmedisysInc-Breach Notification,3/2/2015,,131,6909
4119,AmeriFirstFinancialCorporation,8/19/2015,7/28/2015,1,208
4120,AmeripriseFinancialInc,4/24/2015,3/18/2015,2,2
4121,AmeripriseFinancialInc-Breach Notification,2/25/2015,2/12/2015,1,1
4122,AmeripriseFinancialInc-Breach Notification,3/18/2015,2/20/2015,1,1
4123,AmiciCellars,6/18/2015,4/1/2015,3,302
4124,AmstedRail,3/19/2015,2/4/2015,850,
4125,Anheuser-BuschCompaniesLLC,7/9/2015,6/29/2015,3,65
4126,AnthemBlueCross&BlueShield-Breach Notification,2/9/2015,,,
4127,AnthemBlueCrossandBlueShield,11/20/2015,8/21/2015,1,4
4128,AOLInc,12/22/2015,9/17/2015,2,64
4129,AonCorporation,10/13/2015,8/1/2015,1,13
4130,AONHewitt,7/2/2015,6/5/2015,1,65
4131,AONHewitt,8/28/2015,7/15/2015,4,144
4132,AppleAmericanGroupLLC,3/15/2015,3/3/2015,3058,49964
4133,ArtofTea-Breach Notification,12/31/2014,10/26/2014,16,1319
4134,AscensusInc,5/27/2015,5/14/2015,16,1404
4135,AscensusInc,2/6/2015,1/12/2015,2,18
4136,AscensusInc,9/24/2015,9/3/2015,468,484
4137,AscensusInc,3/4/2015,2/9/2015,1,9299
4138,AscensusInc,1/23/2015,12/24/2014,1,183
4139,ATT-Breach Notification,12/19/2014,10/16/2014,5,
4140,AuburnUniversity,4/1/2015,9/1/2014,1038,364185
4141,AuroraHealthCareInc,3/10/2015,,4,37908
4142,AustinPowderCompany,4/7/2015,12/1/2014,66,2764
4143,AutoCareAssociation,10/13/2015,9/11/2015,8,199
4144,AutomotiveRecoveryServicesInc,7/6/2015,1/1/2015,1953,505000
4145,BankersLifeandCasualtyCompany,9/3/2015,5/28/2015,1,1
4146,BankoftheWest,3/24/2015,,62,58677
4147,BarbecueRenewInc-Breach Notification,1/16/2015,1/1/2014,815,
4148,BeaconBroadwayLLC,4/17/2015,,,
4149,BeaconHealthSystem-Breach Notification,3/9/2015,,,
4150,BeckerMayerLLCSmartLabToys,9/28/2015,4/1/2015,1,85
4151,BedBathBeyondInc,9/28/2015,3/7/2015,1,2085
4152,BedBathBeyondInc-Breach Notification,2/26/2015,11/3/2014,1,33
4153,Betterbee,3/16/2015,3/3/2015,5,332
4154,BigFishGames-Breach Notification,2/10/2015,12/24/2014,499,36247
4155,BigIdeaEntertainment,5/8/2015,,1,
4156,BLaneInc,11/13/2015,5/19/2015,112,
4157,BlueCrossBlueShieldofMichigan-Breach Notification,3/23/2015,,11,
4158,BlueCrossBlueShieldofMichigan-Breach Notification,1/8/2015,,1,
4159,BlueRiverServicesInc,11/19/2015,11/16/2015,55,55
4160,BlueSkyCasino-Breach Notification,1/23/2015,4/23/2014,54624,87975
4161,BlueSpringsPartners,7/21/2015,5/2/2014,481,38624
4162,BMV,12/2/2015,12/1/2015,1,1
4163,BMV-Breach Notification,6/17/2015,6/2/2015,1,1
4164,BMV-Breach Notification,1/28/2015,1/28/2015,1,1
4165,BrandeisUniversity,11/12/2015,10/25/2015,26,
4166,BrunswickHotelTavern,8/21/2015,11/29/2014,4,
4167,BulkReefSupply-Breach Notification,2/27/2015,7/30/2014,360,19364
4168,CainVineyardandWinery,6/18/2015,4/1/2015,16,3534
4169,CareFirstBlueCrossBlueShield,5/21/2015,6/19/2014,20,1.1 million
4170,"CatenacciMarkowitzDelandriRosnerCompanyCertifiedPublicAccou
ntants",12/15/2015,9/23/2015,2,
4171,CBCRestaurantCorporation,12/18/2015,,7,5278
4172,CenterraGroupLLC,12/14/2015,10/30/2015,2,4786
4173,CFIndustriesHoldingsInc,6/4/2015,12/11/2014,6,168
4174,Charles Schwab Co. Inc,5/21/2015,4/30/2015,1,9
4175,CharleskrugWinery,6/10/2015,4/1/2015,15,4058
4176,CharlesSchwabCoInc,8/27/2015,8/12/2015,1,1
4177,Children'sBureauInc,5/27/2015,4/28/2015,1,1
4178,Children'sHeartCenter,4/3/2015,,1,8791
4179,ChubbSon-Breach Notification,2/2/2015,3/1/2013,1,900
4180,CICSEmploymentServicesInc-Breach Notification,1/31/2015,,69,101000
4181,CitibankNA-Breach Notification,3/6/2015,2/19/2015,1,
4182,CitibankNA-Breach Notification,9/17/2015,7/28/2015,1,1
4183,CitiesServiceLLC,4/29/2015,10/13/2014,7,613
4184,CityWinery,3/16/2015,3/8/2014,9,804
4185,ClayCountyChildSupportDivision,7/23/2015,7/22/2015,1,1
4186,ClifBarFamilyWineryfFarmLLC,6/10/2015,4/1/2015,31,6309
4187,CoastalInternationalSecurityInc,4/6/2015,3/25/2015,4,66
4188,ColaColaCPA's,12/15/2015,10/15/2015,2,
4189,ColumbiaThreadneedleInvestments,11/9/2015,10/12/2015,1,1
4190,ColumbusRegionalHealthPhysicians-Breach Notification,5/1/2015,4/21/2015,1,1
4191,ColumbusRegionalHealthPhysicians-Breach Notification,12/23/2014,12/1/2014,1,1
4192,CommunityHealthNetwork,10/19/2015,10/8/2015,1,1
4193,CommunityHealthNetwork,8/4/2015,7/20/2015,2,2
4194,CommunityHealthNetwork,4/18/2015,4/8/2015,1,1
4195,CommunityHealthNetwork,8/20/2015,8/1/2015,1,1
4196,CommunityHealthNetwork,7/20/2015,6/8/2015,1,1
4197,CommunityHealthNetwork,7/24/2015,6/24/2015,1,1
4198,CommunityHealthNetwork,10/14/2015,8/12/2015,2,2
4199,CommunityHealthNetwork,10/14/2015,9/18/2015,2,2
4200,CommunityHealthNetwork,9/14/2015,9/13/2015,1,1
4201,CommunityHealthNetwork-Breach Notification,1/30/2015,1/15/2014,4,4
4202,CommunityHealthNetwork-Breach Notification,2/2/2015,5/9/2013,18,18
4203,CompassUSAGroup,4/24/2015,2/2/2015,,8923
4204,ConcordiaPlanServices,4/15/2015,,22,12600
4205,CopartInc,5/27/2015,,1392,
4206,CorisonWinery,6/18/2015,4/1/2015,49,6222
4207,CostcoPhotoCenter,9/22/2015,6/19/2014,1618,287566
4208,CottageHealthSystem,12/3/2015,10/26/2015,1,12432
4209,CountryLifeInsuranceCompany,6/1/2015,4/29/2015,7,1293
4210,CovantaProjectsLLC,6/10/2015,5/19/2015,2,519
4211,CovenantCare-MarionRehabilitationAssistedLivingCenter,3/30/2015,3/11/2015,3,6
4212,CoWorxStaffingServices,8/13/2015,,,
4213,CPFranchisingLLC-Breach Notification,2/25/2015,,,
4214,CVSPharmacyInc,9/11/2015,6/1/2014,10928,323139
4215,DeaconessCompCenter-Breach Notification,1/5/2015,12/10/2014,1,1
4216,DeaconessHospital,6/11/2015,5/22/2013,2,2
4217,DelawareDepartmentofJustice,3/25/2015,,,
4218,DentalCeramicsInc,9/11/2015,,1,
4219,DepartmentofChildServices-ChildSupportBureau,9/23/2015,9/23/2015,,
4220,DepartmentofChildServices-ChildSupportBureau,10/2/2015,9/25/2015,1,1
4221,DianeJRattsConsultingInc,9/24/2015,9/22/2015,1,1
4222,DigitalTheatreLLC,10/28/2015,4/19/2015,106,64512
4223,DirectMarketingAssociation-Breach Notification,1/28/2015,8/1/2013,2,149
4224,DonelanFamilyWinesLLC,6/18/2015,4/1/2015,6,1632
4225,DoubletreeSuitesbyHiltonWaltDisneyWorld,4/1/2015,2/25/2015,2,20
4226,DouglasLDyeCPAPC,12/21/2015,11/27/2015,,
4227,DowCorningCorporation,10/30/2015,8/31/2015,717,19524
4228,DowJonesCompanyInc,10/9/2015,7/25/2015,37,
4229,DukeEnergyProgressInc,8/3/2015,3/1/2015,1,813
4230,DungareesLLC,12/22/2015,10/15/2015,218,9948
4231,DungareesLLC,6/19/2015,3/26/2015,229,11564
4232,EarlhamCollege,6/12/2015,6/9/2015,1,1
4233,eb5Corporation,9/25/2015,5/5/2015,8,
4234,EidPassportInc-Breach Notification,3/2/2015,12/24/2014,1,20
4235,eMinorIncorporateddbaReverbNation,9/2/2015,1/1/2014,3,564
4236,EmpiIncDJOLLC-Breach Notification,12/26/2014,11/7/2014,1,14
4237,EquifaxInc,4/2/2015,,36,1382
4238,EssexPropertyTrustInc,4/1/2015,8/13/2014,23,
4239,EsuranceInsuranceServicesInc,5/12/2015,1/28/2015,1,109
4240,ExamOne,10/30/2015,9/24/2015,2,2
4241,ExamOne,9/1/2015,8/10/2015,1,1
4242,ExamOne,10/15/2015,9/10/2015,1,1
4243,ExamOne-Breach Notification,2/12/2015,1/15/2015,5,5
4244,ExamOne-Breach Notification,2/10/2015,1/13/2015,1,1
4245,ExamOne-Breach Notification,3/13/2015,2/5/2015,1,1
4246,ExamOne-Breach Notification,1/13/2015,12/12/2014,1,1
4247,ExtractionOilGasLLC-Breach Notification,2/27/2015,1/30/2015,2,1157
4248,EyeBuyDirectInc,10/13/2015,2/9/2015,34,
4249,FaribaultWoolenMillsCompany-Breach Notification,1/20/2014,1/5/2015,1,65
4250,FarmersMerchantsBank,6/2/2015,,78,78
4251,FarmtoFeet,12/23/2015,8/3/2015,4,322
4252,FastForwardAcademyLLC-Breach Notification,1/2/2015,12/3/2014,181,14130
4253,FidelityInvestments,8/19/2015,7/28/2015,1,156
4254,FidelityInvestments,9/18/2015,8/26/2015,3,5
4255,FidelityInvestments-Breach Notification,3/17/2015,3/4/2015,1,1
4256,FidelityInvestments-Breach Notification,2/20/2015,1/12/2015,2,3
4257,FidelityNationalFinancialInc,4/10/2015,4/8/2015,1,1
4258,FinancialCenterFirstCreditUnion,4/27/2015,4/7/2015,10,10
4259,FireKeepersCasinoHotel,7/6/2015,9/7/2014,3286,
4260,FirstCommandFinancialServicesInc,3/31/2015,11/12/2014,8,5117
4261,FirstTransitInc,11/30/2015,10/23/2011,3,388
4262,FisherVineyard,6/18/2015,4/1/2015,19,2428
4263,FlewellingMittonPC,12/28/2015,12/10/2015,1,605
4264,FloraSpringsWineryandVineyards,6/18/2015,4/1/2015,86,7720
4265,ForestCreekVillage,3/20/2015,3/3/2015,1,1
4266,FourWindsCasinoResort,11/4/2015,10/1/2014,,
4267,FoxSports,3/16/2015,1/28/2015,3,
4268,FranciscanPhysicianNetwork-Breach Notification,2/13/2015,1/1/2015,1,1
4269,FranciscanPhysicianNetwork-Breach Notification,2/5/2015,10/15/2014,12,12
4270,FranciscanStFrancisHealth,10/6/2015,11/29/2013,1,1
4271,FrankJMartinCompany,9/22/2015,6/3/2015,6,589
4272,FriasVineyards,6/18/2015,4/1/2015,20,1939
4273,FSSA,12/1/2015,11/23/2015,1,1
4274,FSSA,10/1/2015,9/25/2015,1,1
4275,FSSA-Breach Notification,2/11/2015,1/2/2015,1,1
4276,FSSA-Breach Notification,9/11/2015,9/9/2015,6,6
4277,FSSA-Breach Notification,6/3/2015,5/29/2015,1,1
4278,FSSA-Breach Notification,2/2/2015,1/27/2015,6,6
4279,FSSA-Breach Notification,4/9/2015,4/6/2015,1,1
4280,FSSA-Breach Notification,6/3/2015,5/29/2015,1,1
4281,FSSA-Breach Notification,6/9/2015,5/21/2015,6,6
4282,FSSA-Breach Notification,7/16/2015,7/16/2015,,1
4283,GallagherPoolWealthManagementLLC,4/24/2015,,1,545
4284,GallantRiskInsuranceServicesInc,6/3/2015,4/4/2015,1,
4285,GardenCreekVineyardsLLC,6/18/2015,4/1/2015,3,572
4286,GemstoneVineyards,6/18/2015,4/1/2015,10,17087
4287,GeneralDynamicsInformationTechnologyInc,6/30/2015,,1,11
4288,GeneralMotorsCompany,4/6/2015,3/24/2015,1,1
4289,GenescoSportsEnterprisesInc-Breach Notification,2/27/2015,1/30/2015,1,41
4290,GeniusCentral,6/8/2015,,9,366
4291,Genworth,8/19/2015,7/28/2015,1,
4292,GJPepsi-ColaBottlersInc,3/10/2015,7/1/2013,6,3161
4293,GlamGlowLLC,10/8/2015,,8,
4294,GoodwillofCentralIndianaIncNurse-FamilyPartnership,11/23/2015,11/11/2015,1,1
4295,GreenWaveScientificInc,8/10/2015,6/3/2015,47,2500
4296,GreenwoodMeadows,7/17/2015,5/15/2015,1,1
4297,HardRockHotelCasino,4/30/2015,9/3/2014,,173000
4298,HDISInc,12/28/2015,11/27/2015,5,330
4299,HeartlandCreditUnion-Breach Notification,1/6/2014,11/9/2014,6,
4300,HeartlandDentalCare,6/2/2015,3/31/2013,3197,30870
4301,HeitzWineCellars,6/18/2015,4/1/2015,32,6087
4302,HersheyEntertainmentResortsCompany,7/10/2015,2/14/2015,170,
4303,HiltonWorldwideInc,11/24/2015,11/18/2014,,
4304,HolidayInnExpressSuites,8/21/2015,10/13/2014,10,2964
4305,Honig'sWhistleStop,5/12/2015,3/8/2015,264,5126
4306,HotelBeacon,4/17/2015,1/8/2015,8,
4307,HSBCBank-SecurityBreach,4/10/2015,,2507,85923
4308,HSBCBankUSANationalAssociation,7/24/2015,6/19/2015,8,2437
4309,HSBCBankUSANationalAssociation,12/3/2015,11/6/2015,3,36
4310,HuneeusVintnersLLC,6/15/2015,4/1/2015,107,22567
4311,IDEM-SecurityBreach,7/6/2015,,37,37
4312,IDEM-SecurityBreach,8/14/2015,,1,1
4313,IDPartsLLC-Breach Notification,12/22/2014,1/1/2014,269,12000
4314,IndianaDepartmentofInsurance-SecurityBreach,7/9/2015,6/25/2015,1,1
4315,IndianaDepartmentofRevenue-Breach Notification,1/7/2015,7/10/2014,0,0
4316,IndianaDepartmentofRevenueDOR,6/22/2015,6/12/2015,1262,1262
4317,IndianaSecretaryofState'sSecuritiesDivision-Breach Notification,3/12/2015,,,
4318,IndianaStateMedicalAssociation-Breach Notification,3/6/2015,2/13/2015,28124,39080
4319,IndianaStatePersonnelDepartment-SecurityBreach,5/18/2015,12/1/2012,1,1
4320,IndianaUniversitySouthBendCampus-Breach Notification,2/25/2015,2/21/2015,1,6
4321,IndyScreamPark-Breach Notification,,2/13/2015,324,
4322,IndySouthsideSurgical,7/6/2015,1/2/2015,28,28
4323,InsuranceServicesOfficeInc,6/13/2015,,10,
4324,IntegratedListeningSystemsLLC,11/13/2015,5/18/2015,14,1220
4325,InterlineBrandsInc,8/28/2015,8/5/2015,6,388
4326,InterstitialCystitsNetwork,10/26/2015,4/6/2015,38,1731
4327,IntimacyManagementCompany,6/4/2015,12/15/2014,22,1084
4328,IntuitInc,10/27/2015,9/18/2015,6,280
4329,IntuitInc,11/17/2015,10/12/2015,71,6740
4330,IntuitInc,12/23/2015,12/2/2015,2,409
4331,IntuitInc,11/25/2015,10/23/2015,6,346
4332,IntuitInc,12/4/2015,11/20/2015,2,133
4333,IntuitInc-Breach Notification,2/15/2015,4/18/2014,91,1159
4334,IntuitInc-Breach Notification,4/7/2015,2/1/2014,618,27000
4335,JemroseLLCdbaJemroseWines,6/18/2015,4/1/2015,3,269
4336,JessupCellarsdbaTheGoodLifeWineCollection,6/18/2015,4/1/2015,95,15391
4337,JohnCarrollUniversity,10/5/2015,,3,253
4338,JonesLangLaSalleAmericasInc,5/29/2015,5/11/2015,14,14
4339,KanzlerVineyards,6/18/2015,4/1/2015,5,780
4340,KeenanAssociates,12/1/2015,,431,
4341,KelloggAndelsonGlobalManagement,4/10/2015,,3,5000
4342,Knit-RiteInc,11/24/2015,2/17/2015,26,2139
4343,Kohl'sDepartmentStoresInc.,9/29/2015,,4,
4344,Kohl'sDepartmentStoresInc-Breach Notification,3/16/2015,7/14/2011,10,
4345,KostaBrowneWineryLLC,6/5/2015,4/1/2015,69,17589
4346,KraftMusicLTD-Breach Notification,3/3/2015,12/21/2014,31,
4347,LaJollaGroupInc-Breach Notification,12/31/2014,11/30/2014,39,3192
4348,LandoLawFirmLLC,9/4/2015,6/3/2015,5,416
4349,LarkmeadVineyardsVinterGrower,6/18/2015,4/1/2015,62,7547
4350,LatexConstructionCompany,7/7/2015,6/2/2015,1,600
4351,LawEnforcementTargets,3/23/2015,3/3/2015,7,
4352,LCIndustries,7/22/2015,6/20/2015,1,8
4353,LCIndustries,6/19/2015,2/10/2015,45,3754
4354,Learningcom,6/12/2015,3/17/2015,1,
4355,LibertyTaxService,,2/1/2015,1,1
4356,LifeViewOutdoors,5/19/2015,1/1/2015,3,267
4357,LimeCrimeInc-Breach Notification,2/24/2015,10/4/2014,563,
4358,LinRRogersElectricalContractorsInc,8/21/2015,7/10/2015,10,1468
4359,LoaderPartsSourceInc-Breach Notification,1/26/2015,9/22/2014,9,309
4360,LokaiHoldingsLLC-Breach Notification,12/24/2014,7/18/2014,1673,98510
4361,MaineOfficeofSecurities,3/22/2015,8/1/2012,,
4362,MamaMioUSInc,8/4/2015,4/29/2015,39,3434
4363,ManchesterHotelHospitalityLLC,6/23/2015,10/13/2014,97,999
4364,MandarinOriental,7/10/2015,6/18/2014,99,100000
4365,MarianUniversity,10/16/2015,10/14/2015,9,9
4366,Mark Turner,2/26/2015,12/29/2014,1,2153
4367,MarriottInternational,10/19/2015,10/7/2015,1,70
4368,MartinelliWinery,6/18/2015,4/1/2015,32,5365
4369,MassachusettsMutualLifeInsuranceCompany,3/19/2015,3/5/2015,6,6
4370,MassachusettsMutualLifeInsuranceCompany,7/27/2015,6/18/2015,7,2274
4371,MatsonNavigationCompanyInc,12/23/2015,11/9/2015,42,14074
4372,Mayer-Johnsoncom,12/9/2015,11/13/2015,3,
4373,McDermottWillEmery-Breach Notification,2/27/2015,12/10/2014,,
4374,MedicalInformaticsEngineeringandNoMoreClipboard,6/18/2015,5/7/2015,1498970,3116186
4375,MicrofLLC,10/30/2015,,1,550
4376,Mid-AmericaApartmentCommunitiesInc,5/13/2015,10/15/2014,18,
4377,Mid-StateTechnicalCollege,9/4/2015,6/19/2015,2,
4378,MidwesternUnitedLifeInsurance-Breach Notification,12/29/2014,8/29/2014,4,5
4379,MilestoneNospitalityManagementLLC,8/14/2015,6/2/2015,21,2696
4380,MilkNursingwear,8/21/2015,7/13/2015,3,541
4381,MinnesotaLifeInsuranceCo,12/18/2015,12/8/2015,8,40
4382,MinnesotaLifeInsuranceCo,6/16/2015,5/4/2015,1,36
4383,ModSpace-Breach Notification,1/26/2015,9/19/2014,4,
4384,MomentivePerformanceMaterials,4/1/2015,1/28/2015,108,4236
4385,MonsmaMarketingCorporation,9/9/2015,7/22/2015,15,174
4386,MontefioreHealthSystem,6/18/2015,1/1/2013,1,
4387,MonticelloHealthcare,6/2/2015,4/13/2015,2,2
4388,MUJI,12/2/2015,1/22/2015,,
4389,NationalAmericanUniversity,7/2/2015,,4,
4390,NationstarMortgageLLC,8/12/2015,7/27/2015,1,1159
4391,Nelnet,4/28/2015,4/8/2015,1,1
4392,NestleUSA,5/15/2015,1/1/2015,1,7
4393,NestleUSA,8/26/2015,8/5/2015,1,494
4394,NewEnglandCalendarandNoveltyCompany,12/7/2015,9/24/2015,9,564
4395,NewHorizonsComputerLearningCentersInc,7/10/2015,4/4/2015,252,4734
4396,NewJerseyBureauofSecurities,4/1/2015,,,
4397,NewtonRunningCompany,8/11/2015,4/26/2015,2,380
4398,NexientLLC,7/10/2015,6/10/2015,54,947
4399,NiteIzeInc,3/27/2015,3/3/2015,750,54578
4400,NobleHouseHotelsandResorts,10/22/2015,1/28/2015,102,19472
4401,NobleHouseHotelsandResorts,11/13/2015,12/29/2014,275,49667
4402,NoMoreClipboardcom,,,,
4403,NorthCarolinaStateUniversity,7/20/2015,,16,936
4404,NovaSoutheasternUniversity,11/16/2015,10/14/2015,1,
4405,NuanceCommunicationsInc,3/20/2015,12/10/2014,35,1260
4406,OHMuhlenbergLLC,11/13/2015,1/1/2012,1109,84700
4407,OneHourHeatingAirConditioning118,8/7/2015,7/2/2015,1,1
4408,OneStopParking,3/17/2015,8/1/2014,347,20679
4409,OppenheimerFunds-Breach Notification,4/3/2015,11/22/2013,6,5585
4410,OppenheimerFunds-Breach Notification,4/8/2015,3/11/2013,27,3824
4411,OppenheimerFunds-Breach Notification,2/18/2015,1/29/2015,2,247
4412,OppenheimerFunds-Breach Notification,2/2/2015,7/31/2014,1,1
4413,OppenheimerFunds-Breach Notification,1/15/2015,1/25/2014,130,13455
4414,OptumRxHomeDeliveryPharmacy,5/19/2015,2/23/2015,1,27
4415,OrindaUnionSchoolDistrict,5/5/2015,4/28/2015,1,118
4416,OrthoIndy,4/13/2015,2/13/2015,15,15
4417,OrthopaedicsIndianapolisInc,8/14/2015,7/13/2015,1,1
4418,OsteoMed,10/20/2015,,11,
4419,OtsukaAmerica-Breach Notification,1/29/2015,11/26/2014,8,
4420,PackersSanitationServicesIncLTD-Breach Notification,2/10/2015,,103,
4421,PalmazVineyards,6/18/2015,4/1/2015,46,6181
4422,Park'NFly-Breach Notification,12/31/2014,11/27/2013,203,249000
4423,PaycorInc,6/4/2015,5/19/2015,11,275
4424,PaycorInc,12/17/2015,12/7/2015,1,50
4425,PeabodyEnergy,3/20/2015,,5,
4426,PeaceofMindBrainInjuryServicesInc-Breach Notification,2/27/2015,,1,10
4427,PeggyEOlsonCPA,10/9/2015,9/2/2015,2,3123
