Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
TD Bank,,"Albert Raymond, Head of Privacy & Social Media Compliance, 2059 Springdale Road, Cherry Hill, NJ 08003 ",N/A,?,10/29/2013,NA,,,"name, SSN & date of birth",4
Western Union,,"Jim Keese, CIIP, CIPP/IT, Chief Privacy Officer, 12510 E Belford Ave, M23A2, Englewood, CO 80112",N/A,9/3/13 thru 9/5/13,10/29/2013,9/3/2013,9/5/2013,,"Name, address, email address, telephone number and prepaid card number. In some cases unauthorized users funded a limited # of money transfers using customers' prepaid cards.",11
"Greene Consulting Associates, LLC",,"Dan Madden, Managing Partner; Ph: 702-851-5848","David Katz, Esq., Nelson Mullins Riley & Scarborough LLP, Atlantic Station, 201 17th Street, NW, Suite 1700, Atlanta, GA 30363; Ph: 404-322-6122",9/29/13 - 10/22/13,10/29/2013,9/29/2013,10/22/2013,,"name, address, phone number, username, password and credit card information",1
"The Scotts Company, LLC / Datapak Services Corporation",,"Ivan Smith, Exec VP & General Counsel, Corp Secretary, 14111 Scottslawn Road, Marysvill, Ohio 43041; Ph: 937-644-0011",N/A,10/15/2013,10/28/2013,10/15/2013,,,"Names, addresses, primary account numbers, credit card expiration dates & payment card security code.  (This was result of malware)",95
Thrivent Financial for Lutherans,,"Kathleen Koelling, Senior Counsel, 4321 n. Ballard Road, Appleton, WE 54911; Ph: 920-628-3050",N/A,10/10/2013,10/28/2013,10/10/2013,,,"Name, contract number and SSN",1
Dun & Bradstreet,,None,"Kimberly Peretti, Alston & Bird LLP, The Atlantic Building, 950 F Street, NW, Washington, DC 20004-1404; Ph: 202239-3720","March & April, 2013",10/25/2013,3/1/2013,,,"Names, business ID number that may have also been SSN",?
"Rotech Healthcare, Inc.",,"Robin Menchen, Chief Privacy Officer, 260 Technology Drive, Suite 300, Orlando, Florida 32804; Ph: 407-822-4600",N/A,8/30/2013,10/24/2013,8/30/2013,,,"Rotech employees and their dependents - information may have included names, addresses, SSNs, healthcare carrier, medical or pharmacy services rec'd. The former employee deleted all personal information on the device and is returning the device to them.",?
Crystal & Company,,"Tom Zarcone, Chief Tachnology & Info Security Office 32 Old Slip, New York, NY 10005; ","James Prendergast, Nelson, Levine, de Luca & Hamilton, LLC, 518 Township Line Road, Suite 300, Blue Bell, PA 19422; Ph: 215-358-5087 - Prendergast now with Lewis Brisbois, Bisgaard, & Smith, LLP, james.prendergast@lewisbrisbois.com",6/14/2013,10/18/2013,6/14/2013,,,"name, SSN, birthdate, salary information and zip code",1
Ouidad,,None,"Kevin Boyle, Esq., Latham&Watkins, LLP, 555 Eleventh Street, N.W., Suite 1000, Washington, D.C. 20004; Ph: 202-637-2200",6/30-7/4/13,10/18/2013,6/30/2013,7/4/2013,,"Name, credit card no., credit card security code and exp date, billing address, email address, phone number and for some individuals, user name and password",? Didn't specify
TD Bank,,"Albert Raymond, Head of Privacy & Social Media Compliance, 2059 Springdale Road, Cherry Hill, NJ 08003 ",N/A,?,10/17/2013,NA,,,"name, address and accounty number",516
"Hudson Valley Community College (""HVCC"")",,"James J. LaGatta, VP for Admin., 80 Vandenburgh Ave., Troy, NY 12180; Ph: 800-405-6108","Theodore J. Kobus, III, BakerHostetler, LLP, 45 Rockefeller Plaza, New York, NY  10111; Ph: 212-589-4200 ",8/31/2013,10/16/2013,8/31/2013,,,names and SSNs of Verizon Associastes who applied and/or enrolled in the Next Step Program,65
Discountmugs.com,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,?,10/16/2013,NA,,,Discover Card Account information may have been compromised,7
Famous Smoke Shop,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,?,10/16/2013,NA,,,Discover Card Account information may have been compromised,47
MW Online Beer & Wine,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,?,10/16/2013,NA,,,Discover Card Account information may have been compromised,4
NBC Sports Group,,"Brett Goodman, SVP, 1 Blachley Road, Stamford, CT 06902; Ph: 203-356-2720",N/A,8/24/2012 (in Northern California),10/14/2013,8/24/2012,,,Name & SSN,1
Holy Cross Hospital,,"Patrick Taylor, MD, President & CEO, 4725 North Federal Highway, Ft. Lauderdale, FL 33308; Ph: 800-357-0823","Pamela Hepp, Buchanan Ingersoll & Rooney, PC, One Oxford Centre, 301 Grant Street, 20th Floor, Pittsburgh, PA 15219-1410; Ph:412-562-1418",8/15/2013,10/7/2013,8/15/2013,,,"former employee accessed names, birthdates, addresses, SSNs; and may have contacted the IRS.gov website to obtain false taxpayer filing PIN codes or to reset existing PIN codes.",2
CSX Transportation,,"Erin O. O'Brien, Senior Counsel, 500 Water Street, J150, Jacksonville, FL  32202; Ph: 904-359-3103",N/A,9/6/2013,10/3/2013,9/6/2013,,,"names, dates of return to work and other required exams, & whetehr the individual was qualified to perform service.",1
Adobe Systems Incorp,,"MeMe Jacobs Rasmussen, VP, 345 Park Avenue, San Jose, CA 95110; Ph: 408-442-4156",N/A,?,10/2/2013,NA,,,"names, payment card exp dates, encrypted payment card numbers, & other info relating to customer orders. ",?
Datapak Services Corporation,,"P.O. Box 3825, Suwanee, GA 30024","James E. Prendergast, Esq., Nelson Levine de Luca & Hamilton, LLC, 518 Township Line Road, Suite 300, Blue Bell, PA 19422; Ph: 215-358-5087 - Prendergast now with Lewis Brisbois, Bisgaard, & Smith, LLP, james.prendergast@lewisbrisbois.com",3/5/13 - 8/13/13,10/2/2013,3/5/2013,8/13/2013,,"names, addresses, primary account numbers, credit card expiration dates & CVV2 numbers",313
"R.T. Jones Capital Equities Management, Inc.",,None,"James E. Prendergast, Esq., Nelson Levine de Luca & Hamilton, LLC, 518 Township Line Road, Suite 300, Blue Bell, PA 19422; Ph: 215-358-5087 -Prendergast now with Lewis Brisbois, Bisgaard, & Smith, LLP, james.prendergast@lewisbrisbois.com",7/22/2013,9/30/2013,7/22/2013,,,"names, birthdates and SSNs",32
"Petrochem Insulation, Inc.",,"Bill Wright, President & CEO, 110 Corporate Place, Vallejo, CA 94590; Ph: 866-274-3891",N/A,7/18/2013,9/30/2013,7/18/2013,,,employee ID numbers and SSNs,5
"Total System Services, Inc.",,"One TSYS Way, P.O. Box 2567, Columbus, GA 31902-2567, www.tsys.com","James Harvey, Alston & Bird LLP, One Atlantic Center, 1201 West Peachtree Street, Atlanta, GA 30309-3424; Ph: 404-881-7000",9/5/2013,9/26/2013,9/5/2013,,,"names, addresses, birthdates, SSNs of current and former TSYS employees",?
"Altius Education, Inc. ",,"Eric Muhlheim, Chief Financial Officer, 101 Spear Street, Suite 203, San Francisco, CA 94105; Ph: 415-762-1502",N/A,9/6/2013,9/20/2013,9/6/2013,,,"first and last name, SSN, phone number, email address, and academic  courses",1
Windhaven Investment Management,,"Bryan Olson, President, One international Place, 33rd Floor, Boston, MA 02110; Ph: 617-960-5329",N/A,?,9/19/2013,NA,,,"name, address, phone number, email address, account number, custodian & investment positions in thrie Windhaven accounts. Possibly also passwords potentially exposed",?
The New Teacher Project,,None,"Bruce Radke, Esq., VedderPrice, 222 North Lasalle Street, Chicago, IL 60601; Ph: 312-609-7500",7/27-28/2013,9/18/2013,7/27/2013,7/28/2013,,"name, birthdate, SSN and/or employee ID number",1
Blackwing Ostrich Meat,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,9/18/2013,NA,,,Discover Card Account information may have been compromised,1
Powder Blue Productions,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,9/18/2013,NA,,,Discover Card Account information may have been compromised,1
Restaurant Depot Indianapolis,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,9/18/2013,NA,,,Discover Card Account information may have been compromised,1
Vitamin Life 4,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,9/18/2013,NA,,,Discover Card Account information may have been compromised,4
"MFS Service Center, Inc, a subsidiary  of Mass Financial Services Co.",,"Matthew Stowe, VP/Sr. Counsel, 111 Huntington Ave, Boston, MA 02199; Ph: 617-954-5084",N/A,9/3/2013,9/16/2013,9/3/2013,,,"names, addresses, account numbers and social security numbers",17
Bel USA LLC,,"Amin Ramjee, 12610 NW 115th Avenue, Medley, Florida 33178; Ph: 305-593-0911",N/A,Between 3/1/13 and 7/15/13,9/13/2013,3/1/2013,,,"name, address, phone number, and credit cared or debit card number and exp date and CVV code",346
Blackhawk Consulting Group (Provides billing services for Advocate Medical Group and Dreyer Medical Clinic,,"P.O. Box 5028, Canton, GA 30114 (977-534-7033","Theodore J. Kobus, III, BakerHostetler, LLP, 45 Rockefeller Plaza, New York, NY  10111; Ph: 212-589-4200 ",Between 6/30/13 and 8/15/13,9/13/2013,6/30/2013,,,"names, billing addresses, credit card numbers, expiration dates, CVV2 authorization numbers and email addresses. (No bank acct nos., SSNs or Pin Nos.)",1
Crystal & Company,,"32 Old Slip, New York, NY 10005","James Prendergast, Nelson, Levine, de Luca & Hamilton, LLC, 518 Township Line Road, Suite 300, Blue Bell, PA 19422; Ph: 215-358-5087 - Prendergast now with Lewis Brisbois, Bisgaard, & Smith, LLP, james.prendergast@lewisbrisbois.com",6/14/2013,9/11/2013,6/14/2013,,,"name, birthdate and driver's license number",1
"ODN, ",,"Martin Polo, CEO, Outdoor Network LLC, 730 US 27 North, Lake Placid, FL 33852; Ph: 229-299-9565",N/A,Between Dec 2012 and July 2013,9/6/2013,12/1/2012,,,"name, address, credit card number, card exp date and sard security code",800
"Equifax, Inc.",,None,"Paige S. Fitzgerald, Esq., Troutman Sanders LLP, 1001 Haxall Point, P.O. Box 1122, Richmond, VA 23219; Ph: 804-697-1200",Originally rec'd notice on 12/20/13 ,9/6/2013,,,,Equifax account information,6
QVC,,None,"Craig Hoffman, Esq.,  Baker Hostetler LLC, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202; Ph: 513-929-3400",5/29/2013,9/4/2013,5/29/2013,,,"name, address, e-mail address, transaction history, & last 4 digits of credit card number. Unauthorized person guessed the member ID & Password.",1
"PayJunction, Inc.",,"Randy Modos, President, 1903 State Street, Santa Barbara, CA 93101; Ph: 800-601-0230 x1015",N/A,"Late September, 2013",9/1/2013,Late September 2013,,,"Resellers' names, SSNs and bank account numbers",3
Inter-Continental Hotels Corporation (ICHC),,"D. Franklin Moore, Jr., VP, Assoc General Counsel, Three Ravinia Drive, Suite 100, Atlanta, GA 30346; Ph: 770-60405052",N/A,7/4/2013,8/30/2013,7/4/2013,,,"Name, mailing address, email address, phone number, credit card acct number",3
"Midwest Supplies, LLC",,None,"Thomas J. Smedinghoff, Esq., Edwards Wildman, 225 West Wacker Drive, Suite 3000, Chicago, IL 60606; Ph:1-312-201-2000",6/3/13-7/19/13 and 2/27/13-6/13/13,8/27/2013,"6/3/2013, 2/27/13","7/19/13, 6/13/13",,"names, addresses, email adresses, telephone numbers, and credit card exp dates and security codes.",131
"Osprey Packs, Inc.",,None,"Jena Valdetero, Bryan Cave, LLP, 161 North Clark Street, Ste 4300, Chicago, IL 60601-3315; Ph: 312-602-5000",7/9/2013,8/27/2013,7/9/2013,,,"names, shipping & billing addresses, credit card numbers & exp dates, and email addresses",? Not stated
Republic Services,,None,"Joseph Lazzarotti, Jackson Lewis LLP,220 Headquarters Plaza, East Tower, 7th Fl, Morristown, NJ 07960                          .",8/11/2013,8/26/2013,8/11/2013,,,names and social security numbers,2
80sTees.com,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,8/23/2013,NA,,,Discover Card Account information may have been compromised,10
Callaway,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,8/23/2013,NA,,,Discover Card Account information may have been compromised,1
US Concealed Carry,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,8/23/2013,NA,,,Discover Card Account information may have been compromised,32
Washington Plaza Hotel,,None,"Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",?,8/23/2013,NA,,,Discover Card Account information may have been compromised,1
"Advoate Medical Group (""AMG"")",,None,"Theodore J. Kobus, III, BakerHostetler, LLP, 45 Rockefeller Plaza, New York, NY  10111; Ph: 212-589-4200 ",7/15/2013,8/23/2013,7/15/2013,,,"Patient demographic information such as name, address, birthdate, SSN, & limited clinical info like treating physician and/or dept, diagnosis, medical record no., medical service code, health ins info",181
"Ameriprise Financial, Inc",,"1441 W. Long Lake Road, Suite 250, Troy, MI 48098; Ph: 248-205-5817",N/A,7/17/2013,8/23/2013,7/17/2013,,,"Name, address, birthdate, SSN & Account No.",1
Shore Mortgage,,None,"Anthony DeResta, Esq. of Winston& Strawn, LLP, 35 West Drive, Chicago, IL 60601 1-312-558-5600",6/2/2013,8/21/2013,6/2/2013,,,"Personal info such as name, contact info, birthdate, SSN & Financial acct info.",5 Approx
"Exelixis, Inc.",,None,"Jared Friend, Associate, Cooley, LLP       206-452-8787       .",7/30/2013,8/15/2013,7/30/2013,,,Personal information about current & former employees,1
Ferris State University,,"P.O. Box 6336, Portland, OR 97228-6336","Craig Hoffman, Esq. @ BakerHostetler, T:513-929-3400  312 Walnut Street, Ste. 3200, Cincinnati, OH 45202   .",7/23/2013,8/14/2013,7/23/2013,,,Name & Social Security Nos. of students & employees,13
Argotec,,"53 Silvio O. Conte Dr. Greenfield, MA 01301 P:413-772-2564  F:413-772-2565          .                 ",N/A,7/26/2013,8/12/2013,7/26/2013,,,Personal information about current & former employees,2
Foundations Recovery Network,,None,"M. Scott Koller, DLA Piper; T:916-930-3254",6/15/2013,8/12/2013,6/15/2013,,,Personal Information about patients of adult residential alcohol/drug abuse/recover treatment faciility,7
"McKesson Corporation (payroll vendor, ADP)",,"McKesson Corp., One Post Street, San Francisco, CA 94104, Sheila Fischer, 415-983-8740, sheila.fischerkiernan@mckesson.com",N/A,4/29/2013,8/9/2013,4/29/2013,,,"Employee information, including name SSN, gross wages, of some employees embedded into files of other employees, was a coding error. Error corrected by ADP on May 4th",52
Bell Helicopter (Training Academy),,"Jay Felkins, Deputy General Counsel, P.O. Box 482, Fort Worth, Texas 76101; 817-280-2851",N/A,7/3/2013,8/9/2013,7/3/2013,,,Email addresses of training program attendees and possibly some credit card information (which credit cards have expired).,1
Smartphone Experts,,None,"Craig Hoffman, Esq. @ BakerHostetler, T:513-929-3400 ",7/12/2013,8/7/2013,7/12/2013,,,"Possibly name, address, credit or debit card number, CVV code & credit card expiration date associated with customer orders",384
"F.C. Tucker Co., Inc. (Real Estate Agency in Indiana)",,None,"Ellen Townsend, Hackman, Hulett & Cracraft, LLP, 111 Monument Circle, Suite 3500, Indianapolis, IN 46204; T: 317-636-5401",6/26/2013,8/5/2013,6/26/2013,,,"Personal Information, including addresses, phone numbers, & SS numbers.",1 (former customer of F.C. Tucker Co)
US Airways,,None,"David Schindler, Esq., Latham & Watkins, LLP, 213-891-8415",7/12/2013,8/2/2013,7/12/2013,,,"Names, addresses, email address, answers to security questions, dob, Traveler #, last 4 digits of credit cards",
Auburn University,,"316 Leach Science Center, Alabama","Jennifer Caughlin, Nelson, Levine de Luca & Hamilton, 518 Township Line Road, Ste 300, Blue Bell, PA 19422; P:215-358-5100",6/19/2013,8/1/2013,6/19/2013,,,"Spreadsheets inadvertently uploaded to publicly accessible server containing names (including maiden names), addresses, SS Nos. street addresses and email addresses, phone number, of certain Auburn University alumni and donors.  Also first year, graduation year, school attended, alumni status. (No financial info on spreadsheets)",3
"Fidelity Investments, William Duserick, Chief Privacy Officer, 617-392-1224 (o/b/o Oracle Corporation)",,"Fidelity Investments, William Duserick, Chief Privacy Officer, 617-392-1224 ",N/A,7/10/2013,7/31/2013,7/10/2013,,,"Report from one Fidelity Client firm to another firm containing employees' names, SSN, compensation and other info related to admin of 401k plans",33
"Ruby Tuesday, Inc.",,"150 West Church Ave., Maryville, Tennessee 37801","Christopher Dilenno, Nelson Levine de Luca & Hamilton, 518 Township Line Rd Ste 300, Blue Bell, PA 19422; PH: 215-358-5100 - Dilenno now with Lewis Brisbois, Bisgaard & Smith LLP, chris.dilenno@lewisbrisbois.com",7/8/2013,7/23/2013,7/8/2013,,,"Support Center employee inadvertently sent an email to a former Ruby Tuesday employee containing a spreadsheet listing name, SSN, bank name, bank acct type, acct number, & routing nos, for certain Ruby Tuesday employees",2
"Huntington's Disease Society of America (""HDSA"")",,"505 Eighth Ave., Ste 902, NY, NY 10018","Jennifer Caughlin, Nelson, Levine de Luca & Hamilton, 518 Township Line Road, Ste 300, Blue Bell, PA 19422; P:215-358-5100",5/31/2013,7/22/2013,5/31/2013,,,"Improperly obtained access to credentials to the webmail account. The webmail acct contained emails containing the names, addresses, SSNs and other information of HDSA employees and certain HDSA donors, board memebers and vendors",1
US Airways third-party vendor (ADP),,None,"Adam KohSweeney, O'Melveny & Myers, LLP, 415-984-8912, Two Embarcadero Ctr, 28th Fl, San Francisco, CA 94111", 7/18/2013,7/18/2013,7/18/2013,,,"Name, SSN & total taxable w-2 wages for tax years 2010, 2011 & 2012. Due to a programming error, the info could have been downloaded when another US Airways employee downloaded his or her w-2.",5
Elightbulbs,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,1
Go-Part.com,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,4
Paradise Cove Beach Cafe,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,1
Schnucks #117,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,1
Schnucks #177,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,1
Schnucks #188,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,1
Schnucks #717,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933","June, 2013",7/18/2013,6/1/2013,,,Discover Card Account information may have been compromised,1
"NYC Bike Share, LLC",,"5202 3rd Avenue, Brooklyn, NY 11220","Theordore Augustinos, Esq., Edwards Wildman, 20 Chruch Street, Hartford, CT 06103",4/15/2013,7/17/2013,4/15/2013,,,"contact information and credit card information including credit card number, expiration date & security code.& possibly date of birth , user names, passwords as well as security questions and answers.",1
Sentry Insurance,,"1800 North Point Dr, Stevens Point, WI 54481; Ph: 715-346-8280",N/A,7/2/2013,7/11/2013,7/2/2013,,," Personal Information such as first & last name, SSN and in come cases the account balance.",1
Hyundai Motor America,,"2nd Floor Mail Center, 3200 Park Center Dr., Costa Mesa, CA 92626; Ph: 714-965-3000",N/A,5/24/2013,7/3/2013,5/24/2013,,,"Subsriber's name, address, telephone, and in some cases last 4 digits of credit card acct info. Contained in portions of www.MyHyundai.com accessible only to Blue Link subscribers. Issue was resolved on 5/28/13",                 ?
"Suffolk University, via its vendor Vendini, Inc.",,None,"Cynthia Larose, MintzLevin, One Financial Center, Boston, MA 02111; Ph: 617-542-6000","Late March, 2013",7/2/2013,Late March 2013,,,"Name, mailing address, email address, phone number, credit card numbers & exp dates",71
"Primedia, Inc.",,None,"Lori S. Nugent, Esq., WilsonElser55 West Monroe, Ste 3800, Chicago, IL 60603",6/20/2012,7/1/2013,6/20/2012,,,"Personally identifieable information ""PII) of certain Primedia employees, former employees and applicants",75
Bridgewater,,"Emily Kirsch, Head of Corp Counsel & Corp Secretary, One Glendinning Place, Westport, CT 06880; 203-226-3030",N/A,4/11/2013,6/28/2013,4/11/2013,,,"employees' names, birthdates, SSNs, addresses, dates of separation from Bridgewater, type of separation, benefit plans elected while employed by Bridgewater, premiums and due dates, lenth of time of COBRA eligibility and same info for dependents.",2
United Parcel Service (UPS),,"Christopher Lang, Esq., UPS Corp Legal Dept., 55 Glenlake Parkway, NE, Atlanta, GA 30328; Ph: 404-828-7174",N/A,?,6/24/2013,NA,,,"UPS employees' names, business email addresses, and contact info entered int the Customized Express Envelope Website, as well as user IDs and passwords used by UPS employees to access the site.",3
"Quayside Publishing Group (Qbookshop.com, Qbookshop.net, Motorbooks.com and WalterFoster.com)           .",,"Joseph Cella, Quayside, 400 First Ave N, Suite 400, Minneapolis, MN 55401; PH: 612-344-8100",N/A,4/29/13 - 6/17/13,6/21/2013,4/29/2013,6/17/2013,,"credit card information, names and addresses",? Not stated
Zehnders of Frankenmuth,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,"May, 2013",6/18/2013,5/1/2013,,,Discover Card Account information may have been compromised,5
Mapco,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,"May, 2013",6/18/2013,5/1/2013,,,Discover Card Account information may have been compromised,5
Stag Arms LLC,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,"May, 2013",6/18/2013,5/1/2013,,,Discover Card Account information may have been compromised,8
Willie TS,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,"May, 2013",6/18/2013,5/1/2013,,,Discover Card Account information may have been compromised,6
Montana Ste University(MSU),,None,"Theordore J. Kobus, III, BakerHostetler, LLP, 45 Rockefeller Plaza, New York, NY 10111; Ph: 212-589-4200",3/5/2013,6/13/2013,3/5/2013,,,"employment information regarding current and former MSU  employees, including names and SSNs. No financial or bank acct info was involved.",8
Great Lakes Dredge & Dock Co. (GLDD),,"2122 York Road, Oak Brook, Illinois 60523;  630-574-3000","Thomas A. Walsh, Esq., Ice Miller, LLP, One American Square, Suite 2900, Indianapolis, IN 46282; Ph: 317-236-5946",4/28/2013,6/10/2013,4/28/2013,,,"full names, addresses and SSNs of certain GLDD employees",4
Polaris,,"Attn: Stacy Bogart, VP, Gen Counsel & Secretary, 2100 Highway 55, Medina, Minnesota 55340; Ph: 763-542-0500",N/A,5/8/2013 (Any dealer app submitted to Polaris between 4/1/2007 & 5/8/2013 made accessible over the internet,6/7/2013,5/8/2013,,,"name, address, SSN and financial account number",? Not stated
Harmonix,,"Attn: Sue Lee, General Counsel, 625 Massachusetts Ave, 2nd Fl, Cambridge, MA 02139; Ph: 617-491-6144",N/A,4/1/2013,6/6/2013,4/1/2013,,,"name, address, birthdate, email address, user IDs, site log-in info and hashed passwords.",19
"VYC Tires, Inc., d/b/a bestusedtires.com",,None,"William A. Ehrlich, Esq., Law Offices of Kevin T. Fogerty, Mill Run Office Ctr, 1275 Glenlivet Drive, Suite 150, Allentown, PA 18106; Ph: 610-366-0950",3/23/13 - 5/22/13,6/5/2013,3/23/2013,5/22/2013,,"name, email address, shipping and billing addresses, telephone number, credit or debit card number and credit or debit card security code.",12
MassMutual Financial Group,,"Attn: Christopher J. Markowski, Asst VP & Counsel, Ph: 413 774-1181",N/A,5/8/2013,6/4/2013,5/8/2013,,,"Retirement plan info (plan name, grp #), name, SSN, investment selections & account balances",2
ADP (Automatic Data Processing,,"Attn: Alyson Weckstein Tiegel, Senior Counsel, One ADP Boulevard, Roseland, NJ 07068; Ph: 973-974-7905",N/A,4/29/2013,6/4/2013,4/29/2013,,,"Personal Information including employee's name, SSN & gross wages",353
"Primedia, Inc., k/n/a RentPath, Inc.(""Primedia"")",,None,"Lori S. Nugent, Esq., WilsonElser55 West Monroe, Ste 3800, Chicago, IL 60603; Ph: 312-821-6177",6/20/2012,5/31/2013,6/20/2012,,,"Personally identifiable information of employees, former employees and applicants.",24
"Goldner Associates, Inc.",,None,"Eric S. Whisler, Vorys, Sater, Seymour and Pease, LLP, 52 East Gay Street, P.O. Box 1008, Columbus, Ohio, 43216; Ph: 616-464-6400",5/16/2013,5/31/2013,5/16/2013,,,"Name, credit card or debit card number and exp date and cvv code for the card, address and phone number",9
3balls.com,,"Stephen Scianna, VP/Principal, 319 Manley Street, Suite 1, West Bridgewater, MA 02379; Ph: 508-580-8770",N/A,9/19/12 - 5/11/13,5/31/2013,9/19/2012,5/11/2013,,"names, addresses, phone numbers, credit card nos., credit card exp dates and security codes.",34
Champlain College,,"P.O. Box 670, Burlington, VT 05402-0670","Jennifer Caughlin, Nelson, Levine de Luca & Hamilton, 518 Township Line Road, Ste 300, Blue Bell, PA 19422; P:215-358-5100",3/18/2013,5/31/2013,3/18/2013,,,Name & Social Security Nos. of College applicants and students,585
"Rosewood Hotels and Resorts, LLC, Management Co. for Aansazi Hotel, LLC",,"Kenneth Carone, Controller, 113 Washington Avenue, Santa Fe, New Mexico 87501; Tel: 505-988-3030","Vita E. Zeltser, Lock Lord, LLP, Terminus 200, 3333 iedmont Road, NE, Duite 1200, Atlanta, GA 30305; Ph: 404-870-4600",Possibly between 6/18/13 and 3/21/13,5/30/2013,6/18/2013,,,names and credit card information,2
"TJG, Inc. d/b/a Target Marketing",,"Jay Nathanson, Pres., Target Marketing, 11049 Lakeridge Parkway, Ashland, VA 23005","Alysa Hutnik, Christopher Loeffler, Kelley Drye & Warren LLP, Washington Harbour, Suite 400, 3050 K Street, NW, Washington, DC 20007-5108; Ph: 202-342-8603 or 342-8429",5/14/2013,5/29/2013,5/14/2013,,,"cardholder name, address, email, credit/debit card number, exp date, and CVV code",1
Shumsky Promotional Agency,,"Anita Emoff, Pres., 811 E. 4th Street, Dayton, OH 45402","Alysa Hutnik, Christopher Loeffler, Kelley Drye & Warren LLP, Washington Harbour, Suite 400, 3050 K Street, NW, Washington, DC 20007-5108; Ph: 202-342-8603 or 342-8429",5/14/2013,5/29/2013,5/14/2013,,,"cardholder name, address, email, credit/debit card number, exp date, and CVV code",1
"Piedmont healthCare, P.A.",,None,"Blaine C. Kimrey, Lathrop & Gage, LLP, 155 N. Wacker, Suite 3050, Chicago, IL 60606; Ph: 312-920-3300",5/3/2013,5/23/2013,5/3/2013,,,Employment application records ,5
"Beachbody, LLC",,"Beachbody, LLC, 3301 Exposition Boulevard, 3rd Floor, Santa Monica, CA 90404","Christopher J. Dilenno, Esq., Nelson, Levin de Luca & Hamilton, LLC, 518 Township Line Road, Suite 300, Blue Bell, PA 19422; Ph: 215-358-5100 - Dilenno now with Lewis Brisbois, Bisgaard & Smith LLP, chris.dilenno@lewisbrisbois.com",4/17/2013,5/23/2013,4/17/2013,,,"first and last name, email address, mailing adress, phone number, credit card number an dCVV number of certain website customers",80
AHW LLC,,"Chad Braden, President, 27688 East 3200 North Road, Dwight, IL 60420; ",N/A,9/2/12-12/31/12,5/22/2013,9/2/2012,12/31/2012,,"Discover card customer names, credit card inumber, exp date and security code ",10
USAA Federal Savings Bank,,"Jack Key, VP, USAA, 10750 McDermott Freeway, San Antonio, Texas 78288-0544",N/A,3/30/2013,5/22/2013,3/30/2013,,,"name, address, and account number.",1
