Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
PFIZER INC.,Pfizer Inc,Public,00-132-6495,Non Manufacturer,Non-Subsidiary,1942,Headquarters,NEW YORK,325411,Medicinal and Botanical Manufacturing,"325411, 325412","""Medicinal and Botanical Manufacturing "", ""Pharmaceutical Preparation Manufacturing ""","2833, 2834","""Medicinals and botanicals"", ""Pharmaceutical preparations""",28330300,Antibiotics,"$51,750,000,000","92,400","2,500","$53,647,000,000"
THE TJX COMPANIES INC,TJX Companies Inc,Public,00-695-5215,Manufacturer,Non-Subsidiary,1956,Headquarters,MASSACHUSETTS,452210,Department Stores,"442299, 448140, 452210","""All Other Home Furnishings Stores "", ""Family Clothing Stores "", ""Department Stores ""","5311, 5651, 5719","""Department stores"", ""Family clothing stores"", ""Misc. homefurnishings stores""",53119901,"Department stores, discount","$41,716,977,000","286,000","1,800","$38,972,934,000"
ORACLE CORPORATION,Oracle Corp,Public,14-470-9193,Non Manufacturer,Non-Subsidiary,1977,Headquarters,CALIFORNIA,541512,Computer Systems Design Services,"334111, 334413, 511210, 541512, 611420","""Electronic Computer Manufacturing "", ""Semiconductor and Related Device Manufacturing "", ""Software Publishers"", ""Computer Systems Design Services "", ""Computer Training ""","3571, 3674, 7372, 7379, 8243","""Electronic computers"", ""Semiconductors and related devices"", ""Prepackaged software"", ""Computer related services, nec"", ""Data processing schools""",73790200,Computer related consulting services,"$39,506,000,000","136,000","2,300","$39,831,000,000"
HEWLETT PACKARD ENTERPRISE COMPANY,Hewlett-Packard Co,Public,07-983-4910,Non Manufacturer,Non-Subsidiary,1939,Headquarters,CALIFORNIA,511210,Software Publishers,"334112, 511210, 541519","""Computer Storage Device Manufacturing "", ""Software Publishers"", ""Other Computer Related Services""","3572, 7372, 7379","""Computer storage devices"", ""Prepackaged software"", ""Computer related services, nec""",73729902,Business oriented computer software,"$29,135,000,000","60,000",112,"$30,852,000,000"
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,Northwestern Mutual Life Insurance Co,Public,00-794-7146,Manufacturer,Subsidiary,1857,Headquarters,WISCONSIN,524113,Direct Life Insurance Carriers,"522320, 524113, 524114","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers ""","6311, 6321, 7389","""Life insurance"", ""Accident and health insurance"", ""Business services, nec""",63119906,Life insurance carriers,"$28,482,000,000",30,20,"$28,482,000,000"
SEARS HOLDINGS CORPORATION,Sears Holding Corp,Public,19-122-2244,Manufacturer,Non-Subsidiary,1886,Headquarters,ILLINOIS,523910,Miscellaneous Intermediation,523910,"""Miscellaneous Intermediation """,6799,"""Investors, nec""",67990000,"Investors, nec","$26,629,750,640","89,000",500,"$16,702,000,000"
STARBUCKS CORPORATION,Starbucks Corp,Public,15-536-6107,Manufacturer,Non-Subsidiary,1985,Headquarters,WASHINGTON,722513,Limited-Service Restaurants,"445291, 445299, 722513","""Baked Goods Stores "", ""All Other Specialty Food Stores "", ""Limited-Service Restaurants ""","5461, 5499, 5812","""Retail bakeries"", ""Miscellaneous food stores"", ""Eating places""",58120304,Coffee shop,"$26,508,600,000","277,000",763,"$24,719,500,000"
"T-MOBILE USA, INC.",T-Mobile USA Inc,Private,06-852-8376,Manufacturer,Subsidiary,1999,Headquarters,WASHINGTON,517312,Wireless Telecommunications Carriers (except Satellite),,,,,48120000,Radiotelephone communication,"$25,943,278,912","34,518",170,"$26,476,745,385"
"ALTRIA GROUP, INC.",Altria Group Inc,Public,14-462-8310,Non Manufacturer,Non-Subsidiary,1919,Headquarters,VIRGINIA,312230,Tobacco Manufacturing,"312130, 312230","""Wineries "", ""Tobacco Manufacturing ""","2084, 2111","""Wines, brandy, and brandy spirits"", ""Cigarettes""",21110000,Cigarettes,"$25,110,000,000","8,300","1,400","$25,364,000,000"
IBM WORLD TRADE CORPORATION,IBM Corp,Private,00-169-7945,Non Manufacturer,Subsidiary,1923,Headquarters,NEW YORK,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,,,,35770000,"Computer peripheral equipment, nec","$23,412,298,463","113,000",8,"$23,074,587,559"
THE HARTFORD FINANCIAL SERVICES GROUP INC,Hartford The,Public,78-708-5893,Manufacturer,Non-Subsidiary,1810,Headquarters,CONNECTICUT,524113,Direct Life Insurance Carriers,"524113, 524114, 524126","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6311, 6321, 6331, 6351","""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance"", ""Surety insurance""",63110000,Life insurance,"$20,740,000,000","17,400",35,"$18,955,000,000"
"MERRILL LYNCH & CO., INC.",Merrill Lynch,Public,06-496-8043,Manufacturer,Non-Subsidiary,0,Single Location,NORTH CAROLINA,523120,Securities Brokerage,"523120, 523140, 523930, 541910","""Securities Brokerage "", ""Commodity Contracts Brokerage "", ""Investment Advice "", ""Marketing Research and Public Opinion Polling""","6211, 6221, 6282, 8732","""Security brokers and dealers"", ""Commodity contracts brokers, dealers"", ""Investment advice"", ""Commercial nonphysical research""",62110000,Security brokers and dealers,"$20,217,000,000","56,200","10,000","$20,217,000,000"
THE GAP INC,Gap Inc,Public,04-862-6915,Manufacturer,Non-Subsidiary,1969,Headquarters,CALIFORNIA,448130,Children's and Infants' Clothing Stores,"448110, 448120, 448130, 448140, 448150","""Men's Clothing Stores "", ""Women's Clothing Stores "", ""Children's and Infants' Clothing Stores "", ""Family Clothing Stores "", ""Clothing Accessories Stores ""","5611, 5621, 5632, 5641, 5651","""Men's & boys' clothing stores"", ""Women's clothing stores"", ""Women's accessory & specialty stores"", ""Children's and infants' wear stores"", ""Family clothing stores""",56410000,Children's and infants' wear stores,"$16,383,000,000","135,000","2,500","$16,580,000,000"
"NATIONWIDE FINANCIAL SERVICES, INC.",Nationwide Financial Services Inc,Public,96-641-8220,Manufacturer,Subsidiary,1996,Headquarters,OHIO,524113,Direct Life Insurance Carriers,"524113, 524298, 541611","""Direct Life Insurance Carriers "", ""All Other Insurance Related Activities "", ""Administrative Management and General Management Consulting Services ""","6311, 6411, 8742","""Life insurance"", ""Insurance agents, brokers, & service"", ""Management consulting services""",63110000,Life insurance,"$15,673,328,256","4,644",105,"$15,911,196,256"
"WASTE MANAGEMENT, INC.",Waste Management,Public,19-467-2085,Manufacturer,Non-Subsidiary,1987,Headquarters,TEXAS,562211,Hazardous Waste Treatment and Disposal,562211,"""Hazardous Waste Treatment and Disposal """,4953,"""Refuse systems""",49530200,Refuse collection and disposal services,"$15,455,000,000","44,900",50,"$14,914,000,000"
CELGENE CORPORATION,Celgene Corp,Public,17-420-1137,Non Manufacturer,Subsidiary,1986,Headquarters,NEW JERSEY,325412,Pharmaceutical Preparation Manufacturing,325412,"""Pharmaceutical Preparation Manufacturing """,2834,"""Pharmaceutical preparations""",28340000,Pharmaceutical preparations,"$15,281,000,000","8,852",211,"$15,281,000,000"
GOLDMAN SACHS & CO. LLC,Goldman Sachs & Co LLC,Private,00-698-4561,Manufacturer,Subsidiary,2012,Headquarters,NEW YORK,523110,Investment Banking and Securities Dealing,,,,,62110202,Investment bankers,"$14,388,091,596","32,400","1,500","$16,751,980,972"
"AUTOMATIC DATA PROCESSING, INC.",ADP Inc,Public,00-191-5172,Manufacturer,Non-Subsidiary,1949,Headquarters,NEW JERSEY,518210,"Data Processing, Hosting, and Related Services",518210,"""Data Processing, Hosting, and Related Services""",7374,"""Data processing and preparation""",73749902,Data processing service,"$14,175,200,000","57,000","1,500","$13,325,800,000"
TEXTRON INC.,Textron Inc,Public,00-133-8979,Non Manufacturer,Non-Subsidiary,1923,Headquarters,RHODE ISLAND,336411,Aircraft Manufacturing,"333991, 334519, 336411, 336412, 336413, 336999","""Power-Driven Handtool Manufacturing "", ""Other Measuring and Controlling Device Manufacturing "", ""Aircraft Manufacturing "", ""Aircraft Engine and Engine Parts Manufacturing "", ""Other Aircraft Parts and Auxiliary Equipment Manufacturing "", ""All Other Transportation Equipment Manufacturing ""","3546, 3721, 3724, 3728, 3799, 3829","""Power-driven handtools"", ""Aircraft"", ""Aircraft engines and engine parts"", ""Aircraft parts and equipment, nec"", ""Transportation equipment, nec"", ""Measuring & controlling devices, nec""",37210000,Aircraft,"$13,630,000,000","35,000",277,"$13,972,000,000"
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Inc,Public,00-696-1957,Manufacturer,Non-Subsidiary,1894,Headquarters,MINNESOTA,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","522320, 523930, 524113, 524210","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Investment Advice "", ""Direct Life Insurance Carriers "", ""Insurance Agencies and Brokerages ""","6282, 6311, 6411, 7389","""Investment advice"", ""Life insurance"", ""Insurance agents, brokers, & service"", ""Business services, nec""",73890900,Financial services,"$12,967,000,000","13,000",120,"$12,835,000,000"
NATIONWIDE MUTUAL INSURANCE COMPANY,Nationwide Insurance Co,Public,00-790-2059,Manufacturer,Non-Subsidiary,1925,Headquarters,OHIO,524126,Direct Property and Casualty Insurance Carriers,"524113, 524126, 531210","""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers "", ""Offices of Real Estate Agents and Brokers""","6311, 6321, 6331, 6531","""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance"", ""Real estate agents and managers""",63310202,"Fire, marine, and casualty insurance: mutual","$12,799,196,884","34,417","1,592","$13,225,603,629"
KRAFT HEINZ FOODS COMPANY,Kraft Foods Group Inc,Public,00-431-8846,Non Manufacturer,Subsidiary,1869,Headquarters,PENNSYLVANIA,311513,Cheese Manufacturing,"311412, 311421, 311422, 311513, 311824","""Frozen Specialty Food Manufacturing "", ""Fruit and Vegetable Canning "", ""Specialty Canning "", ""Cheese Manufacturing "", ""Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ""","2022, 2032, 2033, 2038, 2098","""Cheese, natural and processed"", ""Canned specialties"", ""Canned fruits and vegetables"", ""Frozen specialties, nec"", ""Macaroni and spaghetti""",20220100,"Cheese spreads, dips, pastes, and other cheese products","$12,111,686,499","24,000",155,"$10,704,501,856"
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Co,Public,00-698-8307,Manufacturer,Non-Subsidiary,1845,Headquarters,NEW YORK,524113,Direct Life Insurance Carriers,"523930, 524113, 524114","""Investment Advice "", ""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers ""","6282, 6311, 6321","""Investment advice"", ""Life insurance"", ""Accident and health insurance""",63119906,Life insurance carriers,"$10,704,009,697","12,150","4,400","$16,479,394,920"
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",Fidelity National Information Services Inc,Public,03-077-2334,Manufacturer,Non-Subsidiary,1961,Headquarters,FLORIDA,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","518210, 522320","""Data Processing, Hosting, and Related Services"", ""Financial Transactions Processing, Reserve, and Clearinghouse Activities ""","7374, 7389","""Data processing and preparation"", ""Business services, nec""",73890900,Financial services,"$10,333,000,000","47,000","2,200","$8,423,000,000"
THE INTERPUBLIC GROUP OF COMPANIES INC,"Interpublic Group, Towers Perrin",Public,00-698-5790,Manufacturer,Non-Subsidiary,1902,Headquarters,NEW YORK,541810,Advertising Agencies,"541613, 541810","""Marketing Consulting Services "", ""Advertising Agencies""","7311, 8742","""Advertising agencies"", ""Management consulting services""",73119901,Advertising consultant,"$10,221,300,000","54,000",175,"$9,714,400,000"
"HENRY SCHEIN, INC.",Henry Schein Inc,Public,01-243-0880,Manufacturer,Non-Subsidiary,1932,Headquarters,NEW YORK,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","423450, 424210, 511210","""Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers "", ""Drugs and Druggists' Sundries Merchant Wholesalers "", ""Software Publishers""","5047, 5122, 7372","""Medical and hospital equipment"", ""Drugs, proprietaries, and sundries"", ""Prepackaged software""",50470200,Dental equipment and supplies,"$9,985,803,000","22,000",700,"$13,201,995,000"
INGERSOLL-RAND COMPANY,Ingersoll Rand,Private,00-136-8026,Non Manufacturer,Subsidiary,1871,Headquarters,NORTH CAROLINA,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,,,,35610000,Pumps and pumping equipment,"$9,807,429,487","44,701",575,"$12,086,499,531"
"HERTZ GLOBAL HOLDINGS, INC.",Hertz Global Holdings Inc,Public,08-023-4851,Manufacturer,Non-Subsidiary,1918,Headquarters,FLORIDA,532111,Passenger Car Rental,532111,"""Passenger Car Rental """,7514,"""Passenger car rental""",75140000,Passenger car rental,"$9,779,000,000","38,000",48,"$9,504,000,000"
HILTON WORLDWIDE HOLDINGS INC.,Hilton Worldwide Holding Inc,Public,07-913-2993,Manufacturer,Non-Subsidiary,1919,Headquarters,VIRGINIA,721110,Hotels (except Casino Hotels) and Motels,"533110, 721110","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Hotels (except Casino Hotels) and Motels ""","6794, 7011","""Patent owners and lessors"", ""Hotels and motels""",70110300,Hotels,"$9,452,000,000","169,000",363,"$8,906,000,000"
HARTFORD FIRE INSURANCE COMPANY,Hartford Fire Insurance Co,Public,00-691-7181,Manufacturer,Subsidiary,1810,Headquarters,CONNECTICUT,524210,Insurance Agencies and Brokerages,,,,,64110301,"Insurance agents, nec","$9,100,353,179","17,399","3,500","$9,159,782,578"
DOVER CORPORATION,Dover Corporation and Towers Perrin,Public,00-324-5271,Non Manufacturer,Non-Subsidiary,1947,Headquarters,ILLINOIS,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,"333132, 333415, 333914, 334118, 334413","""Oil and Gas Field Machinery and Equipment Manufacturing "", ""Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing "", ""Measuring, Dispensing, and Other Pumping Equipment Manufacturing "", ""Computer Terminal and Other Computer Peripheral Equipment Manufacturing "", ""Semiconductor and Related Device Manufacturing ""","3533, 3577, 3585, 3586, 3674","""Oil and gas field machinery"", ""Computer peripheral equipment, nec"", ""Refrigeration and heating equipment"", ""Measuring and dispensing pumps"", ""Semiconductors and related devices""",35850000,Refrigeration and heating equipment,"$7,136,397,000","24,000",150,"$6,992,118,000"
WEYERHAEUSER COMPANY,Weyerhaeuser Co,Public,00-130-6992,Non Manufacturer,Non-Subsidiary,1900,Headquarters,WASHINGTON,321211,Hardwood Veneer and Plywood Manufacturing,"113110, 113310, 213112, 321211, 322110, 531110","""Timber Tract Operations"", ""Logging "", ""Support Activities for Oil and Gas Operations "", ""Hardwood Veneer and Plywood Manufacturing "", ""Pulp Mills "", ""Lessors of Residential Buildings and Dwellings ""","0811, 1382, 2411, 2435, 2611, 6798","""Timber tracts"", ""Oil and gas exploration services"", ""Logging"", ""Hardwood veneer and plywood"", ""Pulp mills"", ""Real estate investment trusts""",24350000,Hardwood veneer and plywood,"$6,554,000,000","9,300","1,000","$7,476,000,000"
TRANSAMERICA CORPORATION,Transamerica Corp,Private,00-691-3313,Manufacturer,Subsidiary,1906,Headquarters,IOWA,524113,Direct Life Insurance Carriers,,,,,63110000,Life insurance,"$6,342,243,686","6,500",100,"$35,542,577,465"
CELANESE CORPORATION,Celanese,Public,17-020-4486,Non Manufacturer,Non-Subsidiary,1918,Headquarters,TEXAS,325180,Other Basic Inorganic Chemical Manufacturing,"325180, 325199, 325211","""Other Basic Inorganic Chemical Manufacturing "", ""All Other Basic Organic Chemical Manufacturing "", ""Plastics Material and Resin Manufacturing ""","2819, 2821, 2869","""Industrial inorganic chemicals, nec"", ""Plastics materials and resins"", ""Industrial organic chemicals, nec""",28190000,"Industrial inorganic chemicals, nec","$6,297,000,000","7,684",550,"$7,155,000,000"
TD AMERITRADE HOLDING CORPORATION,Ameritrade Security,Public,15-065-1875,Manufacturer,Non-Subsidiary,1971,Headquarters,NEBRASKA,523120,Securities Brokerage,523120,"""Securities Brokerage """,6211,"""Security brokers and dealers""",62110106,Stock brokers and dealers,"$6,016,000,000","9,183",30,"$5,452,000,000"
"FRUIT OF THE LOOM, INC.",Fruit of the Loom,Private,11-055-3737,Non Manufacturer,Subsidiary,1985,Headquarters,KENTUCKY,315190,Other Apparel Knitting Mills,315190,"""Other Apparel Knitting Mills ""","2253, 2254","""Knit outerwear mills"", ""Knit underwear mills""",22530505,"Shirts(outerwear), knit","$5,808,709,199","26,608",503,"$5,791,938,119"
JOHNS HOPKINS UNIVERSITY,John Hopkins University,Private,00-191-0777,Manufacturer,Non-Subsidiary,1867,Headquarters,MARYLAND,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$5,418,878,400","37,600","3,000","$6,020,976,000"
NEIMAN MARCUS GROUP INC,Neiman Marcus Group Inc,Private,07-918-1478,Manufacturer,Non-Subsidiary,2013,Headquarters,TEXAS,452210,Department Stores,"448140, 452210, 454110","""Family Clothing Stores "", ""Department Stores "", ""Electronic Shopping and Mail-Order Houses ""","5311, 5651, 5961","""Department stores"", ""Family clothing stores"", ""Catalog and mail-order houses""",53119902,"Department stores, non-discount","$4,900,550,238","15,100",97,"$4,900,444,000"
GENERAL CABLE CORPORATION,General Cable,Public,84-791-4173,Non Manufacturer,Subsidiary,1992,Headquarters,KENTUCKY,331420,"Copper Rolling, Drawing, Extruding, and Alloying","331420, 335921","""Copper Rolling, Drawing, Extruding, and Alloying"", ""Fiber Optic Cable Manufacturing ""","3351, 3357","""Copper rolling and drawing"", ""Nonferrous wiredrawing & insulating""",33519907,"Wire, copper and copper alloy","$3,837,200,000","8,500",325,"$3,837,200,000"
EQUIFAX INC.,Equifax Inc,Public,04-581-2369,Manufacturer,Non-Subsidiary,1899,Headquarters,GEORGIA,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","522320, 541910, 561110, 561450","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Marketing Research and Public Opinion Polling"", ""Office Administrative Services"", ""Credit Bureaus""","7323, 7389, 8732, 8741","""Credit reporting services"", ""Business services, nec"", ""Commercial nonphysical research"", ""Management services""",73890900,Financial services,"$3,507,600,000","10,900",112,"$3,412,100,000"
ERNST & YOUNG LLP,Ernst & Young LLP,Private,05-836-9562,Manufacturer,Non-Subsidiary,1894,Headquarters,NEW YORK,541211,Offices of Certified Public Accountants,541211,"""Offices of Certified Public Accountants """,8721,"""Accounting, auditing, & bookkeeping""",87210101,Certified public accountant,"$3,430,516,126","27,390",928,"$4,277,683,092"
"H&R BLOCK, INC.",H&R Block,Public,04-395-1235,Manufacturer,Non-Subsidiary,1955,Headquarters,MISSOURI,541213,Tax Preparation Services,"533110, 541213","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Tax Preparation Services ""","6794, 7291","""Patent owners and lessors"", ""Tax return preparation services""",72910000,Tax return preparation services,"$3,094,881,000","93,400",300,"$3,159,931,000"
SENTRY INSURANCE A MUTUAL COMPANY,Sentry Insurance a Mutual Insurance Co,Public,05-766-6877,Manufacturer,Non-Subsidiary,1914,Headquarters,WISCONSIN,524126,Direct Property and Casualty Insurance Carriers,"524113, 524114, 524126, 524210","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers "", ""Insurance Agencies and Brokerages ""","6311, 6321, 6331, 6411","""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance"", ""Insurance agents, brokers, & service""",63310202,"Fire, marine, and casualty insurance: mutual","$3,066,900,000","4,830","1,388","$3,066,900,000"
"UMASS MEMORIAL HEALTH CARE, INC.",UMass Memorial Health Care Inc,Private,94-984-0581,Manufacturer,Non-Subsidiary,1997,Headquarters,MASSACHUSETTS,622110,General Medical and Surgical Hospitals,,,,,80620000,General medical and surgical hospitals,"$2,642,903,000","10,000","4,800","$2,496,474,000"
LEXISNEXIS RISK ASSETS INC.,LexisNexis,Private,15-293-0061,Manufacturer,Subsidiary,1997,Headquarters,DELAWARE,524298,All Other Insurance Related Activities,,,,,64110103,"Information bureaus, insurance","$2,466,834,641","5,000",700,"$2,752,212,217"
"BERTELSMANN, INC.",Bertelsmann Inc,Private,15-281-1600,Manufacturer,Subsidiary,1975,Headquarters,NEW YORK,511130,Book Publishers,,,,,27310200,"Books, publishing and printing","$1,731,553,341","13,000",30,"$1,770,592,499"
COMPUTERSHARE INC.,Computershare,Private,92-978-7356,Manufacturer,Subsidiary,2000,Headquarters,MASSACHUSETTS,523999,Miscellaneous Financial Investment Activities,,,,,62110109,"Traders, security","$1,722,201,906","16,000","1,200","$1,423,307,360"
THE WENDY'S COMPANY,Wendys Co,Public,00-503-8773,Manufacturer,Non-Subsidiary,1929,Headquarters,OHIO,722513,Limited-Service Restaurants,"533110, 722513","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Limited-Service Restaurants ""","5812, 6794","""Eating places"", ""Patent owners and lessors""",58120307,"Fast-food restaurant, chain","$1,709,002,000","12,100",475,"$1,589,936,000"
"MERCURY MARINE, INC.",Mercury Marine Div of Brunswick Corp,Private,79-881-4765,Non Manufacturer,Subsidiary,1939,Headquarters,WISCONSIN,336612,Boat Building,441222,"""Boat Dealers """,5551,"""Boat dealers""",30890500,Plastics boats and other marine equipment,"$1,293,961,968","4,100",277,"$1,293,961,968"
"VERISIGN, INC.",VeriSign,Public,88-389-4040,Manufacturer,Non-Subsidiary,1995,Headquarters,VIRGINIA,519190,All Other Information Services,"511210, 519190","""Software Publishers"", ""All Other Information Services""","7372, 7375","""Prepackaged software"", ""Information retrieval services""",73750000,Information retrieval services,"$1,231,661,000","1,019",350,"$1,214,969,000"
HOFFMANN-LA ROCHE INC.,Hoffmann-La Roche Inc,Private,00-219-1211,Non Manufacturer,Subsidiary,1905,Headquarters,NEW JERSEY,325412,Pharmaceutical Preparation Manufacturing,,,,,28340000,Pharmaceutical preparations,"$1,043,900,541","5,027","3,000","$1,043,900,541"
"KINGSTON TECHNOLOGY COMPANY, INC.",Kingston Technology Company Inc,Private,19-781-9683,Non Manufacturer,Subsidiary,1999,Headquarters,CALIFORNIA,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,"334413, 423430","""Semiconductor and Related Device Manufacturing "", ""Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ""","3674, 5045","""Semiconductors and related devices"", ""Computers, peripherals & software""",35770000,"Computer peripheral equipment, nec","$1,022,601,837","4,000",780,"$885,000,000"
THE NATURE CONSERVANCY,Nature Conservancy,Private,07-265-6630,Manufacturer,Non-Subsidiary,1951,Headquarters,VIRGINIA,813410,Civic and Social Organizations,813410,"""Civic and Social Organizations """,8641,"""Civic and social associations""",86419903,Environmental protection organization,"$992,105,000","3,400",410,"$1,143,765,000"
SYSTEMAX INC.,Circuit City / Chase,Public,88-447-5039,Manufacturer,Non-Subsidiary,1949,Headquarters,NEW YORK,423440,Other Commercial Equipment Merchant Wholesalers,"423440, 454110","""Other Commercial Equipment Merchant Wholesalers "", ""Electronic Shopping and Mail-Order Houses ""","5046, 5961","""Commercial equipment, nec"", ""Catalog and mail-order houses""",50460000,"Commercial equipment, nec","$946,900,000","1,900",260,"$896,900,000"
"FIRSTHEALTH OF THE CAROLINAS, INC.",FirstHealth of the Carolinas,Private,93-192-3072,Manufacturer,Non-Subsidiary,1995,Headquarters,NORTH CAROLINA,622110,General Medical and Surgical Hospitals,"621210, 621498, 622110, 623110, 713940, 811490","""Offices of Dentists "", ""All Other Outpatient Care Centers "", ""General Medical and Surgical Hospitals "", ""Nursing Care Facilities (Skilled Nursing Facilities) "", ""Fitness and Recreational Sports Centers "", ""Other Personal and Household Goods Repair and Maintenance ""","7219, 7991, 8021, 8051, 8062, 8093","""Laundry and garment services, nec"", ""Physical fitness facilities"", ""Offices and clinics of dentists"", ""Skilled nursing care facilities"", ""General medical & surgical hospitals"", ""Specialty outpatient clinics, nec""",80620000,General medical and surgical hospitals,"$793,297,000","3,897","2,670","$747,229,000"
PACCAR FINANCIAL CORP.,PACCAR Financial,Public,00-794-2469,Manufacturer,Subsidiary,1961,Headquarters,WASHINGTON,522298,All Other Nondepository Credit Intermediation,522298,"""All Other Nondepository Credit Intermediation """,6153,"""Short-term business credit""",61539902,Financing of dealers by motor vehicle manufacturers organ.,"$762,000,000",402,44,"$707,500,000"
BLUEGREEN VACATIONS CORPORATION,Bluegreen Corporation,Public,06-129-9855,Manufacturer,Subsidiary,1966,Headquarters,FLORIDA,531390,Other Activities Related to Real Estate,"237210, 531390","""Land Subdivision "", ""Other Activities Related to Real Estate ""","6531, 6552","""Real estate agents and managers"", ""Subdividers and developers, nec""",65310402,"Time-sharing real estate sales, leasing and rentals","$740,242,000","5,412",520,"$738,320,000"
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,University of New Hampshire,Private,00-176-5866,Manufacturer,Non-Subsidiary,1866,Headquarters,NEW HAMPSHIRE,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$700,641,000","16,000",70,"$692,087,000"
CONCENTRA INC.,Concentra,Private,09-919-0548,Manufacturer,Subsidiary,1978,Headquarters,TEXAS,621491,HMO Medical Centers,621491,"""HMO Medical Centers """,8011,"""Offices & clinics of medical doctors""",80110302,Health maintenance organization,"$590,927,152","11,342",39,"$344,200,000"
"ORTHO-CLINICAL DIAGNOSTICS, INC.",Ortho Clinic Diagnostics Inc,Private,06-871-5424,Non Manufacturer,Non-Subsidiary,1994,Headquarters,NEW JERSEY,325412,Pharmaceutical Preparation Manufacturing,325412,"""Pharmaceutical Preparation Manufacturing ""","2834, 2835","""Pharmaceutical preparations"", ""Diagnostic substances""",28359902,Blood derivative diagnostic agents,"$569,777,192","1,650","1,000","$666,128,867"
ELLIOT HOSPITAL OF THE CITY OF MANCHESTER,Elliot Hospital,Private,07-399-1085,Manufacturer,Subsidiary,1890,Headquarters,NEW HAMPSHIRE,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80629901,"Hospital, affiliated with AMA residency","$560,241,272","2,000","1,937","$394,699,284"
MORTGAGE GUARANTY INSURANCE CORPORATION,Mortgage Guaranty Insurance Corporation,Private,10-829-5718,Manufacturer,Subsidiary,1985,Headquarters,WISCONSIN,524210,Insurance Agencies and Brokerages,524210,"""Insurance Agencies and Brokerages """,6411,"""Insurance agents, brokers, & service""",64110000,"Insurance agents, brokers, and service","$550,771,386","1,374",146,"$485,378,687"
"CONCORD HOSPITAL, INC.",Concord Hospital,Private,07-397-7399,Manufacturer,Subsidiary,1947,Headquarters,NEW HAMPSHIRE,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80620000,General medical and surgical hospitals,"$528,827,000","2,000",42,"$500,253,000"
"MCNEIL-PPC, INC",McNEIL-PPC Inc,Private,05-816-4088,Non Manufacturer,Non-Subsidiary,0,Single Location,NEW JERSEY,322291,Sanitary Paper Product Manufacturing,,,,,26760201,"Napkins, sanitary: made from purchased paper","$500,000,000","1,500",400,$0
