Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
STEIN ERIKSEN INCORPORATED,Private,06-731-6471,,,06-731-6471,STEIN ERIKSEN INCORPORATED,06-731-6471,STEIN ERIKSEN INCORPORATED,40.622416,"MISC. APPAREL AND ACCESSORY STORES,NSK",-111.491333,Manufacturer,Low,1 - Most likely to pay,No,Rent,(435) 940-1214,Non-Subsidiary,WWW.STEINLODGE.COM,1969,,"ERIKSEN, STEIN SKI RENTAL",,06-731-6471,STEIN ERIKSEN INCORPORATED,,Headquarters,P.O. BOX 2729,PARK CITY,USA,SUMMIT,UTAH,840602729,7700 STEIN WAY,PARK CITY,USA,SUMMIT,UTAH,840605132,448190,Other Clothing Stores,,,,,56990300,Sports apparel,"$1,452,375",8,6,"$1,452,375",8,"3,000"
"MAJOR LEAGUE LACROSSE, LLC",Private,01-056-2556,,,,,,,42.35735,"SPORTS CLUBS, MANAGERS, AND PROMOTERS",-71.147578,Manufacturer,High,5 - Least Likely to pay,No,Rent,(617) 787-6635,Non-Subsidiary,WWW.MAJORLEAGUELACROSSE.COM,1999,,,,,,,Single Location,,,,,,,20 GUEST ST STE 125,BRIGHTON,USA,SUFFOLK,MASSACHUSETTS,021352018,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",711410,"""Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures""",7941,"""Sports clubs, managers, & promoters""",79410000,"Sports clubs, managers, and promoters","$1,422,774",12,12,"$1,314,793",12,"4,000"
"DROEGE COMPUTING SERVICES, INC.",Private,19-971-5152,,,,,,,35.975967,"COMPUTER RELATED SERVICES, NEC, NSK",-78.960495,Manufacturer,Low,1 - Most likely to pay,No,Rent,(919) 403-9459,Non-Subsidiary,WWW.DROEGECOMPUTING.COM,1985,,,,,,,Single Location,,,,,,,20 W COLONY PL STE 120,DURHAM,USA,DURHAM,NORTH CAROLINA,277055520,541512,Computer Systems Design Services,541512,"""Computer Systems Design Services """,7379,"""Computer related services, nec""",73790200,Computer related consulting services,"$1,405,280",9,9,"$1,405,280",9,"2,000"
BOULDER RUNNING CO,Private,00-809-6849,,,,,,,38.89061,SHOE STORES,-104.760617,Manufacturer,N/A,N/A,No,Rent,(719) 278-3535,Non-Subsidiary,WWW.JACKRABBIT.COM,2000,,,,,,,Single Location,,,,,,,3659 AUSTIN BLUFFS PKWY # 32,COLORADO SPRINGS,USA,EL PASO,COLORADO,809186665,448210,Shoe Stores,,,,,56619902,"Footwear, athletic","$1,330,088",25,25,"$1,330,088",25,0
LEAVITT FRIEDMAN & ASSOCIATES,Private,02-115-0511,,,,,,,41.500027,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-81.518428,Manufacturer,Low,1 - Most likely to pay,No,Rent,(216) 382-6400,Non-Subsidiary,WWW.FLFINANCIAL.COM,1968,,,341127274,,,,Single Location,,,,,,,2193 S GREEN RD,CLEVELAND,USA,CUYAHOGA,OHIO,441213313,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$1,306,034",20,20,"$1,306,034",20,0
"WRJ HOLDINGS, LLC",Private,06-590-7006,,,,,,,35.012226,"SPORTING GOODS AND BICYCLE SHOPS, NSK",-80.609447,Manufacturer,Low,2 - Likely to pay,No,Owns,(704) 774-1102,Non-Subsidiary,WWW.CLASSICFIREARMS.COM,2011,,CLASSIC ARMS,,,,,Single Location,P.O. BOX 125,INDIAN TRAIL,USA,UNION,NORTH CAROLINA,280790125,3305 WESTWOOD INDUS DR,MONROE,USA,UNION,NORTH CAROLINA,281105204,451110,Sporting Goods Stores,,,,,59410201,Ammunition,"$1,297,796",16,16,"$1,297,796",16,"15,000"
"PLAE, INC.",Private,04-741-2615,Importer,,,,,,37.944824,FOOTWEAR,-122.513166,Manufacturer,N/A,N/A,No,,(415) 795-3750,Non-Subsidiary,WWW.PLAEKIDS.CO,2013,,,,,,,Single Location,,,,,,,12 E SIR FRANCIS DRAKE BL,LARKSPUR,USA,MARIN,CALIFORNIA,949391769,424340,Footwear Merchant Wholesalers,,,,,51399904,Shoes,"$1,149,339",8,8,"$1,149,339",8,0
ATLANTIS PARADISE ISLAND RESERVATIONS,Private,00-593-0692,,,,,,,26.109409,"TRAVEL AGENCIES, NSK",-80.261251,Manufacturer,Low,2 - Likely to pay,No,Rent,(954) 809-2609,Non-Subsidiary,WWW.ATLANTISBAHAMAS.COM,2007,,,,,,,Single Location,,,,,,,1000 S PINE ISLAND RD,PLANTATION,USA,BROWARD,FLORIDA,333243906,561510,Travel Agencies,,,,,47240000,Travel agencies,"$1,069,691",4,4,"$1,069,691",4,0
HRB DIGITAL LLC,Private,02-498-4165,,,04-395-1235,"H&R BLOCK, INC.",04-395-1235,"H&R BLOCK, INC.",39.097956,TAX RETURN PREPARATION SERVICES,-94.583151,Manufacturer,Low,2 - Likely to pay,No,,(816) 854-5500,Subsidiary,WWW.HRBLOCK.COM,2008,,H&R BLOCK,,04-395-1235,"H&R BLOCK, INC.",,Single Location,P.O. BOX 10344,KANSAS CITY,USA,JACKSON,MISSOURI,641710344,1 H&R BLOCK WAY,KANSAS CITY,USA,JACKSON,MISSOURI,64105,541213,Tax Preparation Services,,,,,72910000,Tax return preparation services,"$1,037,896",15,15,"$1,037,896",15,0
CORSETTIS INC,Private,00-245-2084,,,,,,,43.73709,"GROCERY STORES, NSK",-70.347505,Manufacturer,N/A,N/A,No,Owns,(207) 854-8577,Non-Subsidiary,WWW.CORSETTIS.COM,1982,,CORSETTI'S VARIETY,,,,,Single Location,,,,,,,12 RIDGE RD,WESTBROOK,USA,CUMBERLAND,MAINE,040922522,445110,Supermarkets and Other Grocery (except Convenience) Stores,,,,,54119905,"Grocery stores, independent","$990,000",12,12,"$990,000",12,0
MUSEUM OF AMERICAN QUILTERS SOCIETY,Private,82-860-0254,,,,,,,37.08873,"MUSEUMS AND ART GALLERIES, NSK",-88.596344,Manufacturer,Low,2 - Likely to pay,No,Rent,(270) 442-8856,Non-Subsidiary,WWW.QUILTMUSEUM.ORG,1991,,NATIONAL BOOK MUSEUM THE,611193387,,,,Single Location,P.O. BOX 1540,PADUCAH,USA,MCCRACKEN,KENTUCKY,420021540,215 JEFFERSON ST,PADUCAH,USA,MCCRACKEN,KENTUCKY,420010714,712110,Museums,,,,,84129902,Museum,"$973,083",17,17,"$973,083",17,"27,000"
SANIBEL/CAPTIVA TRUST COMPANY,Private,19-360-6972,,,,,,,26.439682,"TRUSTS, NEC",-82.079081,Manufacturer,High,5 - Least Likely to pay,No,,(239) 472-8300,Non-Subsidiary,WWW.SANCAPTRUSTCO.COM,2000,,,651046994,,,,Single Location,,,,,,,2460 PALM RIDGE RD STE 1,SANIBEL,USA,LEE,FLORIDA,339573202,525920,"Trusts, Estates, and Agency Accounts",,,,,67330100,"Private estate, personal investment and vacation fund trusts","$927,430",8,8,"$927,430",8,0
CPT GROUP INC.,Private,13-960-5786,,,,,,,33.690138,DATA PROCESSING AND PREPARATION,-117.826316,Manufacturer,High,5 - Least Likely to pay,No,Rent,(949) 428-1010,Non-Subsidiary,WWW.CPTGROUP.COM,1979,,,330071935,,,,Single Location,,,,,,,50 CORPORATE PARK,IRVINE,USA,ORANGE,CALIFORNIA,926065105,518210,"Data Processing, Hosting, and Related Services",,,,,73749902,Data processing service,"$916,929",25,25,"$833,572",25,"3,300"
THE HAND & UPPER EXTREMITY CENTER INC,Private,14-063-1875,,,,,,,34.179609,"OFFICES OF HEALTH PRACTITIONERS, NSK",-118.868705,Manufacturer,Low,1 - Most likely to pay,No,,(805) 495-0516,Non-Subsidiary,WWW.HANDWRISTELBOWPHYSICALTHERAPY.COM,2003,,,,,,,Single Location,,,,,,,101 HODENCAMP RD STE 100,THOUSAND OAKS,USA,VENTURA,CALIFORNIA,913605831,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",,,,,80490200,Physical therapist,"$809,162",15,15,"$899,069",15,0
"PURE PRESCRIPTIONS, INC.",Private,02-455-8669,,,,,,,33.137615,"MISCELLANEOUS FOOD STORES, NSK",-117.274036,Manufacturer,Low,4 - Less likely to pay,No,Rent,(760) 603-0528,Non-Subsidiary,WWW.PUREPRESCRIPTIONS.COM,2002,,,,,,,Single Location,,,,,,,5670 EL CAMINO REAL STE D,CARLSBAD,USA,SAN DIEGO,CALIFORNIA,920087125,446191,Food (Health) Supplement Stores,,,,,54990103,Vitamin food stores,"$807,714",5,5,"$997,178",5,0
FAIRFIELD MINT LLC,Private,83-797-7826,Importer,,,,,,41.117668,CATALOG AND MAIL-ORDER HOUSES,-73.416074,Manufacturer,N/A,N/A,No,Rent,(203) 847-6468,Non-Subsidiary,WWW.FAIRFIELDCOLLECTIBLES.COM,0,,,061430259,,,,Single Location,,,,,,,11 BELDEN AVE STE 2,NORWALK,USA,FAIRFIELD,CONNECTICUT,068503362,454110,Electronic Shopping and Mail-Order Houses,,,,,59610402,"Collectibles and antiques, mail order","$770,000",6,6,"$770,000",6,0
BOMBAS LLC,Private,05-557-9000,,,,,,,40.738172,"HOSIERY, NEC, NSK",-73.990088,Non Manufacturer,High,5 - Least Likely to pay,No,,(800) 314-0980,Non-Subsidiary,WWW.BOMBAS.COM,2013,,,,,,,Single Location,,,,,,,881 BROADWAY FRNT 2,NEW YORK,USA,NEW YORK,NEW YORK,100031004,315110,Hosiery and Sock Mills,,,,,22520100,Anklets and socks,"$769,253",9,9,"$699,321",8,0
"LENDKEY TECHNOLOGIES, INC.",Private,00-949-6859,,,,,,,40.745506,"MANAGEMENT SERVICES, NSK",-73.991286,Manufacturer,Low,3 - Neutral,No,,(646) 626-7396,Non-Subsidiary,WWW.LENDKEY.COM,2010,,,,,,,Single Location,,,,,,,104 W 27TH ST FL 4,NEW YORK,USA,NEW YORK,NEW YORK,100016272,561110,Office Administrative Services,,,,,87410000,Management services,"$742,336",2,2,"$742,336",2,0
FRAMES BY MAIL,Private,04-174-9586,,,,,,,38.709596,"MISCELLANEOUS RETAIL STORES, NEC, NSK",-90.418104,Manufacturer,Low,2 - Likely to pay,No,,(314) 344-2800,Non-Subsidiary,WWW.FRAMESBYMAIL.COM,1986,,,,,,,Single Location,,,,,,,11440 SCHENK DR,MARYLAND HEIGHTS,USA,ST. LOUIS,MISSOURI,630433417,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),,,,,59991606,"Picture frames, ready made","$728,715",20,20,"$728,715",20,0
MALCOM AND BAKER CPAS & ASSOCIATES INCORPORATED,Private,00-598-5365,,,,,,,26.186845,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-80.164725,Manufacturer,Low,2 - Likely to pay,No,Rent,(954) 979-8898,Non-Subsidiary,WWW.CPAMB.COM,2007,,,201458331,,,,Single Location,,,,,,,4901 NW 17TH WAY STE 402,FORT LAUDERDALE,USA,BROWARD,FLORIDA,333093778,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$715,964",10,10,"$715,964",10,0
"CABLE HILL PARTNERS, LLC",Private,07-939-5251,,,,,,,45.520495,MANAGEMENT CONSULTING SERVICES,-122.683744,Manufacturer,Low,2 - Likely to pay,No,,(503) 765-1226,Non-Subsidiary,WWW.CABLEHILL.COM,2014,,,,,,,Single Location,,,,,,,1155 SW MORRISON ST # 400,PORTLAND,USA,MULTNOMAH,OREGON,972052252,541611,Administrative Management and General Management Consulting Services,,,,,87429908,Financial consultant,"$693,746",6,6,"$693,746",6,0
"WAY.COM, INC.",Private,07-920-1269,,,,,,,37.473102,"CUSTOM COMPUTER PROGRAMMING SERVICES, NSK",-121.931931,Manufacturer,High,5 - Least Likely to pay,No,,(408) 598-3338,Non-Subsidiary,WWW.WAY.COM,2012,,WHATS AROUND YOU,,,,,Single Location,,,,,,,47627 LAKEVIEW BLVD,FREMONT,USA,ALAMEDA,CALIFORNIA,945386544,541511,Custom Computer Programming Services,,,,,73710300,Computer software development and applications,"$693,101",20,20,"$630,092",20,0
BLINK HEALTH INC,Private,07-974-8538,,,,,,,40.753366,HOME HEALTH CARE SERVICES,-73.987217,Manufacturer,High,3 - Neutral,No,,(844) 366-2211,Non-Subsidiary,WWW.BLINKHEALTH.COM,2014,,,,,,,Single Location,,,,,,,1407 BROADWAY RM 2100,NEW YORK,USA,NEW YORK,NEW YORK,100185121,621610,Home Health Care Services,,,,,80829901,Oxygen tent service,"$691,114",26,26,"$691,114",26,0
CHIPOLTE MEXICAN GRILL,Private,04-615-0962,,,,,,,39.051397,EATING PLACES,-77.115664,Manufacturer,N/A,N/A,No,,(301) 881-2600,Non-Subsidiary,,1993,,,,,,,Single Location,,,,,,,11830 ROCKVILLE PIKE,ROCKVILLE,USA,MONTGOMERY,MARYLAND,208522705,722511,Full-Service Restaurants,,,,,58120112,Mexican restaurant,"$690,000",26,26,"$690,000",26,0
"PROFESSIONAL PUBLICATIONS, INC.",Private,09-308-5546,,,00-324-5768,GRAHAM HOLDINGS COMPANY,06-607-6837,"KAPLAN, INC.",37.51837,"BOOK PUBLISHING, NSK",-122.274794,Non Manufacturer,Low,N/A,No,,(650) 593-9119,Subsidiary,WWW.PPI2PASS.COM,1981,,,942778506,00-324-5768,GRAHAM HOLDINGS COMPANY,,Single Location,,,,,,,1250 FIFTH AVE,BELMONT,USA,SAN MATEO,CALIFORNIA,940023863,511130,Book Publishers,,,,,27310100,"Books, publishing only","$607,068",25,25,$0,0,0
"HIGHGATE HOTELS, L.P.",Private,08-005-1974,,,,,,,32.858566,"HOTELS AND MOTELS, NSK",-96.932686,Manufacturer,Low,4 - Less likely to pay,No,,(972) 444-9700,Non-Subsidiary,WWW.HIGHGATE.COM,2015,,,475555999,,,,Single Location,,,,,,,545 E JOHN CARPENTER FWY # 1400,IRVING,USA,DALLAS,TEXAS,750623933,721110,Hotels (except Casino Hotels) and Motels,,,,,70110303,Resort hotel,"$542,091",59,59,"$542,091",59,0
"CCI HOLDINGS, INC.",Private,08-853-2319,,,,,,,40.716626,EATING PLACES,-73.965742,Manufacturer,Low,2 - Likely to pay,No,,(347) 454-2646,Non-Subsidiary,WWW.COINCAFE.COM,2014,,,,,,,Single Location,,,,,,,240 KENT AVE,BROOKLYN,USA,KINGS,NEW YORK,112494121,722511,Full-Service Restaurants,,,,,58129902,Cafe,"$519,247",15,15,"$814,016",22,0
"CRUZSTAR, LLC",Private,79-303-8709,,,,,,,40.052477,"COMPUTER INTEGRATED SYSTEMS DESIGN, NSK",-77.520257,Manufacturer,Low,2 - Likely to pay,No,,(877) 787-6368,Non-Subsidiary,WWW.MENUDRIVE.COM,2006,,MENUDRIVE,,,,,Single Location,,,,,,,20 E BURD ST STE 2,SHIPPENSBURG,USA,CUMBERLAND,PENNSYLVANIA,172571328,541512,Computer Systems Design Services,,,,,73730300,Computer system selling services,"$461,250",5,5,"$461,250",5,0
"THOMAS CHANDLER THOMAS & HINSHAW, LLP",Private,02-733-9764,,,,,,,36.088989,TAX RETURN PREPARATION SERVICES,-79.44445,Manufacturer,Low,1 - Most likely to pay,No,,(336) 226-1179,Non-Subsidiary,WWW.TCTHLLP.COM,2010,,,,,,,Single Location,P.O. BOX 1959,BURLINGTON,USA,ALAMANCE,NORTH CAROLINA,272161959,1007 S MAIN ST,BURLINGTON,USA,ALAMANCE,NORTH CAROLINA,272155758,541213,Tax Preparation Services,,,,,72910000,Tax return preparation services,"$451,540",18,18,"$410,491",18,0
"DUTCH GARDENS, INC",Private,13-248-8607,Exporter,,,,,,44.496103,CATALOG AND MAIL-ORDER HOUSES,-73.206712,Manufacturer,Low,2 - Likely to pay,No,Rent,(802) 660-3500,Non-Subsidiary,WWW.GREENSTATEGARDENER.COM,2001,,,,,,,Single Location,,,,,,,144 INTERVALE RD,BURLINGTON,USA,CHITTENDEN,VERMONT,054012804,454110,Electronic Shopping and Mail-Order Houses,,,,,59619911,"Flowers, plants and bulbs: mail order","$447,349",6,6,"$447,349",6,0
"HAYDEN, NAREY & PERSICH, CERTIFIED PUBLIC ACCOUNTANTS, A PROFESSIONAL CORPORATION",Private,07-498-0293,,,,,,,33.4231,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-117.6056,Manufacturer,Low,1 - Most likely to pay,No,Rent,(949) 492-5307,Non-Subsidiary,WWW.HNPCPA.COM,1972,,,,,,,Single Location,,,,,,,2340 S EL CMINO REAL STE,SAN CLEMENTE,USA,ORANGE,CALIFORNIA,92672,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$437,635",6,6,"$437,635",6,"2,000"
JAMES P RINALDI CPA,Private,00-551-3779,,,,,,,41.596312,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-72.876816,Manufacturer,Low,1 - Most likely to pay,No,Rent,(860) 620-0411,Non-Subsidiary,,2007,,,,,,,Single Location,,,,,,,27 MERIDEN AVE STE D,SOUTHINGTON,USA,HARTFORD,CONNECTICUT,064893234,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$430,382",6,6,"$430,382",6,0
"IIS FINANCIAL SERVICES, LLC",Private,06-803-1075,,,,,,,43.643954,"BUSINESS SERVICES, NEC, NSK",-70.345612,Manufacturer,Low,2 - Likely to pay,No,Rent,(207) 623-8421,Non-Subsidiary,WWW.IISFINANCIAL.COM,2013,,,,,,,Single Location,,,,,,,707 SABLE OAKS DR STE 203,SOUTH PORTLAND,USA,CUMBERLAND,MAINE,041066954,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",,,,,73890900,Financial services,"$403,748",4,4,"$367,044",4,0
SJ GOROWITZ ACCOUNTING & TAX SERVICES PC,Private,86-885-8119,,,,,,,34.052483,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-84.2793,Manufacturer,Low,5 - Least Likely to pay,No,,(770) 740-0797,Non-Subsidiary,WWW.SJGOROWITZ.COM,1991,,,582151267,,,,Single Location,,,,,,,5755 N POINT PKWY STE 37,ALPHARETTA,USA,FULTON,GEORGIA,300221144,541219,Other Accounting Services,,,,,87210200,"Accounting services, except auditing","$386,317",4,4,"$386,317",4,0
JOHN Y TRENT CPA,Private,94-596-3940,,,,,,,40.726767,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-73.44224,Manufacturer,Low,1 - Most likely to pay,No,Rent,(516) 845-5050,Non-Subsidiary,WWW.JOHNYTRENTANDASSOCIATES.COM,1977,,,,,,,Single Location,,,,,,,814 FULTON ST STE C,FARMINGDALE,USA,NASSAU,NEW YORK,117353638,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$384,760",6,6,"$384,760",6,0
MED-CERT INC,Private,03-342-6898,,,,,,,28.093945,HOME HEALTH CARE SERVICES,-82.50465,Manufacturer,N/A,N/A,No,,,Non-Subsidiary,WWW.MEDCERTINC.COM,2010,,,,,,,Single Location,,,,,,,3853 NORTHDALE BLVD,TAMPA,USA,HILLSBOROUGH,FLORIDA,336241861,621610,Home Health Care Services,,,,,80820000,Home health care services,"$338,350",10,10,"$338,350",10,0
STAR TITLE PARTNERS,Private,19-137-3708,,,,,,,28.050244,"TITLE ABSTRACT OFFICES, NSK",-82.73877,Manufacturer,Low,1 - Most likely to pay,No,,(727) 216-8185,Non-Subsidiary,WWW.STARTITLEINSURANCECOMPANY.COM,2005,,,412106676,,,,Single Location,,,,,,,30522 US HIGHWAY 19 N # 101,PALM HARBOR,USA,PINELLAS,FLORIDA,346844436,541191,Title Abstract and Settlement Offices,,,,,65419901,Title and trust companies,"$323,189",3,3,"$323,189",3,0
"AMY L. WOODRUFF, M.D., P.A.",Private,02-289-8206,,,,,,,29.708996,"OFFICES AND CLINICS MEDICAL DOCTORS,NSK",-95.401615,Manufacturer,N/A,N/A,No,,(713) 795-5014,Non-Subsidiary,WWW.TEXASHEART.ORG,2008,,,,,,,Single Location,,,,,,,6624 FANNIN ST STE 2420,HOUSTON,USA,HARRIS,TEXAS,770302336,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110101,Cardiologist and cardio-vascular specialist,"$320,720",3,3,"$320,720",3,0
GRIDIRON RESTAURANT SPORTS PUB,Private,62-394-4340,,,,,,,44.070759,EATING PLACES,-70.171472,Manufacturer,Low,2 - Likely to pay,No,,(207) 777-6353,Non-Subsidiary,WWW.GRIDIRONRESTAURANT.COM,2006,,,,,,,Single Location,,,,,,,1567 LISBON ST,LEWISTON,USA,ANDROSCOGGIN,MAINE,042403545,722511,Full-Service Restaurants,,,,,58120500,Family restaurants,"$316,505",13,13,"$316,505",13,0
SIXTY HOTELS LLC,Private,07-991-6522,,,,,,,40.725319,"HOTELS AND MOTELS, NSK",-74.003635,Manufacturer,High,5 - Least Likely to pay,No,,(877) 431-0400,Non-Subsidiary,WWW.SIXTYHOTELS.COM,2013,,SIXTY COLLECTIVE,,,,,Single Location,,,,,,,206 SPRING ST FL 4,NEW YORK,USA,NEW YORK,NEW YORK,100123559,721110,Hotels (except Casino Hotels) and Motels,,,,,70110300,Hotels,"$294,844",15,15,"$268,040",14,0
EASTERN MAIN COMMUNITY COLLEGE FOUNDATION,Private,96-790-4058,,,,,,,44.825645,JUNIOR COLLEGES,-68.74034,Manufacturer,Low,2 - Likely to pay,No,,(207) 974-4691,Non-Subsidiary,WWW.EMCC.EDU,2011,,,010385303,,,,Single Location,,,,,,,354 HOGAN RD,BANGOR,USA,PENOBSCOT,MAINE,044014206,611210,Junior Colleges,,,,,82229901,Community college,"$289,140",14,14,"$289,140",14,0
NORTH 40 OUTFITTERS,Private,07-505-0671,,,,,,,47.67902,"AMUSEMENT AND RECREATION, NEC, NSK",-117.293176,Manufacturer,Low,2 - Likely to pay,No,,(509) 922-1090,Non-Subsidiary,WWW.NORTH40.COM,2015,,,,,,,Single Location,,,,,,,8307 E TRENT AVE,SPOKANE VALLEY,USA,SPOKANE,WASHINGTON,992122327,713990,All Other Amusement and Recreation Industries,,,,,79999907,"Outfitters, recreation","$278,234",7,7,"$278,234",7,0
NET32 INC,Private,03-926-9209,,,,,,,35.893349,HELP SUPPLY SERVICES,-78.86065,Manufacturer,N/A,N/A,No,,,Non-Subsidiary,WWW.NET32.COM,2001,,,,,,,Single Location,P.O. BOX 110003,DURHAM,USA,DURHAM,NORTH CAROLINA,277095003,523 DAVIS DR,DURHAM,USA,DURHAM,NORTH CAROLINA,27709,561320,Temporary Help Services,,,,,73639905,Medical help service,"$270,000",12,12,"$1,800,000",12,0
VAPORFI SOUTHSIDE,Private,08-110-8252,,,,,,,39.271839,TOBACCO STORES AND STANDS,-76.602008,Manufacturer,Low,2 - Likely to pay,No,,(301) 767-7469,Non-Subsidiary,WWW.VAPORFI.COM,2017,,,,,,,Single Location,,,,,,,853 E FORT AVE,BALTIMORE,USA,BALTIMORE CITY,MARYLAND,212305117,453991,Tobacco Stores,,,,,59930000,Tobacco stores and stands,"$257,449",4,4,"$257,449",4,0
"MISE EN PLACE RESTAURANT SERVICES, INC.",Private,07-051-2834,,,,,,,34.03458,EATING PLACES,-118.511655,Manufacturer,Low,2 - Likely to pay,No,,(310) 935-4565,Non-Subsidiary,WWW.MISEINC.COM,2012,,,,,,,Single Location,,,,,,,544 E CHANNEL RD,SANTA MONICA,USA,LOS ANGELES,CALIFORNIA,904021344,722511,Full-Service Restaurants,,,,,58120000,Eating places,"$256,037",12,12,"$256,037",12,0
JAM PAPER & ENVELOPE CORP.,Private,80-241-0691,,,,,,,40.999353,ENVELOPES,-73.942533,Non Manufacturer,Low,2 - Likely to pay,No,,(201) 567-6666,Non-Subsidiary,WWW.JAMPAPER.COM,1983,,,,,,,Single Location,,,,,,,185 LEGRAND AVE,NORTHVALE,USA,BERGEN,NEW JERSEY,076472404,322230,Stationery Product Manufacturing,,,,,26770000,Envelopes,"$247,193",3,3,$0,0,0
STEPHEN J FLOOD CPA,Private,12-971-5678,,,,,,,42.765226,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-73.755084,Manufacturer,Low,1 - Most likely to pay,No,,(518) 783-9499,Non-Subsidiary,,1970,,,,,,,Single Location,,,,,,,950 NEW LOUDON RD STE 107,LATHAM,USA,ALBANY,NEW YORK,121102100,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$244,691",3,3,"$244,691",3,0
"TRUENET COMMUNICATIONS, INC.",Private,07-832-1426,,,,,,,30.208564,"ELECTRICAL WORK, NSK",-81.738981,Manufacturer,N/A,N/A,No,,(904) 777-9052,Non-Subsidiary,WWW.TRUENETCOMMUNICATIONS.COM,2011,,,,,,,Single Location,P.O. BOX 440879,JACKSONVILLE,USA,DUVAL,FLORIDA,322220009,7666 BLANDING BLVD,JACKSONVILLE,USA,DUVAL,FLORIDA,322445112,238210,Electrical Contractors and Other Wiring Installation Contractors,,,,,17310300,Communications specialization,"$243,490",3,3,"$243,490",3,0
ATLANTIC CIGAR CO LLC,Private,80-099-8812,Importer,,,,,,39.887589,TOBACCO STORES AND STANDS,-75.276572,Manufacturer,Medium,5 - Least Likely to pay,No,Rent,(610) 200-0341,Non-Subsidiary,WWW.ATLANTICCIGAR.COM,2007,,,,,,,Single Location,,,,,,,3 HORNE DR STE 102,FOLCROFT,USA,DELAWARE,PENNSYLVANIA,190321800,453991,Tobacco Stores,,,,,59930000,Tobacco stores and stands,"$240,740",2,2,"$242,139",2,0
LAKE CHAMPLAIN CHOCOLATES,Private,13-627-1561,,,,,,,44.335222,"CANDY, NUT, AND CONFECTIONERY STORES",-72.753806,Manufacturer,N/A,N/A,No,,(802) 241-4150,Non-Subsidiary,,2003,,,,,,,Single Location,,,,,,,2653 WATERBURY STOWE RD,WATERBURY,USA,WASHINGTON,VERMONT,05676,445292,Confectionery and Nut Stores,,,,,54410000,"Candy, nut, and confectionery stores","$240,000",8,8,"$240,000",8,0
LADDER 15,Private,02-451-1210,,,,,,,39.950342,"DRINKING PLACES, NSK",-75.166315,Manufacturer,High,5 - Least Likely to pay,No,,(215) 964-9755,Non-Subsidiary,WWW.LADDER15PHILLY.COM,2009,,,,,,,Single Location,,,,,,,1528 SANSOM ST,PHILADELPHIA,USA,PHILADELPHIA,PENNSYLVANIA,191022804,722410,Drinking Places (Alcoholic Beverages),,,,,58130105,Tavern (drinking places),"$216,012",7,7,"$216,012",7,0
EVANS HOTELS,Private,01-789-9795,,,,,,,32.851193,"BUSINESS SERVICES, NEC, NSK",-117.215106,Manufacturer,N/A,N/A,No,,,Non-Subsidiary,WWW.LODGETORREYPINES.COM,1998,,TORREY PINES CONCOURS,,,,,Single Location,,,,,,,3202 GOVERNOR DR STE 210,SAN DIEGO,USA,SAN DIEGO,CALIFORNIA,921222940,561499,All Other Business Support Services,,,,,73890000,"Business services, nec","$210,000",3,3,"$210,000",3,0
