Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
ThriventFinancial,7/21/2016,7/7/2016,1,1,Closed
TiemartInc,6/13/2016,5/4/2016,20,927,Closed
"TimesThreeClothier,LLC",11/16/2016,10/4/2016,2,1286,Closed
TNMarketing,2/29/2016,11/24/2015,232,13118,Closed
TomMcLeodSoftwareCorporation,6/15/2016,6/7/2016,5,430,Closed
ToyotaMotorCreditCorporation,2/1/2016,12/28/2015,4,750,Closed
ToyotaMotorCreditCorporation,8/26/2016,6/28/2016,93,8989,Closed
TravelCaddyIncdbaTravelon,8/4/2016,11/13/2015,27,1672,Closed
TriStateEngineeringInc,4/6/2016,3/28/2016,244,292,Closed
TropicanaSt.LouisLLCd/b/aLumierePlaceCasino&Hotels,12/15/2016,10/27/2016,28,,Closed
TrumpHotelCollection,6/10/2016,3/21/2016,1,,Closed
TTIFloorCareNorthAmerica,4/15/2016,10/26/2015,11,400,Closed
TurnerConstructionCompany,3/7/2016,3/2/2016,76,9841,Closed
UltragenyxPharmaceuticalInc,4/1/2016,3/31/2016,1,280,Closed
UnifiedPhysicianManagement,3/30/2016,3/9/2016,1,4635,Closed
UnionHospitalInc,6/2/2016,5/20/2016,1,1,Closed
UnionLeagueClubofChicago,4/29/2016,12/10/2015,18,806,Closed
UnitedStatesInvestigationServices,,,,,Closed
UnitedStatesOlympicCommittee-SecurityBreach,11/21/2016,,3,111,Closed
UniversityGastroenterologyLLC,8/16/2016,1/15/2016,1,,Closed
UniversityofCentralFlorida,2/4/2016,12/30/2015,105,62998,Closed
UniversityofMaryWashington,2/4/2016,1/5/2016,10,4135,Closed
UniversityofSouthernCaliforniaonbehalfofKUSC,7/12/2016,4/24/2016,1,750,Closed
UniversityofVirginia,1/22/2016,,4,,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,3/1/2016,3/1/2016,,,Closed
UnknownRespondent,,,,,Closed
UrsusHoldingsLLC,9/8/2016,3/21/2016,396,,Closed
USAFieldHockey,7/15/2016,3/28/2016,1,767,Closed
USBank,5/11/2016,2/1/2016,3,,Closed
"USI, Inc.",5/19/2016,4/28/2016,10,1851,Closed
USIInsuranceServicesLLC-SecurityBreach,5/11/2016,4/19/2016,2,1399,Closed
ValleyHopeAssociation,2/25/2016,12/30/2015,42,52076,Closed
ValMarkSecuritiesInc,4/21/2016,,359,2,Closed
VaupellHoldingsInc,9/30/2016,9/12/2016,25,2897,Closed
VentureLogistics,12/7/2016,11/14/2016,554,1100,Closed
VerityHealthSystems,5/31/2016,4/27/2016,1,7604,Closed
VFOutletInc,9/27/2016,4/17/2016,179,,Closed
VibraHospitalofNorthwesternIndiana,7/19/2016,6/29/2016,1,1,Closed
VideoGeneralInc,,,,,Closed
VideoGeneralInc,3/22/2016,10/1/2015,52,1094,Closed
VirginiaPremierHealthPlanInc,7/21/2016,6/30/2016,1,,Closed
VoyaInsuranceandAnnuityCompany,1/4/2016,12/22/2015,4,76,Closed
WabashGeneralHospitalDistrict,1/21/2016,12/30/2015,10,58,Closed
WashingtonCountyHousingandRedevelopmentAuthority,6/23/2016,3/14/2016,3,,Closed
WaterEnvironmentFederation,7/8/2016,4/24/2016,6,474,Closed
WatsonCPALLC,5/19/2016,4/10/2016,1148,,Closed
"WesternUnionFinancialServices,Inc.",12/21/2016,7/1/2016,707,172068,Closed
WinstonHospitality,5/3/2016,1/17/2016,2,30,Closed
WoodHerronEvansLLP,5/13/2016,4/10/2016,2,,Closed
WorkCareInc,2/26/2016,2/18/2016,1,,Closed
WRJHoldingsLLCdbaClassicFirearms,10/11/2016,9/26/2016,1,55,Closed
WynegarJane,5/28/2016,3/12/2016,60,60,Closed
"YoungAdultInstitute,Inc.",11/28/2016,,1,913,Closed
YoungWadlingtonPLLC,7/21/2016,12/16/2015,7,274,Closed
YourCommunityBank,4/27/2016,3/13/2016,267,455,Closed
YourEncoreInc,3/21/2016,3/7/2016,103,864,Closed
ZeroGravitySolutionsInc,8/1/2016,7/1/2016,1,143,Closed
ZieglerTavesMartinLLP,7/28/2016,6/17/2016,2,354,Closed
ZocdocInc,5/16/2016,1/1/2011,1,17000,Closed
20/20 Communications,8/3/2015,7/27/2015,2,2,Closed
Abercrombie & Fitch,4/17/2015,3/25/2015,3,,Closed
"Acclaim Technical Services, Inc.",12/23/2015,8/26/2015,5,2000,Closed
"ACE Surgical Supply Co., Inc.",9/15/2015,4/11/2015,15,1158,Closed
"Actavis, Inc.",10/1/2015,8/25/2015,104,9401,Closed
"Acuity, A Mututal Insurance Company",4/23/2015,4/14/2015,1,1,Closed
Adreima,11/5/2015,10/12/2015,3,497,Closed
Advantage Dental,3/18/2015,2/23/2015,7,,Closed
"Aero Grow International, Inc.",6/3/2015,10/15/2014,688,41325,Closed
Aetna Life Insurance Company,1/8/2015,,4,133,Closed
AFLAC,7/15/2015,6/17/2015,6,146,Closed
AFLAC,10/19/2015,7/1/2015,1,297,Closed
Aflac,11/10/2015,10/26/2015,4,,Closed
AFLAC,11/20/2015,10/7/2015,1,1,Closed
AK Steel Corporation,5/8/2015,4/30/2015,3,477,Closed
"Akorn, Inc.",6/4/2015,3/1/2015,5,2210,Closed
"Alfa Vision Insurance Co. and Alfa Specialty
Insurance Corp.",7/10/2015,4/18/2015,2231,85730,Closed
"Alin Machining Company, Inc.",1/12/2015,11/7/2014,21,750,Closed
"Allegis Group, Inc.",6/8/2015,1/1/2015,2,69,Closed
"Allen Tate Mortgage Services, Inc.",11/20/2015,11/2/2015,1,85,Closed
"Alta Ski Lifts, Co.",3/9/2015,2/16/2015,1,,Closed
"Alta Ski Lifts, Co.",3/9/2015,2/16/2015,1,,Closed
"Amedisys, Inc.",3/2/2015,,131,6909,Closed
AmeriFirst Financial Corporation,8/19/2015,7/28/2015,1,208,Closed
"Ameriprise Financial, Inc",4/24/2015,3/18/2015,2,2,Closed
"Ameriprise Financial, Inc.",2/25/2015,2/12/2015,1,1,Closed
"Ameriprise Financial, Inc.",3/18/2015,2/20/2015,1,1,Closed
Amici Cellars,6/18/2015,4/1/2015,3,302,Closed
Amsted Rail,3/19/2015,2/4/2015,,850,Open
"Anheuser-Busch Companies, LLC",7/9/2015,6/29/2015,3,65,Closed
Anthem Blue Cross & Blue Shield,2/9/2015,,,,Open
Anthem Blue Cross and Blue Shield,11/20/2015,8/21/2015,1,4,Closed
"AOL, Inc.",12/22/2015,9/17/2015,2,64,Closed
Aon Corporation,10/13/2015,8/1/2015,1,13,Closed
"AONHewitt, null",7/2/2015,6/5/2015,1,65,Closed
"AONHewitt, null",8/28/2015,7/15/2015,4,144,Closed
"Apple American Group, LLC",3/15/2015,3/3/2015,3058,49964,Closed
Art of Tea,12/31/2014,10/26/2014,16,1319,Closed
"Ascensus, Inc",1/23/2015,12/24/2014,1,183,Closed
"Ascensus, Inc",2/6/2015,1/12/2015,2,18,Closed
"Ascensus, Inc",3/4/2015,2/9/2015,1,9299,Closed
"Ascensus, Inc",5/27/2015,5/14/2015,16,1404,Closed
"Ascensus, Inc",9/24/2015,9/3/2015,468,484,Closed
AT&T,12/19/2014,10/16/2014,5,,Closed
Auburn University,4/1/2015,9/1/2014,1038,364185,Closed
"Aurora Health Care, Inc.",3/10/2015,,4,37908,Closed
Austin Powder Company,4/7/2015,12/1/2014,66,2764,Closed
Auto Care Association,10/13/2015,9/11/2015,8,199,Closed
"Automotive Recovery Services, Inc.",7/6/2015,1/1/2015,1953,505000,Closed
"B. Lane, Inc.",11/13/2015,5/19/2015,112,,Closed
Bank of the West,3/24/2015,,62,58677,Closed
Bankers Life and Casualty Company,9/3/2015,5/28/2015,1,1,Closed
"Barbecue Renew, Inc.",1/16/2015,1/1/2014,815,,Closed
"Beacon Broadway, LLC",4/17/2015,,,,Closed
Beacon Health System,3/9/2015,,,,Open
"Becker & Mayer, LLC SmartLab Toys",9/28/2015,4/1/2015,1,85,Closed
"Bed Bath & Beyond, Inc.",2/26/2015,11/3/2014,1,33,Closed
"Bed Bath & Beyond, Inc.",9/28/2015,3/7/2015,1,2085,Closed
Betterbee,3/16/2015,3/3/2015,5,332,Closed
Big Fish Games,2/10/2015,12/24/2014,499,36247,Closed
Big Idea Entertainment,5/8/2015,,1,,Closed
Blue Cross Blue Shield of Michigan,1/8/2015,,1,,Closed
Blue Cross Blue Shield of Michigan,3/23/2015,,11,,Closed
"Blue River Services, Inc.",11/19/2015,11/16/2015,55,55,Closed
"Blue Sky Casino, LLC",1/23/2015,4/23/2014,54624,87975,Open
Blue Springs Partners,7/21/2015,5/2/2014,481,38624,Closed
BMV,6/17/2015,6/2/2015,1,1,Closed
BMV,12/2/2015,12/1/2015,1,1,Closed
BMV-Security Breach,1/28/2015,1/28/2015,1,1,Closed
Brandeis University,11/12/2015,10/25/2015,26,,Closed
Brunswick Hotel & Tavern,8/21/2015,11/29/2014,4,,Closed
Bulk Reef Supply,2/27/2015,7/30/2014,360,19364,Closed
Cain Vineyard and Winery,6/18/2015,4/1/2015,16,3534,Closed
CareFirst BlueCross BlueShield,5/21/2015,6/19/2014,20,1.1 million,Closed
"Catenacci, Markowitz, Delandri, Rosner & Company
Certified Public Accou",12/15/2015,9/23/2015,2,,Closed
CBC Restaurant Corporation,12/18/2015,,7,5278,Closed
"Centerra Group, LLC",12/14/2015,10/30/2015,2,4786,Closed
"CF Industries Holdings, Inc.",6/4/2015,12/11/2014,6,168,Closed
Charles krug Winery,6/10/2015,4/1/2015,15,4058,Closed
"Charles Schwab & Co., Inc.",8/27/2015,8/12/2015,1,1,Closed
Charles Schwab Co. Inc,5/21/2015,4/30/2015,1,9,Closed
"Children's Bureau, Inc.",5/27/2015,4/28/2015,1,1,Closed
Children's Heart Center,4/3/2015,,1,8791,Closed
Chubb & Son,2/2/2015,3/1/2013,1,900,Closed
"CICS Employment Services, Inc.",1/31/2015,,69,101000,Closed
Citibank N.A.,3/6/2015,2/19/2015,1,,Closed
"Citibank, N.A.",9/17/2015,7/28/2015,1,1,Closed
"Cities Service, LLC",4/29/2015,10/13/2014,7,613,Closed
City Winery,3/16/2015,3/8/2014,9,804,Closed
"Clarkson, Shirley vs. Medical Informatics
Engineering",,,,,Closed
Clay County Child Support Division,7/23/2015,7/22/2015,1,1,Closed
"Clif Bar Family Winery f& Farm, LLC",6/10/2015,4/1/2015,31,6309,Closed
"Coastal International Security, Inc.",4/6/2015,3/25/2015,4,66,Closed
Cola & Cola CPA's,12/15/2015,10/15/2015,2,,Closed
"Cole, Harlan vs. Anthem Blue Cross & Blue Shield",,,,,Closed
Columbia Threadneedle Investments,11/9/2015,10/12/2015,1,1,Closed
Columbus Regional Health Physicians,12/23/2014,12/1/2014,1,1,Closed
Columbus Regional Health Physicians,5/1/2015,4/21/2015,1,1,Closed
Community Health Network,1/30/2015,1/15/2014,4,4,Closed
Community Health Network,2/2/2015,5/9/2013,18,18,Closed
Community Health Network,4/18/2015,4/8/2015,1,1,Closed
Community Health Network,7/20/2015,6/8/2015,1,1,Closed
Community Health Network,7/24/2015,6/24/2015,1,1,Closed
Community Health Network,8/4/2015,7/20/2015,2,2,Closed
Community Health Network,8/20/2015,8/1/2015,1,1,Closed
Community Health Network,9/14/2015,9/13/2015,1,1,Closed
Community Health Network,10/14/2015,8/12/2015,2,2,Closed
Community Health Network,10/14/2015,9/18/2015,2,2,Closed
Community Health Network,10/19/2015,10/8/2015,1,1,Closed
Compass USA Group,4/24/2015,2/2/2015,,8923,Closed
Concordia Plan Services,4/15/2015,,22,12600,Closed
"Copart, Inc.",5/27/2015,,1392,,Closed
Corison Winery,6/18/2015,4/1/2015,49,6222,Closed
Costco Photo Center,9/22/2015,6/19/2014,1618,287566,Open
Cottage Health System,12/3/2015,10/26/2015,1,12432,Closed
Country Life Insurance Company,6/1/2015,4/29/2015,7,1293,Closed
"Covanta Projects, LLC",6/10/2015,5/19/2015,2,519,Closed
Covenant Care-Marion Rehabilitation & Assisted,,,,,
Living Center,3/30/2015,3/11/2015,3,6,Closed
CoWorx Staffing Services,8/13/2015,,,,Closed
"CP Franchising, LLC",2/25/2015,,,,Open
"CVS Pharmacy, Inc.",9/11/2015,6/1/2014,10928,323139,Open
Deaconess Comp. Center,1/5/2015,12/10/2014,1,1,Closed
"Deaconess Hospital, Inc.",6/11/2015,5/22/2013,2,2,Closed
Delaware Department of Justice,3/25/2015,,,,Closed
"Dental Ceramics, Inc.",9/11/2015,,1,,Open
Department of Child Services - Child Support,,,,,
Bureau,9/23/2015,9/23/2015,,,Closed
"Department of Child Services - Child Support
Bureau",10/2/2015,9/25/2015,1,1,Closed
"Diane J. Ratts Consulting, Inc.",9/24/2015,9/22/2015,1,1,Closed
"Digital Theatre, LLC",10/28/2015,4/19/2015,106,64512,Closed
Direct Marketing Association,1/28/2015,8/1/2013,2,149,Closed
"Donelan Family Wines, LLC",6/18/2015,4/1/2015,6,1632,Closed
Doubletree Suites by Hilton Walt Disney World,4/1/2015,2/25/2015,2,20,Closed
"Douglas L. Dye, CPA, P.C.",12/21/2015,11/27/2015,,,Open
Dow Corning Corporation,10/30/2015,8/31/2015,717,19524,Closed
"Dow Jones & Company, Inc.",10/9/2015,7/25/2015,37,,Closed
"Duke Energy Progress, Inc.",8/3/2015,3/1/2015,1,813,Closed
"Dungarees, LLC",6/19/2015,3/26/2015,229,11564,Closed
"Dungarees, LLC",12/22/2015,10/15/2015,218,9948,Closed
Earlham College,6/12/2015,6/9/2015,1,1,Closed
eb5 Corporation,9/25/2015,5/5/2015,8,,Closed
"Eid Passport, Inc.",3/2/2015,12/24/2014,1,20,Closed
eMinor Incorporated d/b/a ReverbNation,9/2/2015,1/1/2014,3,564,Closed
"Empi, Inc./DJO, LLC",12/26/2014,11/7/2014,1,14,Closed
"Equifax, Inc.",4/2/2015,,36,1382,Closed
"Essex Property Trust, Inc.",4/1/2015,8/13/2014,23,,Closed
"Esurance Insurance Services, Inc.",5/12/2015,1/28/2015,1,109,Closed
Exam One,1/13/2015,12/12/2014,1,1,Closed
Exam One,2/10/2015,1/13/2015,1,1,Closed
Exam One,2/12/2015,1/15/2015,5,5,Closed
Exam One,3/13/2015,2/5/2015,1,1,Closed
Exam One,9/1/2015,8/10/2015,1,1,Closed
Exam One,10/15/2015,9/10/2015,1,1,Closed
Exam One,10/30/2015,9/24/2015,2,2,Closed
"Extraction Oil & Gas, LLC",2/27/2015,1/30/2015,2,1157,Closed
"EyeBuyDirect, Inc.",10/13/2015,2/9/2015,34,,Open
Faribault Woolen Mills Company,1/20/2014,1/5/2015,1,65,Closed
Farm to Feet,12/23/2015,8/3/2015,4,322,Closed
Farmers & Merchants Bank,6/2/2015,,78,78,Closed
"Fast Forward Academy, LLC",1/2/2015,12/3/2014,181,14130,Closed
Fidelity Investments,2/20/2015,1/12/2015,2,3,Closed
Fidelity Investments,3/17/2015,3/4/2015,1,1,Closed
Fidelity Investments,8/19/2015,7/28/2015,1,156,Closed
Fidelity Investments,9/18/2015,8/26/2015,3,5,Closed
"Fidelity National Financial, Inc.",4/10/2015,4/8/2015,1,1,Closed
Financial Center First Credit Union,4/27/2015,4/7/2015,10,10,Closed
FireKeepers Casino Hotel,7/6/2015,9/7/2014,3286,,Closed
"First Command Financial Services, Inc.",3/31/2015,11/12/2014,8,5117,Closed
"First Transit, Inc.",11/30/2015,10/23/2011,3,388,Closed
Fisher Vineyard,6/18/2015,4/1/2015,19,2428,Closed
"Flewelling & Mitton, P.C.",12/28/2015,12/10/2015,1,605,Closed
Flora Springs Winery and Vineyards,6/18/2015,4/1/2015,86,7720,Closed
Forest Creek Village,3/20/2015,3/3/2015,1,1,Closed
Four Winds Casino Resort,11/4/2015,10/1/2014,,,Closed
Fox Sports,3/16/2015,1/28/2015,3,,Closed
Franciscan Physician Network,2/5/2015,10/15/2014,12,12,Closed
Franciscan Physician Network,2/13/2015,1/1/2015,1,1,Closed
Franciscan St. Francis Health,10/6/2015,11/29/2013,1,1,Closed
Frank J. Martin Company,9/22/2015,6/3/2015,6,589,Closed
Frias Vineyards,6/18/2015,4/1/2015,20,1939,Closed
FSSA,2/2/2015,1/27/2015,6,6,Closed
FSSA,2/11/2015,1/2/2015,1,1,Closed
FSSA,4/9/2015,4/6/2015,1,1,Closed
FSSA,6/3/2015,5/29/2015,1,1,Closed
FSSA,6/9/2015,5/21/2015,6,6,Closed
FSSA,6/3/2015,5/29/2015,1,1,Closed
FSSA,7/16/2015,7/16/2015,,1,Closed
FSSA,9/11/2015,9/9/2015,6,6,Closed
FSSA,10/1/2015,9/25/2015,1,1,Closed
FSSA,12/1/2015,11/23/2015,1,1,Closed
"G&J Pepsi-Cola Bottlers, Inc.",3/10/2015,7/1/2013,6,3161,Closed
"Gallagher Pool Wealth Management, LLC",4/24/2015,,1,545,Closed
"Gallant Risk & Insurance Services, Inc.",6/3/2015,4/4/2015,1,,Closed
"Garden Creek Vineyards, LLC",6/18/2015,4/1/2015,3,572,Closed
Gemstone Vineyards,6/18/2015,4/1/2015,10,17087,Closed
"General Dynamics Information Technology, Inc.",6/30/2015,,1,11,Closed
General Motors Company,4/6/2015,3/24/2015,1,1,Closed
"Genesco Sports Enterprises, Inc.",2/27/2015,1/30/2015,1,41,Closed
Genius Central,6/8/2015,,9,366,Closed
Genworth,8/19/2015,7/28/2015,1,,Closed
"GlamGlow, LLC",10/8/2015,,8,,Closed
"Goodwill of Central Indiana, Inc. Nurse-Family
Partnership",11/23/2015,11/11/2015,1,1,Closed
"GreenWave Scientific, Inc.",8/10/2015,6/3/2015,47,2500,Closed
Greenwood Meadows,7/17/2015,5/15/2015,1,1,Closed
Hard Rock Hotel & Casino,4/30/2015,9/3/2014,,173000,Closed
"HDIS, Inc.",12/28/2015,11/27/2015,5,330,Closed
Heartland Credit Union,1/6/2014,11/9/2014,6,,Closed
Heartland Dental Care,6/2/2015,3/31/2013,3197,30870,Open
Heitz Wine Cellars,6/18/2015,4/1/2015,32,6087,Closed
Hershey Entertainment & Resorts Company,7/10/2015,2/14/2015,170,,Closed
"Hilton Worldwide, Inc.",11/24/2015,11/18/2014,,,Closed
Holiday Inn Express & Suites,8/21/2015,10/13/2014,10,2964,Closed
Honig's Whistle Stop,5/12/2015,3/8/2015,264,5126,Closed
Hotel Beacon,4/17/2015,1/8/2015,8,,Closed
HSBC Bank,4/10/2015,,2507,85923,Closed
HSBC Bank USA National Association,7/24/2015,6/19/2015,8,2437,Closed
HSBC Bank USA National Association,12/3/2015,11/6/2015,3,36,Closed
"Huneeus Vintners, LLC",6/15/2015,4/1/2015,107,22567,Closed
IDEM,7/6/2015,,37,37,Closed
IDEM,8/14/2015,,1,1,Closed
"IDParts, LLC",12/22/2014,1/1/2014,269,12000,Closed
Indiana Department of Insurance,7/9/2015,6/25/2015,1,1,Closed
Indiana Department of Revenue,1/7/2015,7/10/2014,0,0,Closed
Indiana Department of Revenue,7/6/2015,6/11/2015,40,85,Closed
Indiana Department of Revenue (DOR),6/22/2015,6/12/2015,1262,1262,Closed
Indiana Secretary of State's Securities Division,3/12/2015,,,,Closed
Indiana State Medical Association,3/6/2015,2/13/2015,28124,39080,Closed
Indiana State Personnel Department,5/18/2015,12/1/2012,1,1,Closed
Indiana University (South Bend Campus),2/25/2015,2/21/2015,1,6,Closed
Indy Scream Park,,2/13/2015,324,,Closed
Indy Southside Surgical,7/6/2015,1/2/2015,28,28,Closed
"Insurance Services Office, Inc.",6/13/2015,,10,,Closed
"Integrated Listening Systems, LLC",11/13/2015,5/18/2015,14,1220,Closed
"Interline Brands, Inc.",8/28/2015,8/5/2015,6,388,Closed
Interstitial Cystits Network,10/26/2015,4/6/2015,38,1731,Closed
Intimacy Management Company,6/4/2015,12/15/2014,22,1084,Closed
"Intuit, Inc.",2/15/2015,4/18/2014,91,1159,Closed
"Intuit, Inc.",4/7/2015,2/1/2014,618,27000,Closed
"Intuit, Inc.",10/27/2015,9/18/2015,6,280,Closed
"Intuit, Inc.",11/17/2015,10/12/2015,71,6740,Closed
"Intuit, Inc.",11/25/2015,10/23/2015,6,346,Closed
"Intuit, Inc.",12/4/2015,11/20/2015,2,133,Closed
"Intuit, Inc.",12/23/2015,12/2/2015,2,409,Closed
"Jemrose, LLC d/b/a Jemrose Wines",6/18/2015,4/1/2015,3,269,Closed
Jessup Cellars d/b/a The Good Life Wine Collection,6/18/2015,4/1/2015,95,15391,Closed
John Carroll University,10/5/2015,,3,253,Closed
"Jones Lang LaSalle Americas, Inc.",5/29/2015,5/11/2015,14,14,Closed
Kanzler Vineyards,6/18/2015,4/1/2015,5,780,Closed
Keenan & Associates,12/1/2015,,431,,Closed
Kellogg & Andelson Global Management,4/10/2015,,3,5000,Closed
"Knit-Rite, Inc.",11/24/2015,2/17/2015,26,2139,Closed
"Kohl's Department Stores, Inc",3/16/2015,7/14/2011,10,,Closed
"Kohl's Department Stores, Inc.",9/29/2015,,4,,Closed
"Kosta Browne Winery, LLC",6/5/2015,4/1/2015,69,17589,Closed
"Kraft Music, LTD",3/3/2015,12/21/2014,31,,Closed
"La Jolla Group, Inc.",12/31/2014,11/30/2014,39,3192,Closed
"Lando Law Firm, LLC",9/4/2015,6/3/2015,5,416,Closed
Larkmead Vineyards Vinter & Grower,6/18/2015,4/1/2015,62,7547,Closed
Latex Construction Company,7/7/2015,6/2/2015,1,600,Closed
Law Enforcement Targets,3/23/2015,3/3/2015,7,,Closed
LC Industries,6/19/2015,2/10/2015,45,3754,Closed
LC Industries,7/22/2015,6/20/2015,1,8,Closed
Learning.com,6/12/2015,3/17/2015,1,,Closed
LifeView Outdoors,5/19/2015,1/1/2015,3,267,Closed
"Lime Crime, Inc.",2/24/2015,10/4/2014,563,,Closed
"Lin R. Rogers Electrical Contractors, Inc.",8/21/2015,7/10/2015,10,1468,Closed
Lincoln National Life Insurance Company,6/18/2015,9/1/2012,20,485,Closed
"Loader Parts Source, Inc.",1/26/2015,9/22/2014,9,309,Closed
"Lokai Holdings, LLC",12/24/2014,7/18/2014,1673,98510,Open
Maine Office of Securities,3/22/2015,8/1/2012,,,Closed
"Mama Mio US, Inc.",8/4/2015,4/29/2015,39,3434,Closed
"Manchester Hotel Hospitality, LLC",6/23/2015,10/13/2014,97,999,Closed
Mandarin Oriental,7/10/2015,6/18/2014,99,100000,Closed
Marian University,10/16/2015,10/14/2015,9,9,Closed
Marriott International,10/19/2015,10/7/2015,1,70,Closed
Martinelli Winery,6/18/2015,4/1/2015,32,5365,Closed
Massachusetts Mutual Life Insurance Company,3/19/2015,3/5/2015,6,6,Closed
Massachusetts Mutual Life Insurance Company,7/27/2015,6/18/2015,7,2274,Open
"Matson Navigation Company, Inc.",12/23/2015,11/9/2015,42,14074,Closed
Mayer-Johnson.com,12/9/2015,11/13/2015,3,,Closed
"McDermott, Will & Emery",2/27/2015,12/10/2014,,,Closed
"Medical Informatics Engineering and
NoMoreClipboard",6/18/2015,5/7/2015,1498970,3116186,Open
"Microf, LLC",10/30/2015,,1,550,Closed
"Mid-America Apartment Communities, Inc.",5/13/2015,10/15/2014,18,,Closed
Mid-State Technical College,9/4/2015,6/19/2015,2,,Closed
Midwestern United Life Insurance Company,12/29/2014,8/29/2014,4,5,Closed
"Milestone Nospitality Management, LLC",8/14/2015,6/2/2015,21,2696,Closed
Milk Nursingwear,8/21/2015,7/13/2015,3,541,Closed
Minnesota Life Insurance Co,6/16/2015,5/4/2015,1,36,Closed
Minnesota Life Insurance Co,12/18/2015,12/8/2015,8,40,Closed
ModSpace,1/26/2015,9/19/2014,4,,Closed
Momentive Performance Materials,4/1/2015,1/28/2015,108,4236,Closed
Monsma Marketing Corporation,9/9/2015,7/22/2015,15,174,Closed
Montefiore Health System,6/18/2015,1/1/2013,1,,Closed
Monticello Healthcare,6/2/2015,4/13/2015,2,2,Closed
MUJI,12/2/2015,1/22/2015,,,Closed
National American University,7/2/2015,,4,,Closed
"Nationstar Mortgage, LLC",8/12/2015,7/27/2015,1,1159,Closed
Nelnet,4/28/2015,4/8/2015,1,1,Closed
Nestle USA,5/15/2015,1/1/2015,1,7,Closed
Nestle USA,8/26/2015,8/5/2015,1,494,Closed
New England Calendar and Novelty Company,12/7/2015,9/24/2015,9,564,Closed
"New Horizons Computer Learning Centers, Inc.",7/10/2015,4/4/2015,252,4734,Closed
New Jersey Bureau of Securities,4/1/2015,,,,Closed
Newton Running Company,8/11/2015,4/26/2015,2,380,Closed
"Nexient, LLC",7/10/2015,6/10/2015,54,947,Closed
"Nite Ize, Inc.",3/27/2015,3/3/2015,750,54578,Closed
Noble House Hotels and Resorts,10/22/2015,1/28/2015,102,19472,Closed
Noble House Hotels and Resorts,11/13/2015,12/29/2014,275,49667,Closed
North Carolina State University,7/20/2015,,16,936,Closed
Nova Southeastern University,11/16/2015,10/14/2015,1,,Closed
"Nuance Communications, Inc.",3/20/2015,12/10/2014,35,1260,Closed
"OH Muhlenberg, LLC",11/13/2015,1/1/2012,1109,84700,Open
One Hour Heating & Air Conditioning #118,8/7/2015,7/2/2015,1,1,Closed
OneStopParking,3/17/2015,8/1/2014,347,20679,Closed
OppenheimerFunds,1/15/2015,1/25/2014,130,13455,Closed
OppenheimerFunds,2/2/2015,7/31/2014,1,1,Closed
OppenheimerFunds,2/18/2015,1/29/2015,2,247,Closed
OppenheimerFunds,4/3/2015,11/22/2013,6,5585,Closed
OppenheimerFunds,4/8/2015,3/11/2013,27,3824,Closed
OptumRx Home Delivery Pharmacy,5/19/2015,2/23/2015,1,27,Closed
Orinda Union School District,5/5/2015,4/28/2015,1,118,Closed
OrthoIndy,4/13/2015,2/13/2015,15,15,Closed
"Orthopaedics Indianapolis, Inc.",8/14/2015,7/13/2015,1,1,Closed
OsteoMed,10/20/2015,,11,,Closed
Otsuka America,1/29/2015,11/26/2014,8,,Closed
"Packers Sanitation Services, Inc. LTD",2/10/2015,,103,,Closed
Palmaz Vineyards,6/18/2015,4/1/2015,46,6181,Closed
Park 'N Fly,12/31/2014,11/27/2013,203,249000,Closed
"Paycor, Inc.",6/4/2015,5/19/2015,11,275,Closed
"Paycor, Inc.",12/17/2015,12/7/2015,1,50,Closed
Peabody Energy,3/20/2015,,5,,Closed
"Peace of Mind Brain Injury Services, Inc.",2/27/2015,,1,10,Closed
"Peggy E. Olson, CPA",10/9/2015,9/2/2015,2,3123,Closed
Pentair Thermal Management,7/9/2015,6/12/2015,1,201,Closed
"Peppermill Casinos, Inc.",10/13/2015,10/12/2014,17,4951,Closed
"Percheron, LLC",2/25/2015,1/15/2015,4,2807,Closed
"Personal Finance Co., LLC",11/16/2015,10/5/2015,1,1,Closed
Peter Michael Winery's,6/12/2015,4/1/2015,35,,Closed
"Phoenix House Foundation, Inc.",2/5/2014,12/19/2014,,,Closed
"Physicians Health Plan of Northern Indiana, Inc.",12/21/2015,12/8/2015,1708,1708,Closed
"Piech Sales Company, LLC",1/14/2015,11/25/2014,118,8938,Closed
PNC Financial Services Group,2/20/2015,,,,Closed
Precision Resource Company,12/3/2015,11/17/2015,2,385,Closed
Premera Blue Cross,3/17/2015,5/5/2014,,,Open
Pride Mountain Vineyards,6/18/2015,4/1/2015,97,14026,Closed
"Primary Capital Mortgage, LLC",8/19/2015,8/11/2015,1,33,Closed
Purdue University,4/7/2015,3/25/2015,1,1,Closed
Quad Graphics,8/14/2015,7/20/2015,2,693,Closed
Ransomed Heart Ministries,7/17/2015,4/28/2015,25,1384,Closed
"RBSK Partners, P.C.",8/4/2015,6/25/2015,8,,Closed
Red Dress Boutique,10/1/2015,9/14/2015,4,295,Closed
Regions Bank,5/11/2015,11/1/2014,29,1712,Closed
Repris Vineyards,6/18/2015,4/1/2015,70,7337,Closed
"Retail Capital, LLC",4/1/2015,3/17/2015,12,741,Closed
