Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
UniversityofSouthernCaliforniaonbehalfofKUSC,7/12/2016,4/24/2016,1,750
UniversityofVirginia,1/22/2016,,4,
UnknownRespondent,,,,
UnknownRespondent,,,,
UnknownRespondent,3/1/2016,3/1/2016,,
UnknownRespondent,,,,
UrsusHoldingsLLC,9/8/2016,3/21/2016,396,
USAFieldHockey,7/15/2016,3/28/2016,1,767
USBank,5/11/2016,2/1/2016,3,
"USI, Inc.",5/19/2016,4/28/2016,10,1851
USIInsuranceServicesLLC-SecurityBreach,5/11/2016,4/19/2016,2,1399
ValleyHopeAssociation,2/25/2016,12/30/2015,42,52076
ValMarkSecuritiesInc,4/21/2016,,359,2
VaupellHoldingsInc,9/30/2016,9/12/2016,25,2897
VentureLogistics,12/7/2016,11/14/2016,554,1100
VerityHealthSystems,5/31/2016,4/27/2016,1,7604
VFOutletInc,9/27/2016,4/17/2016,179,
VibraHospitalofNorthwesternIndiana,7/19/2016,6/29/2016,1,1
VideoGeneralInc,,,,
VideoGeneralInc,3/22/2016,10/1/2015,52,1094
VirginiaPremierHealthPlanInc,7/21/2016,6/30/2016,1,
VoyaInsuranceandAnnuityCompany,1/4/2016,12/22/2015,4,76
WabashGeneralHospitalDistrict,1/21/2016,12/30/2015,10,58
WashingtonCountyHousingandRedevelopmentAuthority,6/23/2016,3/14/2016,3,
WaterEnvironmentFederation,7/8/2016,4/24/2016,6,474
WatsonCPALLC,5/19/2016,4/10/2016,1148,
"WesternUnionFinancialServices,Inc.",12/21/2016,7/1/2016,707,172068
WinstonHospitality,5/3/2016,1/17/2016,2,30
WoodHerronEvansLLP,5/13/2016,4/10/2016,2,
WorkCareInc,2/26/2016,2/18/2016,1,
WRJHoldingsLLCdbaClassicFirearms,10/11/2016,9/26/2016,1,55
WynegarJane,5/28/2016,3/12/2016,60,60
"YoungAdultInstitute,Inc.",11/28/2016,,1,913
YoungWadlingtonPLLC,7/21/2016,12/16/2015,7,274
YourCommunityBank,4/27/2016,3/13/2016,267,455
YourEncoreInc,3/21/2016,3/7/2016,103,864
ZeroGravitySolutionsInc,8/1/2016,7/1/2016,1,143
ZieglerTavesMartinLLP,7/28/2016,6/17/2016,2,354
ZocdocInc,5/16/2016,1/1/2011,1,17000
(DOR) Indiana Department of Revenue,7/6/2015,6/11/2015,40,85
2020Communications,8/3/2015,7/27/2015,2,2
AbercrombieFitch,4/17/2015,3/25/2015,3,
AcclaimTechnicalServicesInc,12/23/2015,8/26/2015,5,2000
ACESurgicalSupplyCoInc,9/15/2015,4/11/2015,15,1158
ActavisInc,10/1/2015,8/25/2015,104,9401
AcuityAMututalInsuranceCompany,4/23/2015,4/14/2015,1,1
Adreima,11/5/2015,10/12/2015,3,497
AdvantageDental,3/18/2015,2/23/2015,7,
AeroGrowInternationalInc,6/3/2015,10/15/2014,688,41325
AetnaLifeInsuranceCompany-Breach Notification,1/8/2015,,4,133
AFLAC,11/20/2015,10/7/2015,1,1
Aflac,11/10/2015,10/26/2015,4,
AFLAC,10/19/2015,7/1/2015,1,297
AFLAC,7/15/2015,6/17/2015,6,146
AkronInc,6/4/2015,3/1/2015,5,2210
AKSteelCorporation,5/8/2015,4/30/2015,3,477
AlfaVisionInsuranceCoandAlfaSpecialtyInsuranceCorp,7/10/2015,4/18/2015,2231,85730
AlinMachiningCompanyInc-Breach Notification,1/12/2015,11/7/2014,21,750
AllegisGroupInc,6/8/2015,1/1/2015,2,69
AllenTateMortgageServicesInc,11/20/2015,11/2/2015,1,85
AltaSkiLiftsCo,3/9/2015,2/16/2015,1,
AltaSkiLiftsCo,3/9/2015,2/16/2015,1,
AmedisysInc-Breach Notification,3/2/2015,,131,6909
AmeriFirstFinancialCorporation,8/19/2015,7/28/2015,1,208
AmeripriseFinancialInc,4/24/2015,3/18/2015,2,2
AmeripriseFinancialInc-Breach Notification,2/25/2015,2/12/2015,1,1
AmeripriseFinancialInc-Breach Notification,3/18/2015,2/20/2015,1,1
AmiciCellars,6/18/2015,4/1/2015,3,302
AmstedRail,3/19/2015,2/4/2015,850,
Anheuser-BuschCompaniesLLC,7/9/2015,6/29/2015,3,65
AnthemBlueCross&BlueShield-Breach Notification,2/9/2015,,,
AnthemBlueCrossandBlueShield,11/20/2015,8/21/2015,1,4
AOLInc,12/22/2015,9/17/2015,2,64
AonCorporation,10/13/2015,8/1/2015,1,13
AONHewitt,7/2/2015,6/5/2015,1,65
AONHewitt,8/28/2015,7/15/2015,4,144
AppleAmericanGroupLLC,3/15/2015,3/3/2015,3058,49964
ArtofTea-Breach Notification,12/31/2014,10/26/2014,16,1319
AscensusInc,5/27/2015,5/14/2015,16,1404
AscensusInc,2/6/2015,1/12/2015,2,18
AscensusInc,9/24/2015,9/3/2015,468,484
AscensusInc,3/4/2015,2/9/2015,1,9299
AscensusInc,1/23/2015,12/24/2014,1,183
ATT-Breach Notification,12/19/2014,10/16/2014,5,
AuburnUniversity,4/1/2015,9/1/2014,1038,364185
AuroraHealthCareInc,3/10/2015,,4,37908
AustinPowderCompany,4/7/2015,12/1/2014,66,2764
AutoCareAssociation,10/13/2015,9/11/2015,8,199
AutomotiveRecoveryServicesInc,7/6/2015,1/1/2015,1953,505000
BankersLifeandCasualtyCompany,9/3/2015,5/28/2015,1,1
BankoftheWest,3/24/2015,,62,58677
BarbecueRenewInc-Breach Notification,1/16/2015,1/1/2014,815,
BeaconBroadwayLLC,4/17/2015,,,
BeaconHealthSystem-Breach Notification,3/9/2015,,,
BeckerMayerLLCSmartLabToys,9/28/2015,4/1/2015,1,85
BedBathBeyondInc,9/28/2015,3/7/2015,1,2085
BedBathBeyondInc-Breach Notification,2/26/2015,11/3/2014,1,33
Betterbee,3/16/2015,3/3/2015,5,332
BigFishGames-Breach Notification,2/10/2015,12/24/2014,499,36247
BigIdeaEntertainment,5/8/2015,,1,
BLaneInc,11/13/2015,5/19/2015,112,
BlueCrossBlueShieldofMichigan-Breach Notification,3/23/2015,,11,
BlueCrossBlueShieldofMichigan-Breach Notification,1/8/2015,,1,
BlueRiverServicesInc,11/19/2015,11/16/2015,55,55
BlueSkyCasino-Breach Notification,1/23/2015,4/23/2014,54624,87975
BlueSpringsPartners,7/21/2015,5/2/2014,481,38624
BMV,12/2/2015,12/1/2015,1,1
BMV-Breach Notification,6/17/2015,6/2/2015,1,1
BMV-Breach Notification,1/28/2015,1/28/2015,1,1
BrandeisUniversity,11/12/2015,10/25/2015,26,
BrunswickHotelTavern,8/21/2015,11/29/2014,4,
BulkReefSupply-Breach Notification,2/27/2015,7/30/2014,360,19364
CainVineyardandWinery,6/18/2015,4/1/2015,16,3534
CareFirstBlueCrossBlueShield,5/21/2015,6/19/2014,20,1.1 million
"CatenacciMarkowitzDelandriRosnerCompanyCertifiedPublicAccou
ntants",12/15/2015,9/23/2015,2,
CBCRestaurantCorporation,12/18/2015,,7,5278
CenterraGroupLLC,12/14/2015,10/30/2015,2,4786
CFIndustriesHoldingsInc,6/4/2015,12/11/2014,6,168
Charles Schwab Co. Inc,5/21/2015,4/30/2015,1,9
CharleskrugWinery,6/10/2015,4/1/2015,15,4058
CharlesSchwabCoInc,8/27/2015,8/12/2015,1,1
Children'sBureauInc,5/27/2015,4/28/2015,1,1
Children'sHeartCenter,4/3/2015,,1,8791
ChubbSon-Breach Notification,2/2/2015,3/1/2013,1,900
CICSEmploymentServicesInc-Breach Notification,1/31/2015,,69,101000
CitibankNA-Breach Notification,3/6/2015,2/19/2015,1,
CitibankNA-Breach Notification,9/17/2015,7/28/2015,1,1
CitiesServiceLLC,4/29/2015,10/13/2014,7,613
CityWinery,3/16/2015,3/8/2014,9,804
ClayCountyChildSupportDivision,7/23/2015,7/22/2015,1,1
ClifBarFamilyWineryfFarmLLC,6/10/2015,4/1/2015,31,6309
CoastalInternationalSecurityInc,4/6/2015,3/25/2015,4,66
ColaColaCPA's,12/15/2015,10/15/2015,2,
ColumbiaThreadneedleInvestments,11/9/2015,10/12/2015,1,1
ColumbusRegionalHealthPhysicians-Breach Notification,5/1/2015,4/21/2015,1,1
ColumbusRegionalHealthPhysicians-Breach Notification,12/23/2014,12/1/2014,1,1
CommunityHealthNetwork,10/19/2015,10/8/2015,1,1
CommunityHealthNetwork,8/4/2015,7/20/2015,2,2
CommunityHealthNetwork,4/18/2015,4/8/2015,1,1
CommunityHealthNetwork,8/20/2015,8/1/2015,1,1
CommunityHealthNetwork,7/20/2015,6/8/2015,1,1
CommunityHealthNetwork,7/24/2015,6/24/2015,1,1
CommunityHealthNetwork,10/14/2015,8/12/2015,2,2
CommunityHealthNetwork,10/14/2015,9/18/2015,2,2
CommunityHealthNetwork,9/14/2015,9/13/2015,1,1
CommunityHealthNetwork-Breach Notification,1/30/2015,1/15/2014,4,4
CommunityHealthNetwork-Breach Notification,2/2/2015,5/9/2013,18,18
CompassUSAGroup,4/24/2015,2/2/2015,,8923
ConcordiaPlanServices,4/15/2015,,22,12600
CopartInc,5/27/2015,,1392,
CorisonWinery,6/18/2015,4/1/2015,49,6222
CostcoPhotoCenter,9/22/2015,6/19/2014,1618,287566
CottageHealthSystem,12/3/2015,10/26/2015,1,12432
CountryLifeInsuranceCompany,6/1/2015,4/29/2015,7,1293
CovantaProjectsLLC,6/10/2015,5/19/2015,2,519
CovenantCare-MarionRehabilitationAssistedLivingCenter,3/30/2015,3/11/2015,3,6
CoWorxStaffingServices,8/13/2015,,,
CPFranchisingLLC-Breach Notification,2/25/2015,,,
CVSPharmacyInc,9/11/2015,6/1/2014,10928,323139
DeaconessCompCenter-Breach Notification,1/5/2015,12/10/2014,1,1
DeaconessHospital,6/11/2015,5/22/2013,2,2
DelawareDepartmentofJustice,3/25/2015,,,
DentalCeramicsInc,9/11/2015,,1,
DepartmentofChildServices-ChildSupportBureau,9/23/2015,9/23/2015,,
DepartmentofChildServices-ChildSupportBureau,10/2/2015,9/25/2015,1,1
DianeJRattsConsultingInc,9/24/2015,9/22/2015,1,1
DigitalTheatreLLC,10/28/2015,4/19/2015,106,64512
DirectMarketingAssociation-Breach Notification,1/28/2015,8/1/2013,2,149
DonelanFamilyWinesLLC,6/18/2015,4/1/2015,6,1632
DoubletreeSuitesbyHiltonWaltDisneyWorld,4/1/2015,2/25/2015,2,20
DouglasLDyeCPAPC,12/21/2015,11/27/2015,,
DowCorningCorporation,10/30/2015,8/31/2015,717,19524
DowJonesCompanyInc,10/9/2015,7/25/2015,37,
DukeEnergyProgressInc,8/3/2015,3/1/2015,1,813
DungareesLLC,12/22/2015,10/15/2015,218,9948
DungareesLLC,6/19/2015,3/26/2015,229,11564
EarlhamCollege,6/12/2015,6/9/2015,1,1
eb5Corporation,9/25/2015,5/5/2015,8,
EidPassportInc-Breach Notification,3/2/2015,12/24/2014,1,20
eMinorIncorporateddbaReverbNation,9/2/2015,1/1/2014,3,564
EmpiIncDJOLLC-Breach Notification,12/26/2014,11/7/2014,1,14
EquifaxInc,4/2/2015,,36,1382
EssexPropertyTrustInc,4/1/2015,8/13/2014,23,
EsuranceInsuranceServicesInc,5/12/2015,1/28/2015,1,109
ExamOne,10/30/2015,9/24/2015,2,2
ExamOne,9/1/2015,8/10/2015,1,1
ExamOne,10/15/2015,9/10/2015,1,1
ExamOne-Breach Notification,2/12/2015,1/15/2015,5,5
ExamOne-Breach Notification,2/10/2015,1/13/2015,1,1
ExamOne-Breach Notification,3/13/2015,2/5/2015,1,1
ExamOne-Breach Notification,1/13/2015,12/12/2014,1,1
ExtractionOilGasLLC-Breach Notification,2/27/2015,1/30/2015,2,1157
EyeBuyDirectInc,10/13/2015,2/9/2015,34,
FaribaultWoolenMillsCompany-Breach Notification,1/20/2014,1/5/2015,1,65
FarmersMerchantsBank,6/2/2015,,78,78
FarmtoFeet,12/23/2015,8/3/2015,4,322
FastForwardAcademyLLC-Breach Notification,1/2/2015,12/3/2014,181,14130
FidelityInvestments,8/19/2015,7/28/2015,1,156
FidelityInvestments,9/18/2015,8/26/2015,3,5
FidelityInvestments-Breach Notification,3/17/2015,3/4/2015,1,1
FidelityInvestments-Breach Notification,2/20/2015,1/12/2015,2,3
FidelityNationalFinancialInc,4/10/2015,4/8/2015,1,1
FinancialCenterFirstCreditUnion,4/27/2015,4/7/2015,10,10
FireKeepersCasinoHotel,7/6/2015,9/7/2014,3286,
FirstCommandFinancialServicesInc,3/31/2015,11/12/2014,8,5117
FirstTransitInc,11/30/2015,10/23/2011,3,388
FisherVineyard,6/18/2015,4/1/2015,19,2428
FlewellingMittonPC,12/28/2015,12/10/2015,1,605
FloraSpringsWineryandVineyards,6/18/2015,4/1/2015,86,7720
ForestCreekVillage,3/20/2015,3/3/2015,1,1
FourWindsCasinoResort,11/4/2015,10/1/2014,,
FoxSports,3/16/2015,1/28/2015,3,
FranciscanPhysicianNetwork-Breach Notification,2/13/2015,1/1/2015,1,1
FranciscanPhysicianNetwork-Breach Notification,2/5/2015,10/15/2014,12,12
FranciscanStFrancisHealth,10/6/2015,11/29/2013,1,1
FrankJMartinCompany,9/22/2015,6/3/2015,6,589
FriasVineyards,6/18/2015,4/1/2015,20,1939
FSSA,12/1/2015,11/23/2015,1,1
FSSA,10/1/2015,9/25/2015,1,1
FSSA-Breach Notification,2/11/2015,1/2/2015,1,1
FSSA-Breach Notification,9/11/2015,9/9/2015,6,6
FSSA-Breach Notification,6/3/2015,5/29/2015,1,1
FSSA-Breach Notification,2/2/2015,1/27/2015,6,6
FSSA-Breach Notification,4/9/2015,4/6/2015,1,1
FSSA-Breach Notification,6/3/2015,5/29/2015,1,1
FSSA-Breach Notification,6/9/2015,5/21/2015,6,6
FSSA-Breach Notification,7/16/2015,7/16/2015,,1
GallagherPoolWealthManagementLLC,4/24/2015,,1,545
GallantRiskInsuranceServicesInc,6/3/2015,4/4/2015,1,
GardenCreekVineyardsLLC,6/18/2015,4/1/2015,3,572
GemstoneVineyards,6/18/2015,4/1/2015,10,17087
GeneralDynamicsInformationTechnologyInc,6/30/2015,,1,11
GeneralMotorsCompany,4/6/2015,3/24/2015,1,1
GenescoSportsEnterprisesInc-Breach Notification,2/27/2015,1/30/2015,1,41
GeniusCentral,6/8/2015,,9,366
Genworth,8/19/2015,7/28/2015,1,
GJPepsi-ColaBottlersInc,3/10/2015,7/1/2013,6,3161
GlamGlowLLC,10/8/2015,,8,
GoodwillofCentralIndianaIncNurse-FamilyPartnership,11/23/2015,11/11/2015,1,1
GreenWaveScientificInc,8/10/2015,6/3/2015,47,2500
GreenwoodMeadows,7/17/2015,5/15/2015,1,1
HardRockHotelCasino,4/30/2015,9/3/2014,,173000
HDISInc,12/28/2015,11/27/2015,5,330
HeartlandCreditUnion-Breach Notification,1/6/2014,11/9/2014,6,
HeartlandDentalCare,6/2/2015,3/31/2013,3197,30870
HeitzWineCellars,6/18/2015,4/1/2015,32,6087
HersheyEntertainmentResortsCompany,7/10/2015,2/14/2015,170,
HiltonWorldwideInc,11/24/2015,11/18/2014,,
HolidayInnExpressSuites,8/21/2015,10/13/2014,10,2964
Honig'sWhistleStop,5/12/2015,3/8/2015,264,5126
HotelBeacon,4/17/2015,1/8/2015,8,
HSBCBank-SecurityBreach,4/10/2015,,2507,85923
HSBCBankUSANationalAssociation,7/24/2015,6/19/2015,8,2437
HSBCBankUSANationalAssociation,12/3/2015,11/6/2015,3,36
HuneeusVintnersLLC,6/15/2015,4/1/2015,107,22567
IDEM-SecurityBreach,7/6/2015,,37,37
IDEM-SecurityBreach,8/14/2015,,1,1
IDPartsLLC-Breach Notification,12/22/2014,1/1/2014,269,12000
IndianaDepartmentofInsurance-SecurityBreach,7/9/2015,6/25/2015,1,1
IndianaDepartmentofRevenue-Breach Notification,1/7/2015,7/10/2014,0,0
IndianaDepartmentofRevenueDOR,6/22/2015,6/12/2015,1262,1262
IndianaSecretaryofState'sSecuritiesDivision-Breach Notification,3/12/2015,,,
IndianaStateMedicalAssociation-Breach Notification,3/6/2015,2/13/2015,28124,39080
IndianaStatePersonnelDepartment-SecurityBreach,5/18/2015,12/1/2012,1,1
IndianaUniversitySouthBendCampus-Breach Notification,2/25/2015,2/21/2015,1,6
IndyScreamPark-Breach Notification,,2/13/2015,324,
IndySouthsideSurgical,7/6/2015,1/2/2015,28,28
InsuranceServicesOfficeInc,6/13/2015,,10,
IntegratedListeningSystemsLLC,11/13/2015,5/18/2015,14,1220
InterlineBrandsInc,8/28/2015,8/5/2015,6,388
InterstitialCystitsNetwork,10/26/2015,4/6/2015,38,1731
IntimacyManagementCompany,6/4/2015,12/15/2014,22,1084
IntuitInc,10/27/2015,9/18/2015,6,280
IntuitInc,11/17/2015,10/12/2015,71,6740
IntuitInc,12/23/2015,12/2/2015,2,409
IntuitInc,11/25/2015,10/23/2015,6,346
IntuitInc,12/4/2015,11/20/2015,2,133
IntuitInc-Breach Notification,2/15/2015,4/18/2014,91,1159
IntuitInc-Breach Notification,4/7/2015,2/1/2014,618,27000
JemroseLLCdbaJemroseWines,6/18/2015,4/1/2015,3,269
JessupCellarsdbaTheGoodLifeWineCollection,6/18/2015,4/1/2015,95,15391
JohnCarrollUniversity,10/5/2015,,3,253
JonesLangLaSalleAmericasInc,5/29/2015,5/11/2015,14,14
KanzlerVineyards,6/18/2015,4/1/2015,5,780
KeenanAssociates,12/1/2015,,431,
KelloggAndelsonGlobalManagement,4/10/2015,,3,5000
Knit-RiteInc,11/24/2015,2/17/2015,26,2139
Kohl'sDepartmentStoresInc.,9/29/2015,,4,
Kohl'sDepartmentStoresInc-Breach Notification,3/16/2015,7/14/2011,10,
KostaBrowneWineryLLC,6/5/2015,4/1/2015,69,17589
KraftMusicLTD-Breach Notification,3/3/2015,12/21/2014,31,
LaJollaGroupInc-Breach Notification,12/31/2014,11/30/2014,39,3192
LandoLawFirmLLC,9/4/2015,6/3/2015,5,416
LarkmeadVineyardsVinterGrower,6/18/2015,4/1/2015,62,7547
LatexConstructionCompany,7/7/2015,6/2/2015,1,600
LawEnforcementTargets,3/23/2015,3/3/2015,7,
LCIndustries,7/22/2015,6/20/2015,1,8
LCIndustries,6/19/2015,2/10/2015,45,3754
Learningcom,6/12/2015,3/17/2015,1,
LibertyTaxService,,2/1/2015,1,1
LifeViewOutdoors,5/19/2015,1/1/2015,3,267
LimeCrimeInc-Breach Notification,2/24/2015,10/4/2014,563,
LinRRogersElectricalContractorsInc,8/21/2015,7/10/2015,10,1468
LoaderPartsSourceInc-Breach Notification,1/26/2015,9/22/2014,9,309
LokaiHoldingsLLC-Breach Notification,12/24/2014,7/18/2014,1673,98510
MaineOfficeofSecurities,3/22/2015,8/1/2012,,
MamaMioUSInc,8/4/2015,4/29/2015,39,3434
ManchesterHotelHospitalityLLC,6/23/2015,10/13/2014,97,999
MandarinOriental,7/10/2015,6/18/2014,99,100000
MarianUniversity,10/16/2015,10/14/2015,9,9
Mark Turner,2/26/2015,12/29/2014,1,2153
MarriottInternational,10/19/2015,10/7/2015,1,70
MartinelliWinery,6/18/2015,4/1/2015,32,5365
MassachusettsMutualLifeInsuranceCompany,3/19/2015,3/5/2015,6,6
MassachusettsMutualLifeInsuranceCompany,7/27/2015,6/18/2015,7,2274
MatsonNavigationCompanyInc,12/23/2015,11/9/2015,42,14074
Mayer-Johnsoncom,12/9/2015,11/13/2015,3,
McDermottWillEmery-Breach Notification,2/27/2015,12/10/2014,,
MedicalInformaticsEngineeringandNoMoreClipboard,6/18/2015,5/7/2015,1498970,3116186
MicrofLLC,10/30/2015,,1,550
Mid-AmericaApartmentCommunitiesInc,5/13/2015,10/15/2014,18,
Mid-StateTechnicalCollege,9/4/2015,6/19/2015,2,
MidwesternUnitedLifeInsurance-Breach Notification,12/29/2014,8/29/2014,4,5
MilestoneNospitalityManagementLLC,8/14/2015,6/2/2015,21,2696
MilkNursingwear,8/21/2015,7/13/2015,3,541
MinnesotaLifeInsuranceCo,12/18/2015,12/8/2015,8,40
MinnesotaLifeInsuranceCo,6/16/2015,5/4/2015,1,36
ModSpace-Breach Notification,1/26/2015,9/19/2014,4,
MomentivePerformanceMaterials,4/1/2015,1/28/2015,108,4236
MonsmaMarketingCorporation,9/9/2015,7/22/2015,15,174
MontefioreHealthSystem,6/18/2015,1/1/2013,1,
MonticelloHealthcare,6/2/2015,4/13/2015,2,2
MUJI,12/2/2015,1/22/2015,,
NationalAmericanUniversity,7/2/2015,,4,
NationstarMortgageLLC,8/12/2015,7/27/2015,1,1159
Nelnet,4/28/2015,4/8/2015,1,1
NestleUSA,5/15/2015,1/1/2015,1,7
NestleUSA,8/26/2015,8/5/2015,1,494
NewEnglandCalendarandNoveltyCompany,12/7/2015,9/24/2015,9,564
NewHorizonsComputerLearningCentersInc,7/10/2015,4/4/2015,252,4734
NewJerseyBureauofSecurities,4/1/2015,,,
NewtonRunningCompany,8/11/2015,4/26/2015,2,380
NexientLLC,7/10/2015,6/10/2015,54,947
NiteIzeInc,3/27/2015,3/3/2015,750,54578
NobleHouseHotelsandResorts,10/22/2015,1/28/2015,102,19472
NobleHouseHotelsandResorts,11/13/2015,12/29/2014,275,49667
NoMoreClipboardcom,,,,
NorthCarolinaStateUniversity,7/20/2015,,16,936
NovaSoutheasternUniversity,11/16/2015,10/14/2015,1,
NuanceCommunicationsInc,3/20/2015,12/10/2014,35,1260
OHMuhlenbergLLC,11/13/2015,1/1/2012,1109,84700
OneHourHeatingAirConditioning118,8/7/2015,7/2/2015,1,1
OneStopParking,3/17/2015,8/1/2014,347,20679
OppenheimerFunds-Breach Notification,4/3/2015,11/22/2013,6,5585
OppenheimerFunds-Breach Notification,4/8/2015,3/11/2013,27,3824
OppenheimerFunds-Breach Notification,2/18/2015,1/29/2015,2,247
OppenheimerFunds-Breach Notification,2/2/2015,7/31/2014,1,1
OppenheimerFunds-Breach Notification,1/15/2015,1/25/2014,130,13455
OptumRxHomeDeliveryPharmacy,5/19/2015,2/23/2015,1,27
OrindaUnionSchoolDistrict,5/5/2015,4/28/2015,1,118
OrthoIndy,4/13/2015,2/13/2015,15,15
OrthopaedicsIndianapolisInc,8/14/2015,7/13/2015,1,1
OsteoMed,10/20/2015,,11,
OtsukaAmerica-Breach Notification,1/29/2015,11/26/2014,8,
PackersSanitationServicesIncLTD-Breach Notification,2/10/2015,,103,
PalmazVineyards,6/18/2015,4/1/2015,46,6181
Park'NFly-Breach Notification,12/31/2014,11/27/2013,203,249000
PaycorInc,6/4/2015,5/19/2015,11,275
PaycorInc,12/17/2015,12/7/2015,1,50
PeabodyEnergy,3/20/2015,,5,
PeaceofMindBrainInjuryServicesInc-Breach Notification,2/27/2015,,1,10
PeggyEOlsonCPA,10/9/2015,9/2/2015,2,3123
PentairThermalManagement,7/9/2015,6/12/2015,1,201
PeppermillCasinosInc,10/13/2015,10/12/2014,17,4951
PercheronLLC-Breach Notification,2/25/2015,1/15/2015,4,2807
PersonalFinanceCoLLC,11/16/2015,10/5/2015,1,1
PeterMichaelWinery's,6/12/2015,4/1/2015,35,
PhoenixHouseFoundationInc-Breach Notification,2/5/2014,12/19/2014,,
PhysiciansHealthPlanofNorthernIndiana,12/21/2015,12/8/2015,1708,1708
PiechSalesCompanyLLC-Breach Notification,1/14/2015,11/25/2014,118,8938
PNCFinancialServicesGroup-Breach Notification,2/20/2015,,,
PrecisionResourceCompany,12/3/2015,11/17/2015,2,385
PrideMountainVineyards,6/18/2015,4/1/2015,97,14026
PrimaryCapitalMortgageLLC,8/19/2015,8/11/2015,1,33
PurdueUniversity,4/7/2015,3/25/2015,1,1
QuadGraphics,8/14/2015,7/20/2015,2,693
RadioShack,,,,
RansomedHeartMinistries,7/17/2015,4/28/2015,25,1384
RBSKPartnersPC,8/4/2015,6/25/2015,8,
RedDressBoutique,10/1/2015,9/14/2015,4,295
RegionsBank,5/11/2015,11/1/2014,29,1712
ReprisVineyards,6/18/2015,4/1/2015,70,7337
RetailCapitalLLC,4/1/2015,3/17/2015,12,741
RhysVineyards,6/18/2015,4/1/2015,12,3765
RiteAidCorporation,9/22/2015,8/20/2014,149,
RiverValleyResourcesInc,7/16/2015,7/9/2015,104,104
RocheDiagnosticsOperationsInc-Breach Notification,12/23/2014,2/1/2014,34,129
RombauerVineyardsInc,6/11/2015,5/1/2015,24,16373
RosegateVillage-Breach Notification,1/21/2015,1/7/2015,74,74
RoundpointMortgageServicingCorporation,6/9/2015,1/30/2015,,
RoundPondEstate,6/18/2015,4/1/2015,88,15512
SalinBankandTrustCompany,6/25/2015,,0,1
SalinBankandTrustCompany,6/25/2015,,25,25
SallyBeautyHoldingsInc,5/28/2015,3/6/2015,62610,3637798
SaltLakeCounty,10/9/2015,6/18/2015,3,13516
SamelaIncdbaNorthShoreCareSupply,10/8/2015,6/7/2015,184,9029
SASSafetyCorp,12/24/2015,9/23/2015,4,173
SaveandVaultStorecom,5/21/2015,3/20/2015,2,200
SchlageLockCompanyLLC,10/9/2015,,2,6
SchlageLockCompanyLLC,10/13/2015,9/23/2015,1010,3309
ScottradeFinancialServicesInc,9/25/2015,7/1/2015,16,812
ScottradeInc,10/1/2015,,105152,4.6 million
SeattleChocolatesCompany,11/16/2015,9/29/2015,4,285
SelectComfort-Breach Notification,2/27/2015,1/23/2015,3,237
ShellVacationsClub,3/6/2015,1/6/2015,93,35235
ShorePowerInc,7/29/2015,4/23/2015,1,41
SignatorInvestorsInc,4/28/2015,3/13/2015,4,
SignatureSystemsInc-Breach Notification,,,,
SignorelloEstate,6/18/2015,4/1/2015,9,3234
SilveradoVineyards,6/18/2015,4/1/2015,27,6188
SixRedMarbles-Breach Notification,12/23/2014,,5,757
SmoothieKing,6/22/2015,6/3/2015,1,804
SMSHospitalityLLC,8/7/2015,5/28/2015,5,
SooCo-opCreditUnion-Breach Notification,1/14/2015,12/15/2014,2,
SouthernNewHampshireMedicalCenter-Breach Notification,2/20/2015,1/30/2015,2,453
SouthUniversity,10/29/2015,,1,350
SpringMountainVineyard,6/18/2015,4/1/2015,38,5961
SpringstoneInc-Breach Notification,12/17/2014,10/31/2014,31,111
SRI,4/2/2015,12/1/2014,5393,9386
StateFarmInsuranceCompanies,6/15/2015,6/8/2015,,34
StateFarmInsuranceCompanies,11/24/2015,9/3/2015,1,1
StateFarmInsuranceCompanies,7/21/2015,4/15/2015,2,
StateFarmInsuranceCompanies,12/15/2015,10/26/2015,27,3074
SterlingBackCheck,7/31/2015,5/29/2015,,
STILETTOSolutions,10/28/2015,9/16/2015,207,
StMary'sHealthInc,11/16/2015,4/2/2015,1,1
StMary'sHealthInc-Breach Notification,6/8/2015,4/21/2015,1,1
StMary'sHealthInc-Breach Notification,3/5/2015,12/3/2014,1299,1398
StonerBuntingAdvertising,10/27/2015,8/21/2015,2,259
StreetsofNewYork,10/2/2015,9/1/2015,4,250
StVincentHospitalandHealthCareCenterInc-Breach Notification,9/3/2015,8/5/2015,1,1
StVincentHospitalandHealthCareCenterInc-Breach Notification,3/27/2015,12/3/2014,3,3
StVincentHospitalandHealthCareCenterInc-Breach Notification,7/10/2015,6/22/2015,1,1
StVincentHospitalandHealthCareCenterInc-Breach Notification,1/29/2015,12/3/2014,2,2
StVincentMedicalGroupInc,4/10/2015,12/3/2014,32,32
StVincentMedicalGroupInc,7/15/2015,6/16/2015,4,4
StVincentSalemHospitalInc-Breach Notification,2/5/2015,12/3/2014,2,2
SuburbanLungAssociatesSC,4/14/2015,2/13/2015,27,
SummersEstateWines,6/18/2015,4/1/2015,22,2149
SunquestInformationSystemsInc,8/26/2015,7/27/2015,1,2101
SweatyBandsLLC,4/16/2015,3/14/2015,6,312
SykesEnterprisesInc,8/7/2015,5/29/2015,1,462
SyncreonNorthAmericaInc,11/24/2015,11/5/2015,10,394
TakeCareHealthSystemsLLC-Breach Notification,2/24/2015,1/26/2015,6,
